fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Symbol
2023-12-31,USD,1757455000,3711378000,2242447000,2000804000,1057212000,228843000,469712000,700243000,57595000,-46313000,57595000,46313000,3757691000,29839000,None,90941000,1087051000,132785000,46313000,954266000,957922000,1133364000,1224305000,954266000,LRCX
2023-09-30,USD,1654702000,3438000000,2134823000,1827360000,1023029000,207023000,422629000,631673000,56564000,-45331000,56564000,45331000,3483331000,2601000,None,90479000,1025630000,138232000,45331000,887398000,866754000,1070961000,1161440000,887398000,LRCX
2023-06-30,USD,1458129000,3162459000,2051751000,1749128000,854605000,199831000,401951000,603524000,55829000,-46532000,55829000,46532000,3208991000,9010000,None,89604000,863615000,61078000,46532000,802537000,806926000,910147000,999751000,802537000,LRCX
2023-03-31,USD,1605612000,3816833000,2471257000,2263957000,942253000,193500000,429451000,663359000,41974000,-47217000,41974000,47217000,3864050000,-3331000,None,91663000,938922000,124914000,47217000,814008000,817784000,986139000,1077802000,814008000,LRCX
2022-12-31,USD,2376349000,5220794000,3147222000,2901220000,1680162000,233802000,462385000,696187000,26125000,-46661000,26125000,46661000,5267455000,-28234000,None,85414000,1651928000,183421000,46661000,1468507000,1493401000,1698589000,1784003000,1468507000,LRCX
2022-09-30,USD,2336835000,5034890000,3018657000,2737286000,1697840000,205620000,433375000,638995000,15056000,-46052000,15056000,46052000,5080942000,-43095000,None,75751000,1654745000,228866000,46052000,1425879000,1402096000,1700797000,1776548000,1425879000,LRCX
2022-06-30,USD,2100512000,4586946000,2832976000,2535042000,1479353000,210002000,411157000,621159000,6221000,-46228000,6221000,46228000,4633174000,-120448000,None,87932000,1358905000,149971000,46228000,1208934000,1196618000,1405133000,1493065000,1208934000,LRCX
2022-03-31,USD,1816625000,4014649000,2481599000,2243791000,1192097000,217408000,407120000,624528000,1938000,-46710000,1938000,46710000,4061359000,-57402000,None,84228000,1134695000,112917000,46710000,1021778000,1012258000,1181405000,1265633000,1021778000,LRCX
2021-12-31,USD,1977916000,4180570000,2504321000,2248688000,1338139000,236133000,403644000,639777000,2372000,-46765000,2372000,46765000,4227335000,17999000,None,81705000,1356138000,161308000,46765000,1194830000,1188452000,1402903000,1484608000,1194830000,LRCX
2021-09-30,USD,1976754000,4259392000,2629779000,2327711000,1372233000,222194000,382327000,604521000,4678000,-45056000,4678000,45056000,4304448000,-28857000,None,79874000,1343376000,163632000,45056000,1179744000,1162104000,1388432000,1468306000,1179744000,LRCX
