fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Symbol
2023-12-31,USD,2146000000,4917000000,2771000000,1270000000,1446000000,1624000000,None,2776000000,5000000,-284000000,5000000,289000000,None,-59000000,None,1147000000,1080000000,210000000,289000000,889000000,1253000000,1369000000,2516000000,870000000,FI
2023-09-30,USD,2642000000,4873000000,2231000000,1894000000,1503000000,1652000000,None,2055000000,10000000,-258000000,10000000,268000000,None,-35000000,None,579000000,1191000000,239000000,268000000,969000000,686000000,1459000000,2038000000,952000000,FI
2023-06-30,USD,2446000000,4756000000,2310000000,1929000000,1131000000,1696000000,None,2310000000,5000000,-232000000,5000000,237000000,None,-26000000,None,614000000,864000000,181000000,237000000,695000000,837000000,1101000000,1715000000,683000000,FI
2023-03-31,USD,1996000000,4547000000,2551000000,2005000000,934000000,1604000000,None,2555000000,8000000,-202000000,8000000,210000000,None,-20000000,None,947000000,687000000,124000000,210000000,576000000,698000000,897000000,1844000000,563000000,FI
2022-12-31,USD,2544000000,4631000000,2621000000,1980000000,1179000000,1499000000,None,2594000000,5000000,-199000000,5000000,204000000,None,-11000000,None,1094000000,951000000,169000000,204000000,798000000,1132000000,1155000000,2249000000,782000000,FI
2022-09-30,USD,2173000000,4518000000,2155000000,1996000000,855000000,1547000000,None,2275000000,3000000,-190000000,3000000,193000000,4518000000,-13000000,None,608000000,628000000,147000000,193000000,493000000,-53000000,821000000,1429000000,481000000,FI
2022-06-30,USD,2106000000,4450000000,2168000000,2044000000,860000000,1546000000,None,2168000000,2000000,-176000000,2000000,178000000,4450000000,-66000000,None,622000000,735000000,137000000,178000000,609000000,233000000,913000000,1535000000,598000000,FI
2022-03-31,USD,1565000000,4138000000,2405000000,1972000000,846000000,1467000000,None,2258000000,3000000,-168000000,3000000,171000000,4138000000,-4000000,None,938000000,767000000,98000000,171000000,682000000,774000000,938000000,1876000000,669000000,FI
2021-12-31,USD,1755000000,4780000000,2629000000,2203000000,533000000,1521000000,None,2629000000,0,-170000000,None,170000000,4257000000,35000000,None,1030000000,396000000,63000000,170000000,355000000,237000000,566000000,1596000000,333000000,FI
2021-09-30,USD,1842000000,3991000000,2149000000,2051000000,636000000,1476000000,None,2149000000,1000000,-172000000,1000000,173000000,4163000000,14000000,None,642000000,482000000,54000000,173000000,446000000,102000000,655000000,1297000000,428000000,FI
2021-06-30,USD,1777000000,3876000000,2099000000,1967000000,644000000,1440000000,None,2099000000,1000000,-175000000,1000000,176000000,4051000000,1000000,None,653000000,497000000,228000000,176000000,284000000,482000000,673000000,1326000000,269000000,FI
2021-03-31,USD,1324000000,3650000000,2326000000,1907000000,475000000,1373000000,None,2326000000,1000000,-176000000,1000000,177000000,3755000000,21000000,None,918000000,322000000,18000000,177000000,318000000,155000000,499000000,1417000000,304000000,FI
2020-12-31,USD,2373000000,3834000000,1459000000,1857000000,516000000,1459000000,None,1459000000,1000000,-174000000,1000000,175000000,3832000000,-6000000,None,886000000,320000000,20000000,175000000,313000000,744000000,495000000,1381000000,300000000,FI
2020-09-30,USD,1541000000,3669000000,2128000000,1868000000,542000000,1412000000,None,2092000000,2000000,-174000000,2000000,176000000,3822000000,13000000,None,671000000,388000000,124000000,176000000,276000000,77000000,564000000,1235000000,264000000,FI
2020-06-30,USD,1109000000,3312000000,2203000000,1920000000,165000000,1377000000,None,2206000000,2000000,-174000000,2000000,176000000,3462000000,1000000,None,694000000,-25000000,-27000000,176000000,9000000,169000000,151000000,845000000,2000000,FI
2020-03-31,USD,1600000000,4037000000,2437000000,2167000000,629000000,1404000000,None,2006000000,2000000,-187000000,2000000,189000000,4200000000,20000000,None,985000000,471000000,79000000,189000000,377000000,-239000000,660000000,1645000000,392000000,FI
2019-12-31,USD,2539000000,4050000000,1511000000,2109000000,478000000,1463000000,None,1506000000,4000000,-194000000,4000000,198000000,4050000000,-6000000,None,1550000000,301000000,54000000,198000000,241000000,446000000,499000000,2049000000,247000000,FI
2019-09-30,USD,1825000000,2978000000,1153000000,1617000000,374000000,1137000000,None,1153000000,23000000,-164000000,23000000,187000000,3128000000,-3000000,None,16000000,251000000,53000000,187000000,225000000,12000000,438000000,454000000,198000000,FI
2019-06-30,USD,1104000000,1448000000,344000000,785000000,384000000,343000000,None,344000000,6000000,-58000000,6000000,64000000,1512000000,2000000,None,1000000,283000000,60000000,64000000,223000000,115000000,347000000,348000000,223000000,FI
2019-03-31,USD,263000000,1502000000,1239000000,798000000,373000000,341000000,None,431000000,2000000,-57000000,2000000,59000000,1512000000,1000000,None,100000000,256000000,31000000,59000000,225000000,207000000,315000000,415000000,225000000,FI
2018-12-31,USD,431000000,1551000000,1120000000,822000000,431000000,298000000,None,298000000,6000000,-55000000,1000000,56000000,0,2000000,None,111000000,374000000,88000000,62000000,286000000,298000000,430000000,541000000,286000000,FI
2018-09-30,USD,358000000,1412000000,1054000000,749000000,356000000,305000000,None,307000000,2000000,-45000000,2000000,47000000,1402000000,1000000,None,96000000,305000000,78000000,55000000,227000000,214000000,352000000,448000000,227000000,FI
2018-06-30,USD,361000000,1420000000,1059000000,739000000,358000000,320000000,None,323000000,None,-45000000,None,45000000,1417000000,-3405000,None,96000000,323000000,72000000,45000000,251000000,241000000,368000000,464000000,251000000,FI
2018-03-31,USD,282000000,1440000000,1158000000,759000000,608000000,305000000,None,167000000,None,-45000000,None,45000000,1672000000,-1735000,None,94000000,563000000,140000000,45000000,423000000,421000000,608000000,702000000,423000000,FI
2017-12-31,USD,425000000,1516000000,1091000000,778000000,425000000,313000000,None,313000000,0,-44000000,1000000,45000000,0,306000,None,69000000,395000000,-151000000,45000000,532000000,547000000,440000000,509000000,546000000,FI
2017-09-30,USD,370000000,1400000000,1030000000,746000000,370000000,284000000,None,284000000,0,-45000000,None,45000000,0,123970000,None,68000000,330000000,98000000,45000000,232000000,236000000,375000000,443000000,232000000,FI
2017-06-30,USD,362000000,1386000000,1024000000,748000000,372000000,276000000,None,266000000,2000000,-44000000,None,44000000,10000000,1187000,None,69000000,330000000,109000000,44000000,221000000,229000000,374000000,443000000,221000000,FI
2017-03-31,USD,297000000,1394000000,1097000000,752000000,365000000,277000000,None,345000000,0,-42000000,None,42000000,0,431000,None,68000000,349000000,102000000,42000000,247000000,256000000,391000000,459000000,247000000,FI
2016-12-31,USD,375000000,1431000000,1056000000,761000000,375000000,295000000,None,295000000,0,-42000000,None,42000000,0,-16671000,None,66000000,334000000,119000000,42000000,215000000,208000000,376000000,442000000,215000000,FI
2016-09-30,USD,369000000,1380000000,1011000000,737000000,369000000,274000000,None,274000000,0,-41000000,None,41000000,0,-712000,None,65000000,328000000,114000000,41000000,214000000,219000000,369000000,434000000,214000000,FI
2016-06-30,USD,362000000,1363000000,1001000000,727000000,362000000,274000000,None,274000000,0,-40000000,None,40000000,0,-2512000,None,62000000,322000000,110000000,40000000,212000000,207000000,362000000,424000000,212000000,FI
2016-03-31,USD,262000000,1331000000,1069000000,734000000,339000000,258000000,None,335000000,-7000000,-40000000,None,40000000,0,-538000,None,60000000,438000000,149000000,40000000,289000000,294000000,478000000,538000000,289000000,FI
2015-12-31,USD,329000000,1368000000,1039000000,763000000,329000000,276000000,None,276000000,0,-38000000,None,39000000,0,3020000,None,60000000,287000000,98000000,38000000,189000000,190000000,326000000,386000000,189000000,FI
2015-09-30,USD,342000000,1313000000,971000000,713000000,342000000,258000000,None,258000000,0,-41000000,None,41000000,0,-4411000,None,56000000,335000000,117000000,41000000,218000000,209000000,376000000,432000000,218000000,FI
2015-06-30,USD,326000000,1298000000,972000000,710000000,326000000,262000000,None,262000000,0,-49000000,None,49000000,-85000000,-1796000,None,54000000,193000000,66000000,134000000,127000000,132000000,242000000,296000000,127000000,FI
2015-03-31,USD,261000000,1275000000,1014000000,723000000,314000000,238000000,None,291000000,1000000,-41000000,None,41000000,0,2620000,None,53000000,274000000,96000000,41000000,178000000,170000000,315000000,368000000,178000000,FI
2014-12-31,USD,317000000,1316000000,999000000,752000000,317000000,247000000,None,247000000,0,-41000000,None,41000000,0,0,None,53000000,278000000,97000000,41000000,181000000,175000000,319000000,372000000,181000000,FI
2014-09-30,USD,315000000,1263000000,948000000,705000000,315000000,243000000,None,243000000,0,-41000000,None,41000000,0,0,None,51000000,359000000,120000000,41000000,239000000,231000000,400000000,451000000,239000000,FI
2014-06-30,USD,307000000,1253000000,946000000,703000000,307000000,243000000,None,284000000,1000000,-41000000,None,41000000,None,1000000,None,48000000,267000000,101000000,41000000,166000000,171000000,308000000,356000000,166000000,FI
2014-03-31,USD,223000000,1234000000,1011000000,721000000,271000000,242000000,None,331000000,None,-41000000,None,41000000,None,0,None,48000000,234000000,66000000,41000000,168000000,174000000,275000000,323000000,168000000,FI
2013-12-31,USD,297000000,1263000000,966000000,700000000,297000000,266000000,None,266000000,None,-41000000,None,40000000,None,None,None,48000000,331000000,110000000,41000000,220000000,224000000,371000000,419000000,221000000,FI
2013-09-30,USD,280000000,1201000000,921000000,684000000,280000000,237000000,None,278000000,None,-41000000,None,41000000,None,4289000,None,48000000,238000000,79000000,41000000,161000000,163000000,279000000,327000000,159000000,FI
2013-06-30,USD,273000000,1198000000,925000000,680000000,273000000,245000000,None,286000000,None,-41000000,None,41000000,None,3592000,None,48000000,232000000,81000000,41000000,152000000,146000000,273000000,321000000,151000000,FI
2013-03-31,USD,132000000,1152000000,1020000000,712000000,211000000,229000000,None,349000000,None,-41000000,None,41000000,None,None,None,49000000,175000000,58000000,41000000,117000000,115000000,216000000,265000000,117000000,FI
2012-12-31,USD,289000000,1145000000,867000000,657000000,287000000,209000000,None,210000000,None,-39000000,None,39000000,None,1000000,None,48000000,272000000,93000000,39000000,158000000,180000000,311000000,359000000,179000000,FI
