fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Symbol
2023-12-31,USD,201119000,622474000,421355000,100695000,144438000,258660000,102004000,423813000,None,18952000,None,None,603083000,None,None,20529000,160676000,63353000,None,97323000,97323000,144438000,167681000,97323000,TTD
2023-09-30,USD,175391000,513208000,337817000,93382000,37677000,244435000,117772000,362207000,None,17626000,None,None,494963000,None,None,20530000,57000000,17648000,None,39352000,39352000,37677000,56510000,39352000,TTD
2023-06-30,USD,158839000,483112000,324273000,86654000,41673000,237619000,98308000,335927000,None,17507000,None,17507000,465001000,747000,None,20066000,59927000,26988000,None,32939000,32939000,41673000,61739000,32939000,TTD
2023-03-31,USD,84648000,397049000,312401000,84867000,-23308000,227534000,93710000,321560000,None,14423000,None,14423000,382080000,-723000,None,19293000,-9608000,-18934000,None,9326000,9326000,-23308000,-4015000,9326000,TTD
2022-12-31,USD,155207000,503305000,348098000,79619000,100160000,226479000,84479000,353200000,None,11434000,None,11434000,491263000,526000,None,16844000,112120000,40933000,None,71187000,71187000,100160000,100160000,71187000,TTD
2022-09-30,USD,111052000,397106000,286054000,70124000,28804000,215930000,79915000,295845000,None,1741000,None,1741000,394730000,-43000,None,13000000,30502000,14633000,None,15869000,15869000,28804000,41804000,15869000,TTD
2022-06-30,USD,86186000,377922000,291736000,67490000,1743000,224246000,83483000,307729000,None,656000,None,656000,376645000,-317000,None,12591000,2082000,21155000,None,-19073000,-19073000,1743000,14334000,-19073000,TTD
2022-03-31,USD,55291000,315668000,260377000,63890000,-17053000,196487000,71999000,269211000,None,-1076000,None,1076000,316118000,795000,None,12350000,-17334000,-2736000,None,-14598000,-14598000,-17053000,-4703000,-14598000,TTD
2021-12-31,USD,2674000,394997000,392323000,66845000,-25361000,291278000,62836000,389250000,None,-474000,None,1030000,394851000,-747000,None,12250000,-26582000,-34621000,None,8039000,8039000,-25361000,-25361000,8039000,TTD
2021-09-30,USD,135574000,300372000,164798000,53400000,80446000,111398000,55847000,167245000,None,-317000,None,317000,299938000,-1153000,None,8952000,78976000,19592000,None,59384000,59384000,80446000,90551000,59384000,TTD
2021-06-30,USD,115799000,280282000,164483000,50809000,61948000,113674000,53536000,167210000,None,-194000,None,194000,279763000,-204000,None,11006000,61550000,13853000,None,47697000,47697000,61948000,73158000,47697000,TTD
