fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Symbol
2023-12-31,USD,387878000,1073861000,685983000,685983000,-41569000,86914000,164329000,429447000,None,-17581000,None,17581000,None,15359000,47658000,31205000,-43838000,83100000,16881000,-108010000,-113227000,-26257000,4948000,-126938000,QRVO
2023-09-30,USD,489690000,1103493000,613803000,613803000,151428000,103696000,174947000,338262000,None,-17121000,None,17121000,None,5211000,49150000,30124000,139518000,42057000,17121000,115782000,87889000,156639000,186763000,97461000,QRVO
2023-06-30,USD,229070000,651164000,422094000,422094000,-48136000,105423000,163090000,277206000,None,-17261000,None,17261000,None,13716000,50033000,30979000,-51680000,-8100000,17261000,-24220000,-44442000,-34419000,-3440000,-43580000,QRVO
2023-03-31,USD,114714000,632703000,517989000,517989000,-188982000,82954000,163637000,303696000,None,-17241000,None,17241000,None,7210000,51291000,7210000,-199013000,-60597000,None,-138416000,-130226000,-181772000,-181772000,-138416000,QRVO
2022-12-31,USD,268051000,743281000,475230000,475230000,8729000,76269000,149472000,259322000,None,-17066000,None,17066000,None,5562000,51250000,32937000,-2775000,13200000,17066000,6135000,14480000,14291000,47228000,-15931000,QRVO
2022-09-30,USD,538927000,1158057000,619130000,619130000,261562000,97752000,168164000,277365000,None,-16904000,None,16904000,None,2214000,51864000,32836000,246915000,58300000,16904000,-124000000,164813000,263819000,296655000,188615000,QRVO
2022-06-30,USD,375250000,1035358000,660108000,660108000,101859000,101815000,168568000,273391000,None,-17252000,None,17252000,None,-5062000,52018000,33703000,79545000,10661000,17252000,-123000000,45678000,96797000,130500000,68884000,QRVO
2022-03-31,USD,570339000,1166158000,595819000,595819000,270597000,83927000,158745000,299742000,None,-17392000,None,17392000,None,-5736000,51911000,37943000,247469000,35194000,18136000,152741000,202894000,264861000,302804000,212275000,QRVO
2021-12-31,USD,548093000,1113957000,565864000,565864000,296010000,82003000,154435000,252083000,None,-15328000,None,15328000,None,2532000,53833000,38501000,283214000,66951000,15328000,233991000,207445000,298542000,337043000,216263000,QRVO
2021-09-30,USD,621553000,1255248000,633695000,633695000,362360000,93489000,158377000,259193000,None,-15327000,None,15327000,None,4754000,52758000,36637000,351789000,32600000,15327000,336014000,309702000,367116000,403753000,319189000,QRVO
2021-06-30,USD,546183000,1110351000,564168000,564168000,297102000,90299000,152079000,249081000,None,-15279000,None,15279000,None,16791000,52447000,37385000,298626000,13000000,15279000,315393000,288895000,313905000,351290000,285626000,QRVO
2021-03-31,USD,528475000,1072730000,544255000,544255000,293068000,78123000,147285000,235407000,None,-15410000,None,15410000,-123982000,9128000,50869000,35117000,286786000,-11951000,139392000,221549000,280897000,302196000,337313000,298737000,QRVO
2020-12-31,USD,537752000,1094834000,557082000,557082000,299203000,93139000,136697000,238549000,None,-17453000,467000,17453000,None,-58234000,51538000,73300000,223516000,22481000,17453000,220288000,221908000,240969000,314269000,201035000,QRVO
2020-09-30,USD,491550000,1060292000,568742000,568742000,221644000,109372000,156342000,269906000,None,-23486000,1272000,23486000,None,1920000,50812000,72400000,200078000,63161000,23486000,160503000,155139000,223564000,295964000,136917000,QRVO
2020-06-30,USD,325789000,787451000,461662000,461662000,92712000,86604000,130071000,233077000,None,-18849000,1190000,18849000,None,23137000,49987000,72128000,97022000,100000,18849000,114581000,103028000,115871000,187999000,96922000,QRVO
2020-03-31,USD,335781000,787772000,451991000,451991000,102154000,85111000,127029000,233627000,3954000,-18935000,3954000,18935000,1300000,-10472000,49318000,69369000,64635000,14245000,18935000,307681000,59521000,83570000,152939000,50390000,QRVO
2019-12-31,USD,368111000,869073000,500962000,500962000,153069000,81205000,122851000,215042000,2874000,-16900000,2874000,16900000,0,44148000,53692000,63100000,183191000,21835000,16900000,178256000,162171000,200091000,263191000,161356000,QRVO
2019-09-30,USD,323582000,806698000,483116000,483116000,112767000,88274000,115614000,210815000,2292000,-12693000,2292000,12693000,0,-300000,54718000,56400000,102066000,19028000,12693000,95759000,82061000,114759000,171159000,83038000,QRVO
2019-06-30,USD,294289000,775598000,481309000,481309000,55226000,88979000,118920000,239063000,2946000,-11864000,2946000,11864000,0,-1111000,63904000,58366000,45197000,5656000,11864000,51405000,39484000,57061000,115427000,39541000,QRVO
