fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Symbol
2024-01-31,USD,1078137000,1897880000,819743000,461000000,78688000,748213000,635130000,1843559000,86732000,-28383000,86732000,28383000,1926263000,999000,54000000,71530000,138036000,-1050459000,28383000,1188495000,1176339000,166419000,237949000,1188495000,WDAY
2023-10-31,USD,1053875000,1836333000,782458000,445240000,87855000,713844000,618736000,1777820000,80004000,-28535000,80004000,28535000,1864868000,-10081000,52000000,68614000,129243000,15534000,28535000,113709000,153696000,157778000,226392000,113709000,WDAY
2023-07-31,USD,996504000,1760651000,764147000,448100000,36257000,692732000,609677000,1750509000,71569000,-28536000,71569000,28536000,1789187000,2522000,49000000,71415000,81812000,3152000,28536000,78660000,29230000,110348000,181763000,78660000,WDAY
2023-04-30,USD,899169000,1655821000,756652000,417444000,-19800000,686211000,600457000,1704112000,62695000,-28546000,62695000,28546000,1684367000,-7440000,48000000,70441000,6909000,6773000,28546000,136000,-10265000,35455000,105896000,136000,WDAY
2023-01-31,USD,861223000,1617335000,756112000,453479000,-88958000,666150000,615589000,1735218000,47236000,-28549000,-353000,28549000,1645884000,-7648000,68000000,89962000,-77919000,47778000,28549000,-125697000,-176760000,-49370000,40592000,-125697000,WDAY
2022-10-31,USD,858233000,1573991000,715758000,435793000,-26321000,623904000,565727000,1625424000,31252000,-29626000,31252000,29626000,1603617000,2537000,69000000,91854000,-22158000,52563000,29626000,-74721000,-33568000,7468000,99322000,-74721000,WDAY
2022-07-31,USD,814082000,1505733000,691651000,423085000,-34078000,598956000,547835000,1569876000,15214000,-30160000,15214000,30160000,1535893000,-17843000,71000000,92695000,-66867000,-2709000,30160000,-64158000,-44306000,-36707000,55988000,-64158000,WDAY
2022-04-30,USD,768682000,1421698000,653016000,402821000,-72843000,563170000,541509000,1507500000,4007000,-14018000,4007000,14018000,1435716000,-10152000,67000000,89846000,-93006000,9167000,14018000,-102006000,-66773000,-78988000,10858000,-102173000,WDAY
2022-01-31,USD,751785000,1390103000,638318000,389797000,-100962000,549568000,537738000,1477103000,1044000,-4075000,1044000,4075000,1394178000,20172000,69000000,88750000,-83821000,-10568000,4075000,-73253000,-44917000,-79746000,9004000,-73253000,WDAY
2021-10-31,USD,759756000,1334862000,575106000,359724000,23945000,487979000,455615000,1303318000,1195000,-4160000,1195000,4160000,1339022000,24522000,66000000,87127000,45502000,2090000,4160000,43412000,66935000,49662000,136789000,43412000,WDAY
2021-07-31,USD,701846000,1258938000,557092000,345521000,-1120000,471709000,444251000,1261481000,1333000,-4190000,1333000,4190000,1263128000,105842000,65000000,85383000,101865000,-3871000,4190000,105936000,122007000,106055000,191438000,105736000,WDAY
2021-04-30,USD,647965000,1169105000,521140000,333053000,-38313000,438677000,441616000,1213346000,2003000,-4177000,2003000,4177000,1173282000,-6877000,63000000,82463000,-47522000,-1000000,4177000,-48522000,-51973000,-43345000,39118000,-46522000,WDAY
2021-01-31,USD,1131684000,1131684000,527957000,313044000,-73311000,452856000,439095000,1204995000,2333000,-15595000,2333000,15595000,1131684000,17999000,61000000,75101000,-68574000,3133000,15595000,-73311000,-127787000,-52979000,22122000,-71707000,WDAY
2020-10-31,USD,610832000,1089590000,478758000,295181000,-14077000,404894000,419962000,1120037000,3610000,-16370000,3610000,16370000,1105960000,3914000,58000000,73864000,-22923000,1417000,16370000,-24340000,-23876000,-6553000,67311000,-24340000,WDAY
2020-07-31,USD,593724000,1042665000,448941000,284277000,-16754000,375763000,418681000,1078721000,4978000,-19302000,4978000,19302000,1061967000,2871000,57000000,73178000,-28207000,-191000,19302000,-28016000,-84896000,-8905000,64273000,-28016000,WDAY
2020-04-30,USD,517195000,1002437000,485242000,305630000,-144457000,413728000,443484000,1162842000,7867000,-17539000,7867000,17539000,1019976000,-1301000,55000000,71514000,-155430000,2938000,17539000,-158430000,-124334000,-137891000,-66377000,-158368000,WDAY
2020-01-31,USD,976299000,976299000,490536000,284775000,-146097000,415410000,422211000,1122396000,8876000,-16406000,8876000,16406000,976299000,24414000,57000000,75126000,-129213000,-1255000,16406000,-146097000,-129085000,-112807000,-37681000,-127958000,WDAY
2019-10-31,USD,474086000,921997000,447911000,270930000,-110250000,375678000,401742000,1048350000,10803000,-16205000,10803000,16205000,938202000,1266000,55000000,72233000,-114386000,1343000,16205000,-115729000,-123568000,-98181000,-25948000,-115729000,WDAY
2019-07-31,USD,439732000,873279000,433547000,266334000,-122497000,365793000,378122000,1010249000,11239000,-14473000,11239000,14473000,887752000,3128000,47000000,67754000,-122603000,-1891000,14473000,-120712000,-101367000,-108130000,-40376000,-120712000,WDAY
2019-04-30,USD,401898000,820454000,418556000,243219000,-123386000,357391000,347831000,948441000,10350000,-11601000,1147000,11601000,832055000,8392000,41000000,61165000,-116245000,30000,11601000,-116275000,-102353000,-104644000,-43479000,-116275000,WDAY
2019-01-31,USD,788628000,788628000,397377000,233748000,-120283000,337758000,337405000,908911000,8538000,-12044000,None,12044000,788628000,18656000,40000000,59619000,-105133000,-772000,12044000,-120283000,-108938000,-120283000,-33470000,-104361000,WDAY
2018-10-31,USD,296492000,739034000,442542000,223001000,-182755000,384940000,318003000,925944000,6995000,-12348000,None,12348000,751382000,31970000,38000000,57602000,-156138000,-2807000,12348000,-153331000,-137132000,-182755000,-86188000,-153331000,WDAY
2018-07-31,USD,344347000,654205000,309858000,200230000,-88982000,267632000,292840000,760702000,14692000,-17515000,None,17515000,671720000,4436000,36000000,42226000,-87369000,-1213000,17515000,-86156000,-67821000,-88982000,-27628000,-86156000,WDAY
2018-04-30,USD,233901000,618643000,384742000,97726000,-71264000,248352000,263584000,689907000,12236000,-18302000,None,18302000,618643000,2218000,33000000,38664000,-75410000,-1000000,18302000,-74410000,-58763000,-71264000,-18444000,-74410000,WDAY
2018-01-31,USD,582480000,582480000,369121000,95118000,-81335000,239409000,253454000,663815000,9778000,-18438000,None,18438000,582480000,12201000,30000000,35698000,-88431000,669000,18438000,-81335000,-119203000,-81335000,-34295000,-89100000,WDAY
2017-10-31,USD,196445000,555389000,358944000,91657000,-80059000,232305000,239588000,635448000,6394000,-12285000,None,12285000,555583000,-3742000,30000000,34727000,-83801000,1745000,12285000,-85546000,-79659000,-80059000,-36789000,-85546000,WDAY
2017-07-31,USD,171384000,525320000,353936000,92264000,-81629000,227651000,221103000,606949000,5051000,-6840000,None,6840000,525320000,938000,28000000,33501000,-80691000,1841000,6840000,-82532000,-104539000,-81629000,-40350000,-82532000,WDAY
2017-04-30,USD,162660000,479861000,317201000,76913000,-60200000,206911000,196439000,540061000,4029000,-6986000,None,6986000,479861000,-1663000,27000000,31797000,-62044000,2000000,6986000,-64044000,-66305000,-60200000,-23261000,-64044000,WDAY
2017-01-31,USD,436672000,439584000,325832000,72016000,-88939000,221170000,191556000,528523000,3387000,-6952000,None,6952000,None,16509000,25000000,22586000,-84947000,-2961000,6952000,-106235000,-88820000,-88939000,-55409000,-81986000,WDAY
2016-10-31,USD,99619000,413522000,309963000,72240000,-105932000,207270000,185311000,519454000,2805000,-7206000,None,7206000,None,-3105000,23000000,30453000,-112989000,1077000,7206000,-114066000,-104904000,-105932000,-75330000,-114066000,WDAY
2016-07-31,USD,99706000,373657000,278017000,66473000,-86685000,184882000,161886000,460342000,2897000,-7914000,None,7914000,None,-21193000,22000000,26662000,-108090000,-65000,7914000,-108025000,-101369000,-86685000,-73514000,-108025000,WDAY
2016-04-30,USD,91205000,347677000,254225000,59427000,-71530000,168674000,141778000,419207000,2214000,-8031000,None,8031000,None,-5838000,22000000,26124000,-79487000,1135000,8031000,-80622000,-88334000,-71530000,-45332000,-80622000,WDAY
2016-01-31,USD,323427000,323427000,247837000,59671000,-73441000,162944000,131244000,376342000,1776000,-8094000,None,8094000,None,-6505000,20000000,25222000,-65076000,1182000,8094000,-73441000,-65405000,-73441000,-31760000,-66258000,WDAY
2015-10-31,USD,71377000,305266000,233889000,61963000,-70174000,149666000,124020000,375440000,1126000,-8001000,None,8001000,None,-6722000,18000000,22260000,-76896000,915000,8001000,-77811000,-78185000,-70174000,-46635000,-77811000,WDAY
2015-07-31,USD,63104000,282696000,219592000,56792000,-67640000,142912000,115345000,350336000,998000,-7952000,None,7952000,None,-3779000,17000000,19888000,-71339000,-1918000,7952000,-69421000,-68822000,-67640000,-43499000,-69421000,WDAY
2015-04-30,USD,59144000,250957000,191813000,46132000,-53404000,127112000,99335000,304361000,955000,-7885000,None,7885000,None,-7236000,16000000,18569000,-60640000,918000,7885000,-61558000,-61698000,-53404000,-34186000,-61558000,WDAY
2015-01-31,USD,226273000,226273000,175002000,40737000,-50384000,117739000,88963000,276657000,859000,-7809000,None,7809000,None,-8271000,13000000,16526000,-58655000,811000,7809000,-50384000,-59670000,-50384000,-34320000,-59466000,WDAY
2014-10-31,USD,45548000,215070000,169522000,44363000,-51466000,109477000,85270000,266536000,737000,-7778000,None,7778000,None,-8047000,13000000,15682000,-59513000,399000,7778000,-59912000,-59811000,-51466000,-36053000,-59912000,WDAY
2014-07-31,USD,25594000,186780000,161186000,41267000,-61769000,105445000,77464000,248549000,669000,-7765000,None,7765000,None,-6953000,11000000,14474000,-68722000,493000,7765000,-69215000,-69733000,-61769000,-46483000,-69215000,WDAY
2014-04-30,USD,22024000,159737000,137713000,35960000,-52083000,89230000,65171000,211820000,695000,-7708000,None,7708000,None,-6999000,10000000,12523000,-59082000,307000,7708000,-59082000,-59177000,-52083000,-38851000,-59389000,WDAY
2014-01-31,USD,141866000,141866000,279560000,30904000,-47976000,83759000,55317000,189842000,615000,-7654000,None,7654000,None,-6921000,8500000,10714000,-54897000,1085000,7654000,-47976000,-55897000,-47976000,-36529000,-55982000,WDAY
2013-10-31,USD,79281000,127872000,48591000,30515000,-40399000,70331000,49349000,168271000,576000,-7663000,None,7663000,None,-6893000,7900000,9361000,-47292000,242000,7663000,-47292000,-47461000,-40399000,-30268000,-47534000,WDAY
2013-07-31,USD,66801000,107555000,40754000,24427000,-32283000,57916000,41168000,139838000,450000,-3879000,None,3879000,None,-3479000,7000000,8051000,-35762000,216000,3879000,-35762000,-35932000,-32283000,-23832000,-35978000,WDAY
2013-04-30,USD,54946000,91645000,36699000,21769000,-32624000,51288000,36282000,124269000,351000,-422000,None,422000,None,-256000,5700000,6569000,-32880000,135000,422000,-33015000,-33018000,-32624000,-25889000,-33015000,WDAY
2013-01-31,USD,48533000,81519000,32986000,32986000,-30678000,48959000,30252000,112197000,326000,-369000,None,369000,None,-167000,5200000,9386000,-30845000,99000,369000,-30678000,-30908000,-30678000,-21090000,-30944000,WDAY
2012-10-31,USD,42424000,72618000,30194000,30194000,-40868000,55217000,28075000,113486000,107000,-431000,None,431000,None,-364000,4100000,2750000,-41393000,78000,431000,-41310000,-41303000,-40868000,-38212000,-41471000,WDAY
2012-07-31,USD,34437000,62702000,28265000,28265000,-26360000,7616000,23552000,89062000,None,None,None,306000,None,-637000,3600000,3943000,-26997000,-116000,None,None,-26877000,-26360000,-22748000,-27087000,WDAY
2012-04-30,USD,31728000,56818000,25090000,25090000,-19957000,6061000,20786000,76775000,None,None,None,257000,None,-35000,3100000,3534000,-19992000,63000,None,None,-20037000,-19957000,-16423000,-20256000,WDAY
2012-01-31,USD,22828000,43158000,20330000,20330000,-23091000,5050000,18287000,66249000,None,None,None,976000,None,-444000,2800000,3069000,-23535000,51000,None,None,-23595000,-23091000,-20064000,-23843000,WDAY
