fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Symbol
2023-12-31,EUR,3717300000,7237000000,3519700000,3519700000,2391900000,284100000,1041300000,1325400000,None,5200000,None,None,None,None,None,212100000,2397100000,385600000,None,2048100000,None,2585800000,2797900000,2048100000,ASML
2023-09-30,EUR,3461600000,6673000000,3211400000,3211400000,2182400000,287800000,991400000,1279200000,None,7100000,None,None,None,None,None,176200000,2189500000,343700000,None,1893400000,None,2182400000,2358600000,1893400000,ASML
2023-06-30,EUR,3544000000,6902300000,3358300000,3358300000,2263000000,281100000,999900000,1281000000,None,16700000,None,16700000,None,None,None,181200000,2279700000,403900000,None,1875800000,None,2263000000,2444200000,1941700000,ASML
2023-03-31,EUR,3413200000,6746200000,3333000000,3333000000,2205000000,260300000,947900000,1208200000,None,12200000,None,12200000,None,None,None,170300000,2217200000,302600000,None,1914600000,None,2205000000,2375300000,1955800000,ASML
2022-12-31,EUR,3310900000,6430200000,3119300000,3119300000,2124200000,280400000,906300000,1186700000,None,-3100000,None,19300000,None,None,None,183200000,2121100000,357300000,None,1763800000,None,2124200000,2307400000,1816500000,ASML
2022-09-30,EUR,2993700000,5778300000,2784600000,2784600000,1938500000,207700000,819400000,1055200000,None,-15600000,None,15100000,None,None,None,137900000,1923400000,252000000,None,654600000,None,1938500000,2076400000,1731600000,ASML
2022-06-30,EUR,2664500000,5430500000,2766000000,2766000000,1653400000,222000000,789100000,1011100000,None,-10800000,None,10800000,None,None,None,131500000,1642600000,246200000,None,1396400000,None,1653400000,1784900000,1425400000,ASML
2022-03-31,EUR,1731000000,3534400000,1803400000,1803400000,784600000,207700000,738700000,946400000,None,-15600000,None,15600000,None,None,None,131000000,769000000,114400000,None,654600000,None,784600000,915600000,736000000,ASML
2021-12-31,EUR,2700600000,4985600000,2285000000,2285000000,2031200000,202500000,680600000,883100000,None,-12200000,None,12200000,None,None,None,124200000,2019000000,316000000,None,1703000000,None,1817500000,1941700000,1703000000,ASML
2021-09-30,EUR,2711400000,5241300000,2529900000,2529900000,1919300000,182900000,609200000,792100000,None,-10500000,None,10500000,None,None,None,116200000,1908800000,270900000,None,1637900000,None,1919300000,2035500000,1637900000,ASML
2021-06-30,EUR,2044600000,4020200000,1975600000,1975600000,1239000000,171800000,633800000,805600000,None,-9800000,None,9800000,None,None,None,112700000,1229200000,204200000,None,1025000000,None,1239000000,1351700000,1025000000,ASML
2021-03-31,EUR,2352400000,4363900000,2011500000,2011500000,1560600000,168400000,623400000,791800000,None,-12100000,None,12100000,None,None,None,117900000,1548500000,230300000,None,1318200000,None,1560600000,1678500000,1318200000,ASML
2020-12-31,EUR,2211100000,4254100000,2043000000,2043000000,1503700000,151500000,555900000,707400000,None,-8000000,None,8000000,None,None,None,125400000,1495700000,170200000,None,1325500000,None,1503700000,1629100000,1325500000,ASML
