fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Symbol
2023-12-31,USD,991000000,4561100000,3570100000,2561600000,-2143400000,922500000,228700000,3134400000,56900000,-104900000,282200000,104900000,4666000000,None,None,94500000,1143800000,265400000,104900000,878400000,1601000000,1248700000,1343200000,878400000,ADP
2023-09-30,USD,936000000,4418900000,3482900000,2515400000,-2087300000,880300000,236500000,3023300000,46500000,-91600000,248200000,91600000,4510500000,None,None,95700000,1092800000,233400000,91600000,859400000,697400000,1184400000,1280100000,859400000,ADP
2023-06-30,USD,936100000,4638100000,3702000000,2485300000,-2169800000,957200000,222300000,3105900000,66700000,-106900000,302400000,106900000,4477000000,77200000,None,270800000,1005600000,228900000,106900000,776700000,598700000,1112500000,1383300000,776700000,ADP
2023-03-31,USD,1247500000,4888600000,3641100000,2623800000,-1990300000,938000000,208600000,3237800000,24100000,-38300000,273500000,38300000,4926900000,36300000,None,92400000,1364000000,320900000,38300000,1043100000,1366200000,1402300000,1494700000,1043100000,ADP
2022-12-31,USD,935500000,4322500000,3387000000,2450700000,-2054700000,855700000,204200000,2990200000,28900000,-57000000,216100000,57000000,4379500000,30500000,None,93700000,1058100000,245000000,57000000,813100000,1086300000,1115100000,1208800000,813100000,ADP
2022-09-30,USD,888000000,4162900000,3274900000,2393600000,-1986700000,800300000,209800000,2874700000,29700000,-51200000,170700000,51200000,4214100000,39500000,None,92300000,1010000000,231000000,51200000,779000000,48600000,1061200000,1153500000,779000000,ADP
2022-06-30,USD,614100000,4182800000,3568700000,2385900000,-2368700000,914200000,212800000,2982800000,17200000,-26600000,143900000,26600000,4123100000,None,None,258400000,803400000,177900000,26600000,625500000,-105900000,830000000,1088400000,625500000,ADP
2022-03-31,USD,1092000000,4494300000,3402300000,2512200000,-1931800000,817500000,None,3023800000,5600000,-18400000,123600000,18400000,4512700000,25000000,None,86100000,1189900000,261400000,18400000,928500000,-5400000,1208300000,1294400000,928500000,ADP
2021-12-31,USD,817300000,4007400000,3190100000,2341200000,-2005700000,782300000,None,2823000000,8500000,-18400000,8500000,18400000,4025800000,None,None,84300000,910100000,215700000,18400000,694400000,488900000,928500000,1012800000,694400000,ADP
2021-09-30,USD,804900000,3815200000,3010300000,2222600000,-1843800000,719200000,None,2648700000,9700000,-18500000,9700000,18500000,3832400000,28800000,None,86200000,900800000,200300000,18500000,700500000,567000000,919300000,1005500000,700500000,ADP
2021-06-30,USD,463300000,3768400000,3305100000,2205500000,-2283900000,840700000,None,2747200000,7600000,-17300000,7500000,17300000,3740700000,23600000,None,264800000,697100000,158900000,17300000,538200000,806500000,714400000,979200000,538200000,ADP
2021-03-31,USD,978900000,4088100000,3109200000,2278100000,-1782000000,763000000,None,2760900000,4700000,-13500000,4700000,13500000,4101600000,18800000,None,81000000,1066200000,255500000,13500000,810700000,512700000,1079700000,1160700000,810700000,ADP
2020-12-31,USD,732100000,3681800000,2949700000,2122400000,-1869900000,755800000,None,2602000000,10400000,-13900000,10400000,13900000,3695700000,29000000,None,80800000,832600000,185100000,13900000,647500000,671900000,846500000,927300000,647500000,ADP
2020-09-30,USD,681800000,3470700000,2788900000,2034300000,-1761100000,681000000,None,2442900000,13800000,-15100000,13800000,15100000,3470700000,24900000,None,84200000,765200000,163100000,15100000,602100000,632800000,780300000,864500000,602100000,ADP
2020-06-30,USD,1309600000,3376800000,2067200000,2067200000,1309600000,765600000,None,2568000000,14400000,-15600000,14500000,15600000,3376800000,2800000,None,269000000,531200000,119700000,15600000,531300000,631200000,546800000,815800000,411500000,ADP
2020-03-31,USD,1808700000,4047800000,2239100000,2239100000,-1720500000,756600000,None,2730700000,12100000,-20000000,12100000,20000000,4047800000,44600000,None,71900000,1076700000,255800000,20000000,820900000,817700000,1096700000,1168600000,820900000,ADP
2019-12-31,USD,1575400000,3669500000,2094100000,2094100000,-1825900000,754300000,None,2590300000,25700000,-31600000,25700000,31600000,3669500000,46000000,None,69700000,835500000,183900000,31600000,651600000,654300000,867100000,936800000,651600000,ADP
2019-09-30,USD,1450900000,3495700000,2044800000,2044800000,-1839200000,726500000,None,2512300000,32300000,-39900000,32300000,39900000,3495700000,54600000,None,69400000,739100000,156700000,39900000,582400000,605800000,779000000,848400000,582400000,ADP
2019-06-30,USD,1478200000,3479300000,2001100000,2001100000,1478200000,854800000,None,2634400000,26000000,-33700000,26000000,33700000,3498700000,43600000,None,243000000,633400000,157900000,33700000,633300000,630000000,667100000,910100000,475500000,ADP
2019-03-31,USD,1735600000,3828200000,2092600000,2092600000,-1696800000,750400000,None,2624900000,15000000,-21700000,15000000,21700000,3847400000,21000000,None,57100000,984500000,230800000,21700000,753700000,956800000,1006200000,1063300000,753700000,ADP
2018-12-31,USD,1492200000,3492400000,2000200000,2000200000,-1835400000,745200000,156100000,2527000000,28100000,-38600000,None,38600000,3505900000,32600000,None,55400000,741000000,182800000,38600000,558200000,683300000,779600000,835000000,558200000,ADP
2018-09-30,USD,1382700000,3310300000,1927600000,1927600000,-1825400000,713900000,158000000,2423800000,28500000,-35900000,None,35900000,3323200000,13900000,None,53400000,646800000,141400000,35900000,505400000,445100000,682700000,736100000,505400000,ADP
2018-06-30,USD,1373800000,3316200000,1942400000,1942400000,1366400000,810400000,152600000,2563300000,24100000,-28600000,None,28600000,-10011500000,-296500000,None,227200000,254900000,114000000,28600000,204500000,89800000,283500000,510700000,140900000,ADP
2018-03-31,USD,1616700000,3696000000,2079300000,2079300000,-1804400000,750100000,162500000,2599800000,11000000,-18600000,None,18600000,3696000000,10700000,None,52000000,875200000,214200000,18600000,643100000,502800000,893800000,945800000,661000000,ADP
2017-12-31,USD,1300400000,3238300000,1937900000,1937900000,-1920100000,723600000,159400000,2436500000,22700000,-27500000,None,27500000,3238300000,21700000,None,51800000,587500000,-82900000,27500000,467500000,580500000,615000000,666800000,670400000,ADP
2017-09-30,USD,1225700000,3077200000,1851500000,1851500000,-1808600000,675400000,158200000,2309300000,25800000,-28000000,None,28000000,3077200000,26200000,None,46600000,564900000,152300000,28000000,401500000,457500000,592900000,639500000,412600000,ADP
2017-06-30,USD,1217600000,3064800000,1847200000,1822100000,1174100000,820200000,166900000,43500000,22200000,-22800000,None,22800000,None,23400000,None,190300000,419800000,154000000,22800000,265800000,450200000,442600000,632900000,265800000,ADP
2017-03-31,USD,1499800000,3410800000,1911000000,1911000000,-1572700000,665000000,153200000,2366500000,10100000,-16800000,None,16800000,None,9900000,None,40400000,827900000,240000000,16800000,587900000,641400000,844700000,885100000,587900000,ADP
2016-12-31,USD,1219500000,2987300000,1767800000,1767800000,-1666500000,640800000,152500000,2201200000,21300000,-20500000,None,20500000,None,228000000,None,42800000,786200000,275300000,20500000,510900000,190600000,806700000,849500000,510900000,ADP
2016-09-30,USD,1173300000,2916900000,1743600000,1743600000,-1736100000,647700000,154900000,2179200000,22900000,-19900000,None,19900000,None,23000000,None,42600000,528700000,160000000,19900000,368700000,337400000,548600000,591200000,368700000,ADP
2016-06-30,USD,1199700000,2898200000,1698500000,1698600000,1151500000,770300000,150700000,48200000,16800000,-18100000,None,18100000,None,15700000,None,175300000,427000000,145000000,18100000,282000000,226900000,445100000,620400000,282000000,ADP
2016-03-31,USD,1435900000,3248600000,1812700000,1812700000,-1484100000,634400000,147300000,2246000000,9700000,-16300000,None,16300000,None,9600000,None,39600000,794800000,262300000,16300000,532500000,751600000,811100000,850700000,532500000,ADP
2015-12-31,USD,1124500000,2807000000,1682500000,1682500000,-1647300000,627200000,149600000,2106600000,17300000,-16800000,None,16800000,None,27400000,None,38000000,507900000,166500000,16800000,341400000,209700000,524700000,562700000,341400000,ADP
2015-09-30,USD,1067500000,2714000000,1646500000,1646500000,-1618600000,605300000,156100000,2045100000,18600000,-4900000,None,4900000,None,47700000,None,35700000,504100000,167500000,4900000,337500000,349800000,509000000,544700000,336600000,ADP
2015-06-30,USD,1092700000,2694500000,1601800000,1590700000,1092700000,725200000,149100000,2111800000,13000000,-1600000,None,1600000,None,15600000,None,163600000,460800000,124600000,1600000,257000000,212600000,462400000,626000000,336200000,ADP
