fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Symbol
2023-12-31,USD,359000000,474000000,115000000,115000000,-105000000,311000000,141000000,439000000,None,-9000000,None,9000000,475000000,43000000,None,-31000000,-70000000,3000000,8000000,-73000000,-57000000,-105000000,-92000000,-73000000,ZG
2023-09-30,USD,386000000,496000000,110000000,110000000,-53000000,295000000,142000000,457000000,None,-9000000,None,9000000,496000000,34000000,None,19000000,-28000000,0,9000000,-28000000,-30000000,-53000000,-34000000,-28000000,ZG
2023-06-30,USD,402000000,506000000,104000000,104000000,-67000000,326000000,140000000,485000000,None,-9000000,None,9000000,506000000,42000000,None,18000000,-34000000,1000000,9000000,-35000000,-51000000,-67000000,-7000000,-35000000,ZG
2023-03-31,USD,377000000,469000000,92000000,92000000,-45000000,279000000,137000000,434000000,None,-9000000,None,9000000,469000000,32000000,None,18000000,-22000000,0,9000000,-22000000,-10000000,-45000000,5000000,-22000000,ZG
2022-12-31,USD,346000000,435000000,89000000,0,-83000000,290000000,129000000,378000000,None,-9000000,None,9000000,435000000,24000000,None,-41000000,-68000000,4000000,9000000,-72000000,-68000000,-83000000,-100000000,-72000000,ZG
2022-09-30,USD,394000000,483000000,89000000,0,-51000000,303000000,142000000,462000000,None,-9000000,None,9000000,483000000,12000000,None,17000000,-50000000,3000000,9000000,-51000000,-59000000,-51000000,-24000000,-53000000,ZG
2022-06-30,USD,407000000,504000000,97000000,4000000,5000000,305000000,119000000,449000000,None,-9000000,None,9000000,1009000000,12000000,None,25000000,-1000000,-9000000,9000000,10000000,-4000000,5000000,33000000,8000000,ZG
2022-03-31,USD,444000000,536000000,92000000,5000000,36000000,426000000,108000000,570000000,None,-44000000,None,44000000,4243000000,8000000,None,30000000,21000000,5000000,58000000,25000000,8000000,36000000,95000000,16000000,ZG
2021-12-31,USD,440000000,535000000,95000000,103562000,32000000,474579000,102000000,560765000,None,-68188000,None,68188000,3882313000,4198000,None,-32000000,-262000000,-1000000,68188000,6000000,-254000000,32000000,-225812000,-261000000,ZG
2021-09-30,USD,468000000,550000000,82000000,280014000,55000000,407484000,101000000,544010000,None,-44737000,None,44737000,1721858000,1964000,None,21800000,-334000000,-5000000,59522000,18000000,-329000000,55000000,-267463000,-329000000,ZG
2021-06-30,USD,538000000,1310000000,772000000,12742000,62000000,344536000,129000000,497170000,None,-39430000,None,39430000,1309049000,1587000,None,20500000,23000000,13000000,40361000,9651000,10000000,62000000,82930000,10000000,ZG
2021-03-31,USD,507000000,1218000000,711000000,11603000,88000000,294144000,120000000,469163000,None,-39555000,None,39555000,1212619000,2439000,None,20800000,49000000,-3000000,40958000,51964000,52000000,88000000,109355000,52000000,ZG
2020-12-31,USD,341789000,742804000,-1268654000,101986000,239740000,255175000,31238000,353806000,None,-40575000,None,40575000,783379000,2803000,None,-29800000,46275000,124000,45518000,213151000,46030000,239740000,57050000,46151000,ZG
2020-09-30,USD,412919000,656692000,243773000,6158000,76447000,236721000,94774000,384121000,None,-39470000,None,39470000,656692000,3018000,None,20100000,39995000,425000,39470000,39595000,38506000,76447000,99565000,39570000,ZG
2020-06-30,USD,280869000,768352000,487483000,2799000,-62685000,241109000,97507000,390166000,None,-37590000,None,37590000,774743000,10115000,None,20200000,-83769000,679000,31199000,-84448000,-87209000,-62685000,-25979000,-84448000,ZG
2020-03-31,USD,333423000,1095095000,761672000,4143000,-144502000,296933000,134918000,457961000,None,-37592000,37592000,37592000,1123869000,9593000,None,23600000,-172501000,-9228000,37592000,-163273000,-159327000,-144502000,-111309000,-163273000,ZG
2019-12-31,USD,289861000,902590000,721695000,7208000,-73774000,282831000,-1151000,383712000,None,-39927000,39927000,39927000,942517000,12033000,None,-26700000,-101668000,-458000,39927000,-101210000,-101654000,-73774000,-88441000,-101210000,ZG
2019-09-30,USD,318871000,718706000,399835000,19084000,-48446000,269840000,123974000,411019000,None,-26502000,26502000,26502000,745208000,8999000,None,17200000,-65949000,-1300000,26502000,-64649000,-64761000,-48446000,-22247000,-64649000,ZG
2019-06-30,USD,309460000,580681000,271221000,3598000,-62538000,270272000,120330000,408295000,None,-18897000,18897000,18897000,599578000,9458000,None,17400000,-71977000,0,18897000,-71977000,-71278000,-62538000,-35680000,-71977000,ZG
2019-03-31,USD,284586000,435934000,151348000,6269000,-62727000,257361000,107770000,384315000,None,-16466000,16466000,16466000,452400000,9168000,None,17000000,-70025000,-2500000,16466000,-67525000,-66423000,-62727000,-36559000,-67525000,ZG
2018-12-31,USD,283048000,350520000,67472000,134903000,-97719000,213627000,111195000,426428000,None,-14327000,None,14327000,364847000,5962000,None,22874000,-106084000,-8402000,14327000,-97682000,-96926000,-97719000,-68883000,-97682000,ZG
2018-09-30,USD,293754000,330426000,36672000,5394000,-10297000,199477000,105314000,329984000,None,-12668000,None,12668000,343094000,7773000,None,23265000,-15192000,-14700000,12668000,-492000,-878000,-10297000,20741000,-492000,ZG
2018-06-30,USD,292532000,318059000,25527000,5914000,-9595000,208306000,100376000,335234000,None,-7187000,None,7187000,325246000,3089000,None,25920000,-13693000,-10600000,7187000,-3093000,-2914000,-9595000,19414000,-3093000,ZG
2018-03-31,USD,275960000,299879000,23919000,7379000,-11364000,193364000,93933000,315609000,None,-7073000,None,7073000,-1803000,2446000,None,26749000,-15991000,2600000,7073000,-18600000,-18945000,-11364000,17831000,-18591000,ZG
2017-12-31,USD,259771000,282330000,22559000,72518000,-161226000,161713000,85187000,452002000,None,-6991000,None,6991000,-1593000,1415000,None,28387000,-166802000,-89627000,6991000,-77175000,-77930000,-161226000,-131424000,-77175000,ZG
2017-09-30,USD,259687000,281839000,22152000,5133000,14746000,161334000,83389000,272383000,None,-6906000,None,6906000,281839000,1407000,None,27442000,9247000,41000,6906000,9206000,9305000,14746000,43595000,9206000,ZG
2017-06-30,USD,246590000,266850000,20260000,4106000,-16558000,184564000,78541000,290207000,None,-6897000,None,6897000,266850000,1610000,None,27059000,-21845000,0,6897000,-21845000,-22022000,-16558000,12111000,-21845000,ZG
2017-03-31,USD,225543000,245775000,20232000,3446000,1164000,151406000,72868000,253257000,None,-6723000,None,6723000,-999000,953000,None,27161000,-4606000,0,6723000,-4606000,-4631000,1164000,29278000,-4606000,ZG
2016-12-31,USD,208906000,227612000,18706000,57677000,2712000,132645000,67320000,232204000,None,-2668000,None,2668000,-23030000,716000,None,25730000,-21997000,1494000,25425000,-23491000,-23931000,2712000,6401000,-23491000,ZG
2016-09-30,USD,206984000,224592000,17608000,1599000,7841000,130484000,64496000,225265000,None,-1595000,None,1595000,114000,561000,None,25517000,6807000,0,1595000,6807000,6628000,7841000,33919000,6807000,ZG
2016-06-30,USD,191658000,208403000,16745000,3152000,-155330000,278888000,63396000,372058000,None,-1572000,None,1572000,-734000,753000,None,25545000,-156149000,0,1572000,-156149000,-155941000,-155330000,-129032000,-156149000,ZG
2016-03-31,USD,169779000,185982000,16203000,6834000,-48077000,152597000,60371000,243115000,None,-1573000,None,1573000,-1436000,681000,None,23759000,-48969000,-1364000,1573000,-47605000,-46965000,-48077000,-23637000,-47605000,ZG
2015-12-31,USD,155752000,169370000,13618000,1343000,-26339000,123756000,41694000,203171000,None,-1589000,None,1589000,-586000,416000,None,21385000,-27512000,-1792000,1589000,-25720000,-26461000,-25923000,-4538000,-25720000,ZG
2015-09-30,USD,160312000,176765000,16453000,11898000,-27678000,124716000,53718000,203452000,None,-1590000,None,1590000,-4198000,366000,None,19605000,-28902000,-2853000,1590000,-26049000,-25896000,-27312000,-7707000,-26049000,ZG
2015-06-30,USD,154232000,171269000,17037000,1242000,-37591000,131752000,51740000,212240000,None,-1580000,None,1580000,-412000,450000,None,20417000,-38721000,2030000,1580000,-37141000,-38743000,-37591000,-17174000,-38721000,ZG
