fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Symbol
2023-12-31,EUR,6208000000,8468000000,2260000000,2260000000,1985000000,353000000,1667000000,4223000000,None,-93000000,284000000,195000000,None,None,None,331000000,1761000000,595000000,None,1201000000,None,1985000000,2316000000,1313000000,SAP
2023-09-30,EUR,5636000000,7744000000,2108000000,2108000000,1724000000,327000000,1515000000,3949000000,None,-75000000,50000000,279000000,None,None,None,328000000,1761000000,489000000,None,1272000000,None,2004000000,2332000000,1278000000,SAP
2023-06-30,EUR,5410000000,7555000000,2145000000,2145000000,1358000000,322000000,1565000000,4055000000,None,-175000000,11000000,363000000,None,None,None,349000000,1093000000,369000000,None,724000000,None,1453000000,1802000000,3455000000,SAP
2023-03-31,EUR,5285000000,7441000000,2156000000,2156000000,1230000000,348000000,1573000000,4220000000,None,-112000000,30000000,293000000,None,None,None,365000000,677000000,274000000,None,403000000,None,1230000000,1595000000,407000000,SAP
2022-12-31,EUR,5285000000,7441000000,2156000000,2156000000,1230000000,348000000,1573000000,4220000000,None,-880000000,133000000,293000000,None,None,None,365000000,677000000,274000000,None,332000000,None,1230000000,1595000000,407000000,SAP
2022-09-30,EUR,5575000000,7841000000,2266000000,2266000000,1239000000,521000000,1574000000,4344000000,None,-331000000,306000000,497000000,None,None,None,592000000,850000000,304000000,None,546000000,None,1239000000,1831000000,669000000,SAP
2022-06-30,EUR,5317000000,7516000000,2199000000,2199000000,965000000,530000000,1545000000,4516000000,None,-118000000,178000000,297000000,None,None,None,473000000,538000000,335000000,None,203000000,None,965000000,1438000000,203000000,SAP
2022-03-31,EUR,4978000000,7077000000,2099000000,2099000000,1053000000,504000000,1425000000,3936000000,None,-56000000,342000000,398000000,None,None,None,740000000,945000000,313000000,None,632000000,None,1053000000,1793000000,740000000,SAP
2021-12-31,EUR,5822000000,7980000000,2158000000,2158000000,1470000000,757000000,1412000000,4353000000,None,523000000,551000000,335000000,None,None,None,467000000,1957000000,517000000,None,1450000000,None,1003000000,1470000000,1450000000,SAP
2021-09-30,EUR,4887000000,6845000000,1958000000,1958000000,1249000000,576000000,1300000000,3651000000,None,484000000,534000000,233000000,None,None,None,437000000,1749000000,331000000,None,1418000000,None,1969000000,2406000000,1406000000,SAP
