fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Symbol
2023-12-31,USD,1937000000,3422000000,1485000000,1548000000,907000000,311000000,651000000,1025000000,None,-56000000,53000000,109000000,3415000000,-78000000,167000000,-83000000,821000000,124000000,109000000,703000000,747000000,930000000,847000000,697000000,NXPI
2023-09-30,USD,1965000000,3434000000,1469000000,1469000000,992000000,294000000,601000000,966000000,None,-60000000,49000000,109000000,3434000000,-75000000,163000000,273000000,910000000,123000000,109000000,792000000,740000000,1019000000,1292000000,787000000,NXPI
2023-06-30,USD,1881000000,3299000000,1418000000,1418000000,937000000,274000000,589000000,944000000,None,-66000000,43000000,109000000,3299000000,-74000000,162000000,281000000,856000000,158000000,109000000,704000000,687000000,965000000,1246000000,698000000,NXPI
2023-03-31,USD,1770000000,3121000000,1351000000,1351000000,825000000,280000000,577000000,942000000,None,-82000000,42000000,111000000,None,-82000000,160000000,283000000,733000000,118000000,None,623000000,637000000,844000000,1127000000,615000000,NXPI
2022-12-31,USD,1891000000,3312000000,1421000000,1421000000,980000000,261000000,540000000,910000000,None,-76000000,32000000,108000000,3291000000,-103000000,158000000,302000000,859000000,137000000,108000000,734000000,940000000,967000000,1269000000,722000000,NXPI
2022-09-30,USD,1967000000,3445000000,1478000000,1478000000,1001000000,289000000,548000000,968000000,None,-88000000,21000000,109000000,3445000000,-98000000,156000000,321000000,887000000,149000000,109000000,750000000,648000000,996000000,1317000000,738000000,NXPI
2022-06-30,USD,1882000000,3312000000,1430000000,1430000000,943000000,265000000,542000000,941000000,None,-100000000,6000000,106000000,3294000000,-128000000,149000000,317000000,799000000,129000000,124000000,683000000,592000000,905000000,1222000000,670000000,NXPI
2022-03-31,USD,1777000000,3136000000,1359000000,1359000000,873000000,251000000,518000000,904000000,None,-102000000,2000000,104000000,3137000000,-105000000,142000000,310000000,771000000,114000000,104000000,666000000,635000000,875000000,1185000000,657000000,NXPI
2021-12-31,USD,1707000000,3039000000,1332000000,1332000000,807000000,257000000,507000000,900000000,None,-95000000,1000000,96000000,3020000000,-123000000,145000000,310000000,482000000,-120000000,118000000,610000000,605000000,578000000,888000000,602000000,NXPI
2021-09-30,USD,1583000000,2861000000,1278000000,1278000000,711000000,243000000,492000000,872000000,None,-95000000,1000000,96000000,2864000000,-93000000,139000000,306000000,614000000,95000000,96000000,526000000,494000000,710000000,1016000000,519000000,NXPI
2021-06-30,USD,1422000000,2596000000,1174000000,1174000000,573000000,234000000,476000000,849000000,None,-89000000,1000000,90000000,2595000000,-100000000,135000000,305000000,462000000,65000000,90000000,406000000,406000000,552000000,857000000,397000000,NXPI
2021-03-31,USD,1355000000,2567000000,1212000000,1212000000,492000000,222000000,461000000,863000000,None,-86000000,1000000,87000000,2568000000,-87000000,132000000,341000000,393000000,40000000,87000000,364000000,297000000,480000000,821000000,353000000,NXPI
2020-12-31,USD,1288000000,2507000000,1219000000,1219000000,463000000,221000000,460000000,829000000,None,-84000000,2000000,86000000,2441000000,-137000000,139000000,316000000,314000000,5000000,146000000,317000000,336000000,400000000,716000000,309000000,NXPI
2020-09-30,USD,1090000000,2267000000,1177000000,1177000000,32000000,203000000,438000000,1059000000,None,-97000000,3000000,100000000,2262000000,-106000000,139000000,589000000,-79000000,-57000000,100000000,-17000000,18000000,21000000,610000000,-22000000,NXPI
2020-06-30,USD,860000000,1817000000,957000000,957000000,-145000000,222000000,402000000,1004000000,None,-90000000,4000000,94000000,1812000000,-96000000,136000000,543000000,-247000000,-33000000,94000000,-208000000,-178000000,-153000000,390000000,-214000000,NXPI
2020-03-31,USD,997000000,2021000000,1024000000,1024000000,68000000,233000000,425000000,1039000000,None,-78000000,4000000,82000000,2135000000,-78000000,133000000,540000000,-19000000,2000000,82000000,-12000000,-82000000,63000000,603000000,-21000000,NXPI
2019-12-31,USD,1209000000,2301000000,1092000000,1092000000,197000000,225000000,424000000,1014000000,None,-81000000,15000000,96000000,2292000000,-93000000,131000000,522000000,94000000,-20000000,96000000,125000000,122000000,190000000,712000000,114000000,NXPI
2019-09-30,USD,1186000000,2265000000,1079000000,1079000000,233000000,221000000,396000000,975000000,None,-81000000,17000000,98000000,2265000000,-85000000,135000000,517000000,137000000,28000000,99000000,120000000,58000000,235000000,752000000,109000000,NXPI
2019-06-30,USD,1151000000,2217000000,1066000000,1066000000,157000000,230000000,408000000,993000000,None,-77000000,12000000,89000000,2206000000,-89000000,128000000,506000000,62000000,21000000,99000000,47000000,50000000,151000000,657000000,41000000,NXPI
