fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Symbol
2023-12-31,USD,279190000,362473000,83283000,83858000,-42829000,225618000,96401000,322019000,None,-1069000,20190000,1069000,362473000,-2103000,30200000,5300000,-25811000,2054000,1069000,-27865000,-21733000,-24742000,-19442000,-27865000,NET
2023-09-30,USD,257534000,335603000,78069000,78069000,-39212000,206153000,90593000,296746000,None,-1138000,17954000,1138000,335603000,115000,29000000,4900000,-22281000,1254000,1138000,-23535000,-21374000,-21143000,-16243000,-23535000,NET
2023-06-30,USD,233273000,308494000,75221000,75221000,-56172000,199835000,89610000,289445000,None,-1539000,16536000,1539000,258194000,-1527000,28400000,4900000,-93002000,1465000,51839000,-94467000,-94638000,-91463000,-86563000,-94467000,NET
2023-03-31,USD,219743000,290175000,70432000,70432000,-47272000,185476000,81539000,267015000,None,-2126000,13487000,2126000,290175000,-857000,25800000,4900000,-36768000,1314000,2126000,-38082000,-32324000,-34642000,-29742000,-38082000,NET
2022-12-31,USD,206912000,274700000,67788000,67788000,-50691000,177900000,79703000,257603000,None,-875000,8323000,875000,276700000,-1602000,24000000,4900000,-44845000,1072000,875000,-45917000,-40515000,-43970000,-39070000,-45917000,NET
2022-09-30,USD,191890000,253857000,61967000,61967000,-45947000,161405000,76432000,237837000,None,-1512000,2340000,1512000,253857000,2433000,21900000,4900000,-41174000,1372000,1512000,-42546000,-43766000,-39662000,-34762000,-42546000,NET
2022-06-30,USD,178713000,234517000,55804000,55804000,-64541000,168140000,75114000,243254000,None,-1040000,1641000,1040000,234517000,233000,20000000,4900000,-63707000,-170000,1040000,-63507000,-66870000,-62667000,-57767000,-63537000,NET
2022-03-31,USD,165116000,212167000,47051000,47051000,-40024000,138086000,67054000,205140000,None,-1557000,1061000,1557000,212167000,-487000,18900000,500000,-41007000,374000,1557000,-41381000,-51481000,-39450000,-38950000,-41381000,NET
2021-12-31,USD,151100000,193596000,42496000,42496000,-41064000,130402000,61762000,192164000,None,-16108000,15440000,16108000,193196000,-426000,17100000,800000,-56930000,20571000,16108000,-77501000,-79935000,-40822000,-40022000,-77501000,NET
2021-09-30,USD,134822000,172347000,37525000,37525000,-26494000,114546000,46770000,161316000,None,-12448000,12063000,12448000,100113000,361000,16100000,700000,-110430000,-3095000,84682000,-107335000,-107502000,-97982000,-97282000,-107335000,NET
