fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2024-03-01,USD,1174000000,47000000,None,-152000000,7000000,212000000,37000000,-166000000,None,620000000,66000000,-2128000000,None,2000000000,2000000000,None,None,None,None,None,None,None,-1903000000,97000000,None,None,620000000,ADBE
2023-12-01,USD,1597000000,100000000,None,-463000000,407000000,222000000,47000000,376000000,378000000,1483000000,153000000,-1217000000,None,1000000000,1000000000,None,None,None,None,None,None,None,-1000000000,0,None,None,1483000000,ADBE
2023-09-01,USD,1873000000,None,None,None,None,218000000,91000000,168000000,186000000,1403000000,145000000,-871000000,None,1000000000,0,None,None,None,None,None,0,None,0,244000000,None,None,1403000000,ADBE
2023-05-31,USD,2139000000,None,None,None,None,220000000,121000000,None,-142000000,1295000000,145000000,-1080000000,None,None,0,None,None,None,None,None,0,None,0,None,None,None,1295000000,ADBE
2023-03-03,USD,1693000000,55000000,None,-226000000,-11000000,212000000,101000000,-269000000,None,1247000000,156000000,-2014000000,None,1400000000,1400000000,None,None,None,None,None,None,None,-1331000000,69000000,None,None,1247000000,ADBE
2022-12-02,USD,2325000000,109000000,None,316000000,305000000,215000000,91000000,344000000,None,1176000000,-69000000,-1911000000,None,1750000000,1750000000,None,None,None,None,None,None,None,-1750000000,0,None,None,1176000000,ADBE
2022-09-02,USD,1704000000,51000000,None,-77000000,134000000,216000000,125000000,141000000,None,1136000000,-103000000,-1060000000,None,1200000000,1200000000,None,None,None,None,None,None,None,-1013000000,187000000,None,None,1136000000,ADBE
2022-06-03,USD,2040000000,0,None,200000000,-143000000,212000000,126000000,-96000000,None,1178000000,-138000000,-1250000000,None,1200000000,1200000000,None,None,None,None,None,None,None,-1200000000,0,None,None,1178000000,ADBE
2022-03-04,USD,1769000000,50000000,None,-347000000,-4000000,213000000,100000000,-191000000,None,1266000000,-260000000,-2604000000,None,2400000000,2400000000,None,None,None,None,None,None,None,-2309000000,91000000,None,None,1266000000,ADBE
2021-12-03,USD,2066000000,116000000,None,160000000,377000000,205000000,99000000,325000000,363000000,1233000000,-1739000000,-1078000000,None,1000000000,1000000000,None,None,None,None,None,None,None,-999000000,1000000,-751000000,-28000000,1233000000,ADBE
