fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2023-12-31,USD,1595000000,-538000000,None,401000000,446000000,281000000,354000000,96000000,None,889000000,-358000000,-1320000000,576000000,None,None,None,12000000,None,None,None,379000000,None,33000000,None,None,None,870000000,FI
2023-09-30,USD,1559000000,334000000,None,208000000,152000000,579000000,355000000,12000000,-76000000,969000000,-97000000,-1286000000,-1265000000,0,0,None,8000000,763000000,None,None,2028000000,None,15000000,None,None,None,952000000,FI
2023-06-30,USD,878000000,147000000,None,-270000000,380000000,614000000,340000000,124000000,-206000000,695000000,-299000000,-601000000,14000000,0,0,None,6000000,1103000000,None,None,1089000000,None,24000000,None,-3241000,None,683000000,FI
2023-03-31,USD,1130000000,222000000,None,-238000000,35000000,947000000,339000000,-255000000,-224000000,576000000,-314000000,-1149000000,-781000000,0,0,None,8000000,1290000000,None,None,2071000000,None,29000000,None,None,None,563000000,FI
2022-12-31,USD,1633000000,-415000000,None,494000000,359000000,376000000,331000000,249000000,-50000000,798000000,-578000000,-1281000000,-183000000,0,0,None,12000000,9000000,None,None,174000000,None,53000000,None,None,None,782000000,FI
2022-09-30,USD,1180000000,260000000,None,-49000000,213000000,608000000,430000000,158000000,21000000,493000000,-374000000,-443000000,1151000000,0,0,None,8000000,1410000000,None,None,259000000,None,24000000,None,None,None,481000000,FI
2022-06-30,USD,990000000,125000000,None,170000000,463000000,622000000,387000000,303000000,-94000000,609000000,-1060000000,323000000,651000000,0,0,None,9000000,1137000000,None,None,486000000,None,29000000,None,None,None,598000000,FI
2022-03-31,USD,815000000,178000000,None,-46000000,278000000,938000000,331000000,60000000,-130000000,682000000,-100000000,-1077000000,218000000,0,0,None,13000000,923000000,None,None,705000000,None,43000000,None,-362000000,None,669000000,FI
2021-12-31,USD,1343000000,-357000000,None,284000000,125000000,450000000,346000000,60000000,-6000000,355000000,-665000000,-435000000,353000000,0,0,None,21000000,1611000000,None,None,1258000000,None,35000000,None,629000000,None,333000000,FI
2021-09-30,USD,678000000,232000000,None,-44000000,390000000,642000000,320000000,144000000,-186000000,446000000,-267000000,-95000000,341000000,0,0,None,20000000,1175000000,None,None,834000000,None,45000000,None,446000000,None,428000000,FI
2021-06-30,USD,1061000000,125000000,None,27000000,100000000,653000000,260000000,25000000,-400000,284000000,10000000,-818000000,1103000000,0,0,None,11000000,3264000000,None,None,2161000000,None,17000000,None,284000000,None,269000000,FI
2021-03-31,USD,952000000,176000000,None,113000000,260000000,918000000,234000000,129000000,-12463000,318000000,-708000000,-393000000,-56000000,0,0,None,10000000,2126000000,None,None,2182000000,None,43000000,None,-67000000,None,304000000,FI
2020-12-31,USD,1186000000,-504000000,None,-75000000,217000000,353000000,211000000,140000000,2052000,313000000,-187000000,-646000000,22000000,0,0,None,43000000,794000000,None,None,772000000,None,25000000,None,516000000,None,300000000,FI
2020-09-30,USD,1042000000,273000000,None,67000000,101000000,671000000,201000000,-182000000,914000,276000000,-180000000,-826000000,-27000000,0,0,None,9000000,2286000000,None,None,2313000000,None,22000000,None,276000000,None,264000000,FI
2020-06-30,USD,1031000000,160000000,None,13000000,-72000000,694000000,242000000,-78000000,-2684000,9000000,-238000000,-825000000,-8000000,0,0,None,26000000,3972000000,None,None,3980000000,None,38000000,None,9000000,None,2000000,FI
2020-03-31,USD,888000000,247000000,None,-80000000,-110000000,985000000,246000000,-200000000,-1855000,377000000,264000000,-1134000000,7000000,0,0,None,26000000,1839000000,None,None,1832000000,None,48000000,None,18000000,None,392000000,FI
2019-12-31,USD,1178000000,-99000000,None,235000000,270000000,1374000000,290000000,158000000,3497000,241000000,629000000,-978000000,0,0,0,None,72000000,1405000000,None,None,1175000000,None,40000000,None,478000000,None,247000000,FI
2019-09-30,USD,1038000000,193000000,None,130000000,-64000000,16000000,221000000,-91000000,-11868000,225000000,-16173000000,7768000000,0,0,0,None,8961000000,8961000000,None,None,8961000000,None,60000000,None,225000000,None,198000000,FI
2019-06-30,USD,206000000,42000000,None,-32000000,75000000,1000000,112000000,-54000000,1760000,223000000,-100000000,7883000000,0,0,0,None,9307000000,9307000000,None,None,9307000000,None,24000000,None,230000000,None,223000000,FI
2019-03-31,USD,373000000,11000000,None,4000000,20000000,160000000,98000000,-6000000,-4083000,225000000,-36000000,-300000000,0,0,0,None,587000000,587000000,None,None,587000000,None,32000000,None,360000000,None,225000000,FI
2018-12-31,USD,-216000000,67000000,None,145000000,22000000,270000000,97000000,79000000,553000,286000000,-856000000,-23000000,None,0,0,None,1412000000,1412000000,None,None,1412000000,None,-1931000000,None,431000000,1027000,286000000,FI
2018-09-30,USD,227000000,14000000,None,-1000000,17000000,96000000,94000000,18000000,-2009000,227000000,-93000000,50000000,None,0,0,None,2466000000,2466000000,None,None,2466000000,None,16000000,None,227000000,279000,227000000,FI
2018-06-30,USD,251000000,72000000,None,-40000000,98000000,96000000,92000000,78000000,1008000,251000000,-95000000,-173000000,None,0,0,None,659047000,659047000,None,None,652000000,None,16000000,None,251000000,3333000,251000000,FI
2018-03-31,USD,815000000,12000000,None,-22000000,-23000000,94000000,77000000,-67000000,-2469000,423000000,381000000,-696000000,None,0,0,None,508439000,508439000,None,None,509000000,None,28000000,None,507000000,-1255000,423000000,FI
2017-12-31,USD,425000000,72000000,None,169000000,93000000,239000000,79000000,98000000,5956000,546000000,-82000000,-405000000,None,0,0,None,270000,270000,None,None,364000000,None,-1210000000,None,425000000,791000,546000000,FI
2017-09-30,USD,232000000,11000000,None,13000000,75000000,68000000,72000000,36000000,519000,232000000,-381000000,83000000,None,0,0,None,16998000,16998000,None,None,773000000,None,18000000,None,232000000,-1009000,232000000,FI
2017-06-30,USD,221000000,70000000,None,-123000000,-2000000,69000000,60000000,-17000000,895000,221000000,-40000000,-197000000,None,0,0,None,16723000,16723000,None,None,576000000,None,19000000,None,221000000,-27000,221000000,FI
2017-03-31,USD,849000000,7000000,None,56000000,-36000000,68000000,76000000,-42000000,4732000,247000000,-154000000,-301000000,None,0,0,None,16703000,16703000,None,None,597000000,None,28000000,None,402000000,-860000,247000000,FI
2016-12-31,USD,375000000,73000000,None,137000000,101000000,234000000,67000000,73000000,7347000,375000000,-68000000,-324000000,None,0,0,None,16680000,16680000,None,None,415000000,None,-1231000000,None,375000000,6840000,215000000,FI
2016-09-30,USD,214000000,16000000,None,49000000,20000000,65000000,78000000,18000000,8654000,214000000,-78000000,-237000000,None,0,0,None,15491000,15491000,None,None,462000000,None,18000000,None,214000000,-1386000,214000000,FI
2016-06-30,USD,212000000,95000000,None,-121000000,13000000,62000000,73000000,7000000,10550000,212000000,-71000000,-127000000,None,0,0,None,23543000,23543000,None,None,534000000,None,17000000,None,212000000,-1069000,212000000,FI
2016-03-31,USD,1062000000,14000000,None,124000000,22000000,60000000,72000000,-10000000,828000,289000000,-337000000,-164000000,None,0,0,None,23300000,23300000,None,None,715000000,None,30000000,None,569000000,-707000,289000000,FI
2015-12-31,USD,329000000,76000000,None,84000000,20000000,254000000,67000000,18000000,3926000,329000000,-64000000,-361000000,None,0,0,None,23271000,23271000,None,None,729000000,None,-1511000000,None,329000000,-2373000,189000000,FI
2015-09-30,USD,218000000,8000000,None,67000000,61000000,56000000,89000000,37000000,20077000,218000000,-93000000,-483000000,None,0,0,None,23268000,23268000,None,None,0,None,13000000,None,218000000,5378000,218000000,FI
2015-06-30,USD,127000000,100000000,None,-35000000,4000000,54000000,113000000,-19000000,23775000,127000000,-113000000,93000000,None,0,0,None,23157000,23157000,None,None,1962000000,None,19000000,None,127000000,1199000,127000000,FI
2015-03-31,USD,586000000,4000000,None,28000000,-17000000,53000000,90000000,-34000000,-6276000,178000000,-90000000,-254000000,None,0,0,None,23150000,23150000,None,None,430000000,None,28000000,None,244000000,-3059000,178000000,FI
2014-12-31,USD,317000000,67000000,None,91000000,52000000,257000000,67000000,50000000,7608000,317000000,-67000000,-395000000,None,363000000,363000000,None,23141000,23141000,None,None,60000000,None,-349000000,None,317000000,8544000,181000000,FI
2014-09-30,USD,249000000,5000000,None,80000000,30000000,51000000,75000000,17000000,2288000,239000000,-70000000,-240000000,None,257000000,257000000,None,23141000,23141000,None,None,0,None,-244000000,None,81000000,-1410000,239000000,FI
2014-06-30,USD,178000000,68000000,None,-19000000,-5000000,48000000,80000000,-26000000,-15493000,166000000,-79000000,-176000000,None,193000000,193000000,None,11516000,11516000,None,None,482000000,None,-179000000,None,22000000,-553000,166000000,FI
2014-03-31,USD,292000000,4000000,None,25000000,4000000,48000000,70000000,1000000,-24685000,168000000,-70000000,-315000000,None,335000000,335000000,None,11514000,11514000,None,None,62000000,None,-323000000,None,-93000000,-601000,168000000,FI
2013-12-31,USD,297000000,68000000,None,137000000,37000000,258000000,65000000,40000000,-24154000,297000000,-64000000,-212000000,None,123000000,123000000,None,11514000,11514000,None,None,933000000,None,-111000000,None,82000000,None,221000000,FI
2013-09-30,USD,170000000,6000000,None,26000000,26000000,48000000,61000000,20000000,-17473000,159000000,-74000000,-204000000,None,201000000,201000000,None,109000000,109000000,None,None,109000000,None,-188000000,None,6000000,None,159000000,FI
2013-06-30,USD,163000000,68000000,None,-50000000,27000000,48000000,52000000,14000000,-20259000,151000000,64000000,-269000000,None,187000000,187000000,None,83068000,83068000,None,None,199000000,None,-176000000,None,-30000000,None,151000000,FI
2013-03-31,USD,225000000,23000000,None,-14000000,5000000,49000000,58000000,-27000000,-20097000,115000000,-39000000,-188000000,None,67000000,67000000,None,22299000,22299000,None,None,1011000000,None,-54000000,None,-40000000,None,117000000,FI
2012-12-31,USD,289000000,53000000,None,66000000,73000000,207000000,49000000,36000000,-7598000,289000000,-16000000,-255000000,None,54000000,54000000,None,475000000,475000000,None,None,475000000,None,-38000000,None,14000000,None,179000000,FI
2012-09-30,USD,149000000,21000000,None,65000000,43000000,49000000,44000000,37000000,3019000,139000000,-24000000,-132000000,None,184000000,184000000,None,33231000,33231000,None,None,838000000,None,-156000000,None,6000000,None,139000000,FI
2012-06-30,USD,172000000,67000000,None,-108000000,-6000000,46000000,44000000,-43000000,419000,161000000,-40000000,-115000000,None,153000000,153000000,None,30765000,30765000,None,None,0,None,-136000000,None,-8000000,None,161000000,FI
