fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2023-12-31,USD,492947000,7692000,None,64016000,-213025000,78863000,26438000,-108906000,-111884000,-108010000,902000,-113539000,None,100017000,100017000,None,17914000,17914000,None,None,None,None,-94700000,None,None,None,-126938000,QRVO
2023-09-30,USD,93009000,7138000,None,7162000,210675000,79274000,28607000,284872000,-75988000,115782000,-20250000,-109126000,0,100011000,100011000,None,None,None,None,None,0,None,-88976000,None,None,None,97461000,QRVO
2023-06-30,USD,44889000,4345000,None,109527000,125787000,81012000,39469000,3349000,121682000,-24220000,-3943000,-105185000,0,100015000,100015000,None,None,None,None,None,0,None,-90009000,None,-64239000,None,-43580000,QRVO
2022-12-31,USD,237364000,None,None,-174252000,-272861000,84187000,34399000,-277551000,17166000,6135000,-33076000,-201056000,0,201633000,201633000,None,None,None,None,None,0,None,-200346000,None,3232000,None,-15931000,QRVO
2022-09-30,USD,267418000,None,None,11259000,105515000,84700000,47002000,109495000,-8431000,-124000000,-45388000,-167014000,None,160057000,160057000,None,None,None,None,None,None,None,-149530000,None,55016000,None,188615000,QRVO
2022-06-30,USD,273006000,None,None,118872000,21426000,85721000,43452000,-33767000,90147000,-123000000,-38894000,-345943000,None,350042000,350042000,None,None,None,None,None,None,None,-341028000,None,-111831000,None,68884000,QRVO
2022-03-31,USD,345880000,None,None,-2587000,14433000,89854000,50473000,-62615000,45949000,152741000,-43780000,-316997000,None,326894000,326894000,None,None,None,None,None,None,None,-315244000,None,-14897000,None,212275000,QRVO
2021-12-31,USD,116965000,None,None,-205425000,58880000,92334000,50433000,-32810000,103110000,233991000,-284579000,4249000,None,302020000,302020000,None,None,None,None,None,None,None,-295802000,None,-163365000,None,216263000,QRVO
2021-09-30,USD,244828000,None,None,172329000,363166000,89395000,47312000,167569000,26823000,336014000,-39635000,-251383000,None,223356000,223356000,None,None,None,None,None,None,None,-212479000,None,-46190000,None,319189000,QRVO
2021-06-30,USD,341570000,None,None,32716000,84355000,89832000,65248000,35752000,60314000,315393000,-227962000,-311379000,None,300017000,300017000,None,None,None,None,None,None,None,-290459000,None,-197771000,None,285626000,QRVO
2021-03-31,USD,402929000,None,None,40984000,-2749000,85986000,77455000,-48779000,29461000,221549000,-77361000,-161035000,None,175013000,175013000,None,None,None,None,None,None,None,-161074000,None,164533000,None,298737000,QRVO
2020-12-31,USD,403675000,None,None,23936000,24594000,73300000,36119000,22046000,2993000,220288000,-29972000,-1141323000,None,160023000,160023000,None,None,None,None,None,None,None,-153156000,None,226188000,None,201035000,QRVO
2020-09-30,USD,280968000,None,None,49230000,111786000,72400000,43554000,159037000,-49287000,160503000,-87978000,670594000,None,105009000,105009000,None,900000000,900000000,None,None,None,None,-93681000,None,160503000,None,136917000,QRVO
2020-06-30,USD,214281000,None,None,-35438000,-33256000,122115000,29832000,-41029000,7443000,114581000,-23347000,229841000,None,75039000,75039000,None,306750000,306750000,None,None,306750000,None,-64575000,None,421282000,507000,96922000,QRVO
2020-03-31,USD,214395000,None,None,27132000,5871000,118687000,35100000,-46195000,34611000,307681000,-482642000,-113589000,None,125014000,125014000,None,None,None,None,None,0,None,-112346000,None,307681000,-732000,50390000,QRVO
2019-12-31,USD,300721000,None,None,44582000,6625000,63100000,40666000,4176000,-2989000,178256000,-235797000,445425000,None,125012000,125012000,None,None,None,None,None,0,None,-107687000,None,178256000,590000,161356000,QRVO
2019-09-30,USD,173412000,None,None,-8956000,34986000,56400000,38043000,78288000,-35503000,95759000,-45171000,-170143000,None,165032000,165032000,None,None,None,None,None,None,None,-154206000,None,95759000,-807000,83038000,QRVO
2019-06-30,USD,257118000,None,None,12719000,-64250000,122270000,50295000,-57298000,-6371000,51405000,-342132000,3866000,None,100073000,100073000,None,None,None,None,None,100000000,None,-90694000,None,-81432000,-284000,39541000,QRVO
