fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2023-12-31,USD,526464000,None,None,493506000,190616000,14397000,6010000,191195000,51642000,613636000,-336957000,-1328000,None,0,0,None,None,None,None,None,None,None,8296000,None,None,None,613636000,ANET
2023-09-30,USD,698977000,None,None,76453000,80610000,17006000,11212000,53648000,29204000,545327000,-225844000,15214000,None,0,0,None,None,None,None,None,None,None,23387000,None,None,None,545327000,ANET
2023-06-30,USD,434090000,None,None,17419000,163429000,18322000,11581000,-83149000,181631000,491885000,-102906000,-29232000,None,30004000,30004000,None,None,None,None,None,None,None,-22690000,None,301952000,None,491885000,ANET
2023-03-31,USD,374483000,None,None,199886000,388693000,20905000,5631000,-60221000,392997000,436473000,-21747000,-68403000,None,82275000,82275000,None,None,None,None,None,None,None,-59179000,None,284333000,None,436473000,ANET
2022-12-31,USD,40473000,None,None,74157000,491310000,17531000,10460000,271584000,189156000,427089000,-82825000,-4662000,None,2817000,2817000,None,None,None,None,None,None,None,2521000,None,-47014000,None,427089000,ANET
2022-09-30,USD,134105000,None,None,-30233000,236555000,17157000,10440000,65612000,247740000,353999000,126193000,-34240000,None,47582000,47582000,None,None,None,None,None,None,None,-27500000,None,226058000,None,353999000,ANET
2022-06-30,USD,101097000,None,None,-107121000,146048000,14921000,8868000,-67526000,158521000,299099000,245574000,-485890000,None,483660000,483660000,None,None,None,None,None,None,None,-479829000,None,305299000,None,299099000,ANET
2022-03-31,USD,217138000,None,None,264294000,284031000,13091000,14876000,131861000,43531000,272259000,-72615000,-129809000,None,136228000,136228000,None,None,None,None,None,None,None,-117068000,None,14714000,None,272259000,ANET
2021-12-31,USD,225236000,None,None,269107000,260190000,12470000,9281000,120919000,74452000,239295000,-64199000,-170902000,None,176133000,176133000,None,None,None,None,None,None,None,-165042000,None,-9865000,None,239295000,ANET
2021-09-30,USD,272579000,None,None,58996000,90311000,12629000,45888000,31376000,32466000,224305000,-425281000,-109156000,None,134157000,134157000,None,None,None,None,None,None,None,-104887000,None,229205000,None,224305000,ANET
