fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2023-12-31,USD,315000000,211000000,None,30000000,-678000000,124000000,8000000,9000000,-59000000,144000000,1000000,-445000000,None,100000000,100000000,None,81000000,81000000,None,None,None,None,-100000000,None,None,None,144000000,GEN
2023-09-30,USD,125000000,133000000,None,727000000,915000000,125000000,5000000,4000000,766000000,149000000,9000000,-135000000,0,0,0,None,81000000,81000000,None,None,0,None,6000000,None,None,None,149000000,GEN
2023-06-30,USD,226000000,163000000,None,-79000000,66000000,125000000,4000000,-20000000,16000000,189000000,-6000000,-350000000,0,41000000,41000000,None,83000000,83000000,None,None,0,None,-41000000,None,-130000000,None,189000000,GEN
2023-03-31,USD,324000000,186000000,None,17000000,826000000,126000000,1000000,-3000000,None,915000000,-1000000,-383000000,0,0,0,None,80000000,80000000,None,None,0,None,6000000,None,None,None,915000000,GEN
2022-12-31,USD,306000000,156000000,None,-83000000,-21000000,125000000,1000000,9000000,None,165000000,0,-585000000,None,500000000,500000000,None,81000000,81000000,None,None,None,None,-500000000,None,None,None,165000000,GEN
2022-09-30,USD,-88000000,22000000,None,-221000000,6000000,49000000,2000000,-4000000,None,69000000,-6550000000,6456000000,0,104000000,104000000,None,72000000,72000000,None,None,0,None,-98000000,None,None,None,69000000,GEN
2022-06-30,USD,215000000,52000000,None,3000000,19000000,29000000,2000000,-13000000,None,200000000,4000000,-807000000,None,300000000,300000000,None,81000000,81000000,None,None,None,None,-300000000,None,None,None,200000000,GEN
2022-03-31,USD,326000000,23000000,None,267000000,112000000,32000000,2000000,11000000,None,120000000,10000000,-217000000,None,0,0,None,73000000,73000000,None,None,None,None,6000000,None,None,None,120000000,GEN
2021-12-31,USD,330000000,50000000,None,62000000,2000000,37000000,2000000,7000000,37000000,202000000,3000000,-83000000,0,0,0,None,73000000,73000000,None,None,0,None,0,None,202000000,None,202000000,GEN
2021-09-30,USD,60000000,22000000,None,-116000000,37000000,35000000,1000000,3000000,-158000000,333000000,314000000,-77000000,None,0,0,None,73000000,73000000,None,None,None,None,7000000,None,None,None,333000000,GEN
2021-06-30,USD,258000000,52000000,None,-50000000,-54000000,36000000,1000000,-12000000,43000000,181000000,-1000000,44000000,None,0,0,None,84000000,84000000,None,None,None,None,1000000,None,None,None,181000000,GEN
2021-03-31,USD,356000000,28000000,None,63000000,-105000000,37000000,1000000,-2000000,80000000,208000000,-233000000,-245000000,None,166000000,166000000,None,73000000,73000000,None,None,None,None,-158000000,None,None,None,194000000,GEN
2020-12-31,USD,293000000,52000000,None,24000000,-20000000,28000000,2000000,12000000,-19000000,173000000,7000000,-267000000,None,133000000,133000000,None,113000000,113000000,None,None,None,None,-127000000,None,173000000,None,178000000,GEN
2020-09-30,USD,-113000000,39000000,None,-200000000,23000000,39000000,2000000,-8000000,-252000000,166000000,134000000,-86000000,None,5000000,0,None,82000000,82000000,None,None,None,None,3000000,None,166000000,None,64000000,GEN
2020-06-30,USD,170000000,54000000,None,-201000000,-87000000,46000000,1000000,-5000000,-43000000,149000000,23000000,-1305000000,None,0,None,None,105000000,105000000,None,None,None,None,2000000,None,-1112000000,None,118000000,GEN
2020-03-31,USD,-1766000000,54000000,None,-1911000000,-61000000,54000000,3000000,-46000000,-1882000000,118000000,388000000,-9086000000,None,677000000,677000000,None,7304000000,7304000000,None,None,None,None,-663000000,None,-10464000000,None,231000000,GEN
2019-12-31,USD,399000000,59000000,None,2055000000,-1058000000,56000000,10000000,-426000000,2068000000,353000000,10952000000,-403000000,None,345000000,345000000,None,79000000,79000000,None,None,None,None,-324000000,None,353000000,None,2845000000,GEN
2019-09-30,USD,181000000,51000000,None,50000000,846000000,93000000,27000000,159000000,-7000000,38000000,1000000,-9000000,None,0,0,None,47000000,47000000,None,None,None,None,51000000,None,38000000,None,785000000,GEN
2019-07-05,USD,325000000,66000000,None,-211000000,-245000000,158000000,49000000,-270000000,22000000,38000000,38000000,-625000000,None,559000000,559000000,None,51000000,51000000,None,None,None,None,-522000000,None,-262000000,None,26000000,GEN
2019-03-31,USD,547000000,68000000,None,374000000,69000000,158000000,54000000,-16000000,127000000,30000000,-180000000,-880000000,None,234000000,234000000,None,48000000,48000000,None,None,None,None,-223000000,None,-490000000,None,34000000,GEN
2018-12-31,USD,377000000,44000000,None,159000000,264000000,152000000,58000000,189000000,3000000,59000000,-41000000,-172000000,None,0,0,None,59000000,59000000,None,None,None,None,2000000,None,162000000,-2000000,65000000,GEN
2018-09-30,USD,240000000,0,None,-109000000,-70000000,153000000,51000000,35000000,-14000000,-8000000,-30000000,-59000000,None,0,0,None,50000000,50000000,None,None,None,None,2000000,None,146000000,-5000000,-8000000,GEN
2018-06-30,USD,331000000,0,None,-20000000,-274000000,152000000,44000000,-321000000,31000000,-65000000,10000000,-98000000,None,0,0,None,60000000,63000000,None,None,None,None,4000000,None,227000000,-16000000,-60000000,GEN
2018-03-31,USD,266000000,None,None,299000000,355000000,155000000,37000000,132000000,-291000000,-58000000,-57000000,-590000000,None,0,0,None,48000000,48000000,None,None,None,None,38000000,None,-368000000,13000000,-59000000,GEN
2017-12-31,USD,294000000,None,None,1107000000,1814000000,157000000,33000000,153000000,857000000,1311000000,670000000,-684000000,None,None,None,None,49000000,49000000,None,None,None,None,9000000,None,306000000,26000000,1342000000,GEN
2017-09-30,USD,177000000,None,None,12000000,177000000,163000000,25000000,73000000,-4000000,-16000000,-580000000,-75000000,None,None,None,None,48000000,48000000,None,None,None,None,63000000,None,-470000000,8000000,-12000000,GEN
2017-06-30,USD,213000000,None,None,-120000000,-129000000,165000000,47000000,-188000000,4000000,-110000000,-54000000,-2126000000,0,0,0,None,66000000,66000000,None,None,0,None,11000000,None,-1941000000,26000000,-133000000,GEN
2017-03-31,USD,355000000,161000000,None,278000000,169000000,136000000,13000000,69000000,148000000,-177000000,-2216000000,509000000,11000000,500000000,500000000,None,49000000,49000000,None,None,0,None,-458000000,None,-1328000000,24000000,-143000000,GEN
2016-12-31,USD,148000000,34000000,None,12000000,117000000,151000000,18000000,111000000,-139000000,-56000000,-16000000,-116000000,0,0,0,None,53000000,53000000,None,None,None,None,4000000,None,-35000000,-51000000,46000000,GEN
2016-09-30,USD,58000000,None,None,23000000,-5000000,133000000,17000000,19000000,91000000,-69000000,-4549000000,3991000000,0,0,0,None,52000000,52000000,None,None,0,None,48000000,None,-498000000,2000000,-144000000,GEN
2016-06-30,USD,-770000000,None,None,-1229000000,-275000000,72000000,22000000,-244000000,-977000000,66000000,15000000,896000000,10000000,0,None,None,68000000,68000000,None,None,None,None,1000000,None,125000000,-16000000,135000000,GEN
2016-03-31,USD,256000000,64000000,None,967000000,-1067000000,72000000,47000000,-12000000,932000000,-1013000000,6499000000,-3239000000,0,1000000000,None,None,2718000000,2718000000,None,None,0,None,-998000000,None,3471000000,-45000000,2045000000,GEN
2015-12-31,USD,112000000,0,None,41000000,120000000,74000000,114000000,82000000,-164000000,114000000,59000000,-717000000,None,618000000,None,None,102000000,102000000,None,None,None,None,-599000000,None,-585000000,-39000000,170000000,GEN
2015-09-30,USD,134000000,1000000,None,-42000000,31000000,76000000,50000000,46000000,7000000,53000000,578000000,-576000000,None,160000000,None,None,103000000,103000000,None,None,None,None,-120000000,None,116000000,-20000000,156000000,GEN
2015-06-30,USD,300000000,5000000,None,-278000000,-201000000,77000000,61000000,-154000000,-34000000,25000000,37000000,-238000000,None,90000000,None,None,107000000,107000000,None,None,None,None,-86000000,None,107000000,8000000,117000000,GEN
2015-03-31,USD,488000000,79000000,None,7000000,115000000,87000000,54000000,59000000,None,55000000,-151000000,-189000000,8000000,125000000,None,None,102000000,102000000,None,None,None,None,-87000000,None,110000000,-38000000,176000000,GEN
2014-12-31,USD,-31000000,1000000,None,123000000,261000000,13000000,20000000,244000000,2000000,-25000000,-281000000,-218000000,2000000,125000000,None,None,104000000,104000000,None,None,None,None,-113000000,None,-208000000,-67000000,222000000,GEN
2014-09-30,USD,244000000,2000000,None,-212000000,17000000,13000000,107000000,40000000,0,244000000,2000000,-188000000,0,125000000,None,None,104000000,103000000,None,None,None,None,-82000000,None,-95000000,-82000000,244000000,GEN
2014-06-30,USD,293000000,3000000,None,-446000000,-345000000,130000000,92000000,-308000000,-3000000,236000000,-724000000,-216000000,34000000,125000000,None,None,104000000,104000000,None,None,None,None,-102000000,None,-640000000,7000000,236000000,GEN
2014-03-31,USD,449000000,83000000,None,206000000,156000000,170000000,77000000,115000000,1000000,217000000,-375000000,-187000000,None,125000000,None,None,104000000,104000000,None,None,0,None,-74000000,None,-106000000,7000000,217000000,GEN
2013-12-31,USD,329000000,0,None,257000000,353000000,62000000,65000000,320000000,-3000000,283000000,-38000000,-208000000,None,125000000,None,None,104000000,104000000,None,None,None,None,-102000000,None,86000000,3000000,283000000,GEN
2013-09-30,USD,191000000,4000000,None,-432000000,-252000000,68000000,57000000,-180000000,-2000000,241000000,-141000000,-125000000,None,125000000,None,None,105000000,105000000,None,None,None,None,-19000000,None,-22000000,53000000,241000000,GEN
2013-06-30,USD,312000000,9000000,None,-353000000,-323000000,225000000,61000000,-285000000,-6000000,157000000,-29000000,-1192000000,None,125000000,None,None,105000000,105000000,None,None,None,None,-71000000,None,-936000000,-27000000,157000000,GEN
2013-03-31,USD,612000000,78000000,None,175000000,-27000000,189000000,91000000,-37000000,5000000,190000000,-95000000,24000000,None,125000000,None,None,None,None,None,None,0,None,56000000,None,485000000,-56000000,190000000,GEN
2012-12-31,USD,463000000,1000000,None,400000000,353000000,88000000,77000000,347000000,-4000000,216000000,-76000000,-177000000,None,200000000,None,None,None,None,None,None,0,None,-175000000,None,198000000,-12000000,216000000,GEN
2012-09-30,USD,178000000,None,None,-152000000,85000000,89000000,89000000,104000000,-4000000,189000000,-65000000,-224000000,None,200000000,None,None,None,None,None,None,0,None,-129000000,None,-80000000,31000000,189000000,GEN
2012-06-30,USD,340000000,None,None,-335000000,-284000000,162000000,79000000,-307000000,-1000000,160000000,-83000000,685000000,None,301000000,None,None,None,None,None,None,996000000,None,-297000000,None,920000000,-22000000,160000000,GEN
2012-03-31,USD,687000000,None,None,377000000,-54000000,169000000,87000000,-77000000,-5000000,574000000,293000000,-170000000,None,200000000,None,None,4000000,4000000,None,None,0,None,-148000000,None,835000000,25000000,574000000,GEN
2011-12-31,USD,403000000,None,None,250000000,292000000,162000000,75000000,319000000,5000000,241000000,-91000000,-209000000,None,220000000,None,None,None,None,None,None,None,None,-208000000,None,112000000,9000000,240000000,GEN
2011-09-30,USD,308000000,1000000,None,-78000000,40000000,164000000,73000000,28000000,2000000,182000000,-105000000,-229000000,None,275000000,275000000,None,None,None,None,None,0,None,-227000000,None,-75000000,-49000000,182000000,GEN
2011-06-30,USD,503000000,None,None,-287000000,-370000000,161000000,51000000,-359000000,-4000000,190000000,-415000000,-778000000,None,198000000,None,None,None,None,None,None,None,None,-163000000,None,-660000000,30000000,191000000,GEN
2011-03-31,USD,689000000,None,None,304000000,30000000,161000000,83000000,25000000,-2000000,166000000,-82000000,-133000000,None,182000000,None,None,6000000,6000000,None,None,0,None,-126000000,None,505000000,31000000,168000000,GEN
2010-12-31,USD,460000000,None,None,405000000,299000000,163000000,69000000,296000000,9000000,132000000,-31000000,-243000000,None,265000000,265000000,None,16000000,16000000,None,None,0,None,-245000000,None,189000000,3000000,132000000,GEN
2010-09-30,USD,310000000,None,None,-31000000,40000000,156000000,64000000,52000000,0,134000000,-1229000000,399000000,None,225000000,None,None,None,None,None,None,1100000000,None,-189000000,None,-470000000,50000000,136000000,GEN
2010-06-30,USD,335000000,None,None,-361000000,-288000000,167000000,52000000,-285000000,-3000000,161000000,-418000000,-207000000,None,200000000,None,None,1000000,1000000,None,None,None,None,-190000000,None,-303000000,-13000000,161000000,GEN
2010-03-31,USD,703000000,None,None,282000000,-29000000,170000000,99000000,-33000000,1000000,184000000,-117000000,-137000000,None,189000000,None,None,None,None,None,None,None,None,-138000000,None,436000000,-13000000,184000000,GEN
2010-12-31,USD,393000000,None,None,-605000000,-129000000,168000000,41000000,-124000000,-9000000,301000000,-17000000,-99000000,None,121000000,None,None,16000000,16000000,None,None,None,None,-102000000,None,279000000,2000000,301000000,GEN
2009-09-30,USD,226000000,None,None,118000000,-43000000,616000000,54000000,-58000000,1000000,155000000,-47000000,-77000000,None,120000000,None,None,None,None,None,None,None,None,-77000000,None,122000000,20000000,155000000,GEN
2009-06-30,USD,371000000,None,None,234000000,211000000,-221000000,54000000,229000000,4000000,74000000,116000000,-128000000,None,123000000,None,None,3000000,3000000,None,None,None,None,-112000000,None,399000000,40000000,74000000,GEN
2009-03-31,USD,607000000,None,None,None,None,1461000000,57008000,None,-12000000,-264000000,-197000000,-61000000,None,100000000,None,None,None,None,None,None,None,None,-115594000,None,344000000,-5000000,-249378000,GEN
2009-12-31,USD,403000000,None,None,None,None,-215000000,41000000,None,0,-6820000000,-987000000,-199000000,None,200000000,None,None,None,None,None,None,None,None,-121000000,None,-813000000,-30000000,300000000,GEN
2008-09-30,USD,247000000,None,None,None,None,-210000000,67644000,None,0,126000000,148000000,-84000000,None,200000000,None,None,None,None,None,None,None,None,-199896000,None,217000000,-94000000,140073000,GEN
2008-06-30,USD,414000000,None,None,None,None,-200000000,57695000,None,6000000,172000000,75000000,-333000000,None,200000000,None,None,None,None,None,None,None,None,-199998000,None,155000000,-1000000,186692000,GEN
2024-01-31,USD,174000000,32000000,None,169000000,171000000,127000000,8000000,140000000,-24000000,-44000000,-133000000,-109000000,None,None,0,None,None,None,None,None,None,None,25000000,None,None,None,-44000000,OKTA
2023-10-31,USD,156000000,10000000,None,30000000,18000000,28000000,7000000,31000000,23000000,-81000000,20000000,-133000000,None,None,3000000,None,None,None,None,None,0,0,-1000000,None,None,None,-81000000,OKTA
2023-07-31,USD,53000000,12000000,None,44000000,100000000,27000000,4000000,99000000,None,-111000000,495000000,-315000000,None,None,4000000,None,None,None,None,None,0,0,-4000000,None,None,None,-111000000,OKTA
2023-04-30,USD,129000000,12000000,None,-122000000,-178000000,24000000,5000000,-191000000,-26000000,-119000000,59000000,-326000000,None,None,0,None,None,None,None,None,0,0,6000000,None,-138000000,None,-119000000,OKTA
2023-01-31,USD,76000000,19546000,None,96973000,110979000,60669000,3353000,101968000,None,-152918000,-83000000,14000000,None,None,0,None,None,None,None,None,0,0,14430000,None,7896000,None,-153000000,OKTA
2022-10-31,USD,10000000,11300000,None,39482000,60800000,23300000,4261000,59047000,None,-208897000,22000000,6000000,None,None,0,None,None,None,None,None,0,0,5633000,None,37102000,None,-209000000,OKTA
2022-07-31,USD,-19000000,7400000,None,21579000,54516000,23200000,6531000,65232000,None,-210500000,19000000,23000000,None,None,0,None,None,None,None,None,0,0,22551000,None,23131000,None,-210000000,OKTA
2022-04-30,USD,19000000,12386000,None,-100034000,-126295000,43289000,8855000,-139247000,None,-242713000,-88000000,5000000,None,None,0,None,None,None,None,None,0,0,5386000,None,-64129000,None,-243000000,OKTA
2022-01-31,USD,13413000,12922000,None,170561000,157370000,73619000,8611000,145256000,None,-241186000,-156898000,30553000,None,None,0,None,None,None,None,None,0,0,30619000,None,-112559000,None,-240775000,OKTA
2021-10-31,USD,37120000,10300000,None,26647000,10125000,22400000,3736000,14763000,19124000,-221311000,101459000,9214000,None,None,0,None,None,None,None,None,0,0,9225000,None,-231611000,None,-221311000,OKTA
2021-07-31,USD,-2608000,10000000,None,6975000,-12528000,21300000,1030000,-7949000,2162000,-276644000,-463466000,33054000,None,None,0,None,None,None,None,None,0,0,33056000,None,-286644000,None,-276682000,OKTA
2021-04-30,USD,56075000,10349000,None,74243000,26608000,36047000,3382000,22747000,5891000,-109232000,151905000,16179000,None,None,0,None,None,None,None,None,0,0,16190000,None,224159000,None,-109232000,OKTA
2021-01-31,USD,34947000,10949000,None,61304000,62206000,44696000,2541000,55826000,-3621000,-75780000,-37118000,25543000,None,None,0,None,None,None,None,None,0,0,25140000,None,22786000,None,-75474000,OKTA
2020-10-31,USD,43426000,7700000,None,37174000,28345000,2700000,1832000,29173000,7321000,-72755000,-595621000,5210000,None,None,0,None,None,None,None,None,-577000,0,6053000,None,-80455000,None,-72764000,OKTA
2020-07-31,USD,10930000,7800000,None,-10921000,3753000,2800000,4065000,-376000,-2963000,-60133000,-722865000,1047080000,None,None,0,None,None,None,None,None,0,0,-149233000,None,-67933000,None,-60100000,OKTA
2020-04-30,USD,38697000,8093000,None,21813000,-14757000,21837000,8930000,-18250000,-6481000,-57662000,50604000,14167000,None,None,0,None,None,None,None,None,0,0,14172000,None,103468000,None,-57662000,OKTA
2020-01-31,USD,24835000,7678000,None,38521000,30684000,29986000,6780000,28122000,2905000,-50513000,-562939000,18654000,None,None,0,None,None,None,None,None,-100000,0,9762000,None,-519450000,None,-50472000,OKTA
2019-10-31,USD,10640000,6100000,None,20522000,16904000,2600000,1392000,13852000,-2646000,-63400000,22888000,798399000,None,None,358622000,None,None,None,None,None,0,0,-358622000,None,-69500000,None,-63495000,OKTA
2019-07-31,USD,-1134000,2400000,None,4215000,9279000,3000000,11668000,4838000,-3422000,-42957000,-22383000,23070000,None,None,None,None,None,None,None,None,0,0,-4383000,None,-45357000,None,-42980000,OKTA
2019-04-30,USD,21262000,2974000,None,16673000,-15272000,12453000,8079000,-9297000,12290000,-51923000,-125607000,13262000,None,None,None,None,None,None,None,None,0,0,13388000,None,-91083000,None,-51966000,OKTA
2019-01-31,USD,10104000,-9484000,None,26609000,29529000,21353000,6080000,22143000,7000,-30811000,80896000,15410000,None,None,None,None,None,None,None,None,0,0,7073000,None,106410000,None,-30811000,OKTA
2018-10-31,USD,6439000,3100000,None,13830000,13737000,1800000,5067000,10299000,65000,-29484000,-10545000,7469000,None,None,None,None,None,None,None,None,0,0,0,None,-29484000,None,-29517000,OKTA
2018-07-31,USD,-5343000,3100000,None,5537000,5776000,1200000,5987000,8959000,8913000,-39200000,-28729000,15438000,None,None,None,None,None,None,None,None,-75000,0,-5542000,None,-39200000,None,-39207000,OKTA
2018-04-30,USD,3972000,3000000,None,10089000,2264000,8343000,5528000,-1719000,-5034000,-26000000,-238942000,319445000,None,None,None,None,None,None,None,None,335055000,52440000,64636000,None,84475000,None,-25962000,OKTA
2018-01-31,USD,155000,79000,None,12979000,12718000,9586000,2339000,5579000,-5073000,-24715000,-18241000,16041000,None,None,None,None,None,None,None,None,None,0,16215000,None,-2045000,None,-23045000,OKTA
2017-10-31,USD,-9471000,None,None,13528000,8480000,800000,1743000,11431000,1458000,-33760000,-1161000,21814000,None,None,None,None,None,None,None,None,None,0,21884000,None,-33760000,None,-33066000,OKTA
2017-07-31,USD,-6238000,None,None,8540000,6351000,700000,4243000,3554000,-2626000,-26973000,-88519000,-555000,None,None,None,None,None,None,None,None,None,0,1303000,None,-26973000,None,-26032000,OKTA
2017-04-30,USD,-9686000,None,None,5548000,900000,4739000,3656000,-2243000,-3366000,-28900000,8217000,200108000,None,None,None,None,None,None,None,None,None,0,202561000,None,198639000,None,-27706000,OKTA
2023-12-31,USD,389193000,70791000,3544000,-4527000,5564000,147634000,133887000,2941000,None,161165000,-315833000,-56777000,0,54891000,54891000,None,None,None,None,None,None,None,-41465000,None,None,None,161165000,AKAM
2023-09-30,USD,359436000,76451000,6771000,-3145000,21490000,148560000,197619000,23484000,-11861000,160542000,-1164163000,974645000,-90000000,113197000,113197000,None,18222000,18222000,None,None,0,0,-4780000,None,None,None,160542000,AKAM
2023-06-30,USD,366311000,59724000,466000,4391000,-10385000,139125000,176289000,-2473000,-1777000,128816000,-248354000,-117200000,90000000,137358000,137358000,None,30074000,30074000,None,None,0,0,-127284000,None,757000,None,128816000,AKAM
2023-03-31,USD,233499000,57323000,225000,-34980000,51260000,135457000,222245000,25251000,None,97106000,-119888000,-357289000,0,348600000,348600000,None,None,None,None,None,0,0,-327343000,None,-243678000,None,97106000,AKAM
2022-12-31,USD,341498000,57810000,6959000,29928000,25317000,148570000,110788000,48063000,None,569811000,-94657000,-177960000,0,177741000,177741000,None,None,None,None,None,0,0,-167268000,None,None,None,128762000,AKAM
2022-09-30,USD,369296000,58770000,6438000,-5334000,-26057000,150985000,97988000,-30796000,None,108154000,-95529000,-229474000,-125000000,162627000,162627000,None,58156000,58156000,None,None,0,0,-145783000,None,44293000,None,123694000,AKAM
2022-06-30,USD,341431000,58035000,1036000,-26713000,-61814000,150604000,118167000,-35251000,None,119537000,-115226000,-165908000,50000000,164789000,164789000,None,None,None,None,None,0,0,-157585000,None,60297000,None,137840000,AKAM
2022-03-31,USD,222451000,56441000,1025000,-12985000,103893000,142595000,131359000,39198000,None,119163000,-316898000,-60835000,75000000,102853000,102853000,None,None,None,None,None,75000000,0,-80912000,None,-155282000,None,133376000,AKAM
2021-12-31,USD,386900000,33491000,547000,34212000,-10262000,141699000,109695000,8871000,99746000,579955000,-843954000,-269225000,None,270998000,270998000,None,None,None,None,None,0,0,-258308000,None,-726279000,None,160534000,AKAM
2021-09-30,USD,389737000,54461000,7711000,55237000,15071000,139747000,116247000,10821000,-5978000,178916000,392983000,-93157000,None,96841000,96841000,None,None,None,None,None,0,0,-81021000,None,178916000,None,178916000,AKAM
2021-06-30,USD,378133000,76054000,4704000,-32932000,-35715000,137715000,154569000,-11176000,9025000,156497000,-159620000,-98844000,None,96175000,96175000,None,None,None,None,None,0,0,-86463000,None,156497000,None,156497000,AKAM
2021-03-31,USD,249793000,65829000,1846000,-48263000,50968000,131471000,164719000,15580000,-36104000,155695000,-36308000,-100777000,None,58241000,58241000,None,None,None,None,None,0,0,-36831000,None,112708000,None,155695000,AKAM
2020-12-31,USD,291093000,60049000,817000,-6989000,8957000,127708000,167445000,4942000,-34094000,542440000,-617934000,-71076000,None,72510000,72510000,None,12529000,12529000,None,None,0,0,-58547000,None,542440000,None,113370000,AKAM
2020-09-30,USD,401973000,52601000,9963000,90158000,-8706000,118893000,228759000,-20107000,None,158623000,-224665000,-10560000,None,13198000,13198000,None,47494000,47494000,None,None,0,0,2809000,None,158623000,None,158623000,AKAM
2020-06-30,USD,298691000,53311000,5507000,-27634000,31178000,115580000,120239000,31633000,None,161915000,-89637000,-30166000,None,27300000,27300000,None,None,None,None,None,0,0,-27300000,None,134615000,None,161915000,AKAM
2020-03-31,USD,223243000,53597000,1204000,459000,84347000,116208000,215429000,73913000,-9506000,123146000,-110738000,-111839000,None,80550000,80550000,None,None,None,None,None,0,0,-61004000,None,666000,None,123146000,AKAM
2019-12-31,USD,282140000,49009000,985000,12569000,2975000,115800000,133666000,26327000,57413000,514373000,-589764000,-42973000,None,42731000,42731000,None,646796000,646796000,None,None,0,0,-28823000,None,514373000,None,119100000,AKAM
