fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2023-12-31,EUR,3197000000,None,None,None,None,212100000,602300000,None,None,None,None,-545100000,None,None,None,None,570800000,570800000,None,None,None,None,0,None,None,None,2048100000,ASML
2023-09-30,EUR,1128100000,None,None,None,None,176200000,501800000,None,None,None,-1091000000,-1406200000,None,None,None,None,570400000,570400000,None,None,None,None,-111100000,None,None,None,1893400000,ASML
2023-06-30,EUR,384700000,None,None,None,None,181200000,537800000,None,None,None,-544900000,-136500000,None,None,None,None,666100000,666100000,None,None,None,None,-492600000,None,None,None,1941700000,ASML
2023-03-31,EUR,733600000,None,None,None,None,170300000,532000000,None,None,None,-436500000,-916100000,None,None,None,None,541100000,541100000,None,None,None,None,-396200000,None,None,None,1955800000,ASML
2022-12-31,EUR,5350500000,None,None,None,None,156900000,453600000,None,-2080900000,None,-364000000,-858000000,None,None,None,None,541100000,541100000,None,None,None,None,-335000000,None,None,None,1816500000,ASML
2022-09-30,EUR,1169500000,None,None,None,None,137900000,356600000,None,None,None,-508900000,-1612700000,None,None,None,None,543500000,543500000,None,None,None,None,-1087900000,None,None,None,1701500000,ASML
2022-06-30,EUR,2552900000,None,None,None,None,131500000,231500000,None,None,None,-144300000,-2637400000,None,None,None,None,1475300000,1475300000,None,None,None,None,-1178500000,None,None,None,1410900000,ASML
2022-03-31,EUR,-586100000,None,None,None,None,131000000,240100000,None,None,None,-11700000,-2030200000,None,None,None,None,1475300000,1475300000,None,None,None,None,-2038200000,None,None,None,695300000,ASML
2021-12-31,EUR,6417000000,None,None,None,None,86000000,273200000,None,-483200000,None,-476100000,-3327000000,None,None,None,None,729200000,729200000,None,None,None,None,-2607200000,None,None,None,1773400000,ASML
2021-09-30,EUR,1801600000,None,None,None,None,116200000,197000000,None,-483200000,None,-279600000,-2391900000,None,None,None,None,729200000,729200000,None,None,None,None,-2401600000,None,None,None,1740200000,ASML
2021-06-30,EUR,3568900000,None,None,None,None,112700000,241100000,None,-483200000,None,990400000,-2612600000,None,None,None,None,639100000,639100000,None,None,None,None,-1983900000,None,None,None,1038200000,ASML
2021-03-31,EUR,-941700000,None,None,None,None,117900000,189400000,None,-483200000,None,-306700000,-1560200000,None,None,None,None,639100000,639100000,None,None,None,None,-1567600000,None,None,None,1331400000,ASML
2020-12-31,EUR,4670400000,None,None,None,None,104400000,292900000,None,-706700000,None,-956100000,-1194400000,None,None,None,None,501600000,501600000,None,None,None,None,-700000000,None,None,None,1350600000,ASML
2020-09-30,EUR,191100000,None,None,None,None,122000000,212500000,None,-706700000,None,-166600000,9500000,None,None,None,None,501600000,501600000,None,None,None,None,0,None,None,None,1061500000,ASML
2020-06-30,EUR,371900000,None,None,None,None,125100000,225100000,None,-706700000,None,214800000,191900000,None,None,None,None,564800000,564800000,None,None,None,None,0,None,None,None,751000000,ASML
2020-03-31,EUR,-605800000,None,None,None,None,118300000,231500000,0,-706700000,None,-444300000,240000000,None,None,None,None,564800000,564800000,None,None,None,None,-507500000,None,0,0,390600000,ASML
2019-12-31,EUR,3588300000,None,None,None,None,40400000,305500000,0,-404700000,None,-1016400000,-626600000,None,None,None,None,441300000,441300000,None,None,None,None,-191600000,None,0,0,1134100000,ASML
2019-09-30,EUR,69400000,None,None,None,None,112400000,185800000,0,0,None,-7300000,-142000000,None,None,None,None,0,0,None,None,None,None,-148400000,None,0,0,626800000,ASML
2019-06-30,EUR,99500000,None,None,None,None,108400000,128300000,0,-1356144099.83,None,-133800000,-895600000,None,None,None,None,884400000,884400000,None,None,None,None,-17400000,None,0,0,476000000,ASML
2019-03-31,EUR,-480800000,None,None,None,None,104800000,147000000,0,-1271916274.50,None,-607010796.88,-48100000,None,None,None,None,0,0,None,None,None,None,-52600000,None,0,0,355400000,ASML
2018-12-31,EUR,1646400000,None,None,None,None,24700000,190100000,0,-515700000,None,-553879727.93,-353000000,None,None,None,None,1334744499.69,1334744499.69,None,None,None,None,-356400000,None,0,0,787500000,ASML
2018-09-30,EUR,486700000,None,None,None,None,110000000,129100000,0,-597013197.50,None,-283398934.94,-365900000,None,None,None,None,1023848112.99,1023848112.99,None,None,None,None,-370000000,None,0,0,680400000,ASML
2018-06-30,EUR,754500000,None,None,None,None,99700000,125600000,None,-376163873.37,None,30144320.30,-845200000,None,None,None,None,597100000,597100000,None,None,None,None,-252900000,None,None,None,584000000,ASML
2018-03-31,EUR,185100000,None,None,None,None,102600000,129199999,None,-323200000,None,224470000,-160200000,None,None,None,None,597100000,597100000,None,None,None,None,-166900000,None,None,None,539700000,ASML
2017-12-31,EUR,1056400000,None,None,None,None,14400000,148300000,None,-284100000,None,-1229000000,-322600000,None,None,None,None,621176000,621176000,None,None,None,None,-334500000,None,None,None,591200000,ASML
2017-09-30,EUR,400000000,None,None,None,None,101200000,95700000,None,-237800000,None,-157400000,-154000000,None,None,None,None,610378000,610378000,None,None,None,None,-165500000,None,None,None,557100000,ASML
2017-06-30,EUR,448800000,None,None,None,None,35300000,56300000,None,439300000,None,-863515000,-744300000,None,None,None,None,516700000,516700000,None,None,None,None,11940000,None,None,None,569800000,ASML
2017-03-31,EUR,-86900000,None,None,None,None,178700000,38600000,None,-439300000,None,161005000,11800000,None,None,None,None,516683000,516683000,None,None,None,None,13000000,None,None,None,348600000,ASML
2016-12-31,EUR,1291900000,None,None,None,None,-21600000,95900000,None,-43700000,None,-3188400000,1293300000,None,None,None,None,35000,35000,None,None,None,None,745865000,None,None,None,530200000,ASML
2016-09-30,EUR,98600000,None,None,None,None,124000000,66300000,None,-43662000,None,-585300000,1481200000,None,None,None,None,1484700000,1484700000,None,None,None,None,-14600000,None,None,None,425500000,ASML
2016-06-30,EUR,603200000,None,None,None,None,103900000,98900000,None,-127000000,None,-146000000,-606800000,None,None,None,None,445900000,445900000,None,None,None,None,-171900000,None,None,None,370400000,ASML
2016-03-31,EUR,72800000,None,None,None,None,101300000,55200000,None,None,None,None,-204100000,None,None,None,None,243176000,243176000,None,None,None,None,-213500000,None,None,None,230800000,ASML
2015-12-31,EUR,1074535000,None,None,None,None,-3781000,120470000,None,-87777000,None,-1530200000,-131300000,None,None,None,None,10000,10000,None,None,None,None,-140700000,None,None,None,344289000,ASML
2015-09-30,EUR,506700000,None,None,None,None,91900000,86500000,None,None,None,None,-133000000,None,None,None,None,337427000,337427000,None,None,None,None,-141500000,None,None,None,383900000,ASML
2015-06-30,EUR,378809000,None,None,None,None,88744000,79184000,None,6378000,None,18962000,-457900000,None,None,None,None,302300000,302300000,None,None,None,None,-165600000,None,None,None,421255000,ASML
2015-03-31,EUR,439500000,None,None,None,None,80300000,85600000,None,None,None,133403000,-111700000,None,None,None,None,125777000,125777000,None,None,None,None,-117100000,None,None,None,470000000,ASML
2014-12-31,EUR,531236000,None,None,None,None,-50149000,127880000,None,-293404000,None,-361370000,-213139000,None,None,None,None,38000,38000,None,None,None,None,-229000000,None,None,None,385020000,ASML
