fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2023-12-31,EUR,1968000000,None,None,None,None,331000000,190000000,None,None,None,None,-919000000,None,None,None,None,0,0,None,None,None,None,-231000000,None,None,None,1185000000,SAP
2023-09-30,EUR,1124000000,None,None,None,None,328000000,182000000,None,-282000000,None,2907000000,-2514000000,None,None,None,None,2395000000,2395000000,None,None,None,None,-718000000,None,None,None,3544000000,SAP
2023-06-30,EUR,867000000,None,None,None,None,349000000,156000000,None,-1053000000,None,6364000000,-3046000000,None,None,None,None,2395000000,2395000000,None,None,None,None,0,None,None,None,724000000,SAP
2023-03-31,EUR,2373000000,None,None,None,None,365000000,257000000,None,None,None,-499000000,-1213000000,None,None,None,None,2395000000,2395000000,None,None,None,None,0,None,None,None,403000000,SAP
2022-12-31,EUR,2373000000,None,None,None,None,365000000,257000000,None,657000000,None,667000000,-1213000000,None,None,None,None,2865000000,2865000000,None,None,None,None,1500000000,None,None,None,403000000,SAP
2022-09-30,EUR,848000000,None,None,None,None,492000000,282000000,None,-487000000,None,-947000000,-384000000,None,None,None,None,2865000000,2865000000,None,None,None,None,-500000000,None,None,None,547000000,SAP
2022-06-30,EUR,268000000,None,None,None,None,473000000,235000000,None,-1226000000,None,1047000000,-3057000000,None,None,None,None,2865000000,2865000000,None,None,None,None,-419000000,None,None,None,203000000,SAP
2022-03-31,EUR,2482000000,None,None,None,None,460000000,221000000,None,None,None,-1762000000,-725000000,None,None,None,None,2865000000,2865000000,None,None,None,None,-581000000,None,None,None,632000000,SAP
2021-12-31,EUR,1269000000,None,None,None,None,467000000,254000000,None,None,None,-1395000000,923000000,None,None,None,None,2182000000,2182000000,None,None,None,None,-581000000,None,None,None,1440000000,SAP
2021-09-30,EUR,1183000000,None,None,None,None,437000000,202000000,None,None,None,-940000000,-250000000,None,None,None,None,2182000000,2182000000,None,None,None,None,1847000000,None,None,None,1417000000,SAP
