fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2024-01-31,USD,995645000,32740000,None,982875000,582695000,88844000,47635000,414647000,None,1188495000,-480672000,-66686000,None,139667000,139667000,None,None,None,None,None,0,None,-139667000,None,None,None,1188495000,WDAY
2023-10-31,USD,450775000,80322000,None,-149217000,-29436000,82190000,60648000,-37719000,-37719000,113709000,-172009000,-149558000,None,144686000,144686000,None,None,None,None,None,0,0,-144686000,None,None,None,113709000,WDAY
2023-07-31,USD,425264000,25399000,None,118086000,226449000,121371000,65119000,183387000,183387000,78660000,-385343000,-48596000,None,138647000,138647000,None,None,None,None,None,0,0,-138647000,None,-8675000,None,78660000,WDAY
2023-04-30,USD,277316000,83539000,None,-625744000,-419708000,119396000,68598000,-473315000,-473315000,136000,-712976000,-3160000,None,0,0,None,None,None,None,None,0,0,0,None,-438820000,None,136000,WDAY
2023-01-31,USD,694452000,25484000,None,914130000,630645000,158917000,77329000,518608000,518607999,-125697000,-380127000,-7895000,None,74666000,74666000,None,None,None,None,None,0,0,-7694000,None,None,None,-125697000,WDAY
2022-10-31,USD,408668000,79757000,None,1964000,-7768000,162411000,59546000,-61885000,-61885000,-74721000,-168063000,-1149073000,None,0,0,None,None,None,None,None,0,0,710000,None,None,None,-74721000,WDAY
2022-07-31,USD,114358000,19538000,None,84201000,399468000,165537000,168843000,324841000,None,-64158000,-486995000,83087000,None,0,0,None,None,None,None,None,0,0,83302000,None,-289550000,None,-64158000,WDAY
2022-04-30,USD,439717000,28599000,None,-326964000,-397238000,159447000,58770000,-462964000,None,-102006000,-1470741000,2277702000,None,None,None,None,None,None,None,None,2978077000,0,990000,None,1246678000,None,-102173000,WDAY
2022-01-31,USD,615149000,37996000,None,776292000,501991000,158747000,81365000,379190000,None,-73253000,-439519000,62484000,None,None,None,None,None,None,None,None,0,0,71947000,None,238114000,None,-73253000,WDAY
2021-10-31,USD,384654000,25639000,None,-35000000,25955000,154124000,33339000,-6649000,None,43412000,-166859000,-7523000,None,None,None,None,None,None,None,None,0,0,1894000,None,210272000,None,43412000,WDAY
2021-07-31,USD,198473000,22380000,None,84978000,283876000,151380000,87852000,227511000,None,105936000,-139332000,66298000,None,None,None,None,None,None,None,None,0,0,75844000,None,125439000,None,105736000,WDAY
2021-04-30,USD,452428000,35753000,None,-236669000,-330283000,146460000,241219000,-392119000,None,-48522000,-861716000,-11008000,None,None,None,None,None,None,None,None,0,0,-1357000,None,-420296000,None,-46522000,WDAY
2021-01-31,USD,553746000,27907000,None,601022000,354153000,148328000,52431000,286903000,None,-73311000,-298973000,60844000,None,None,None,None,None,None,None,None,0,0,70506000,None,-73311000,None,-71707000,WDAY
2020-10-31,USD,293802000,30672000,None,83000,69848000,143962000,79269000,53923000,None,-24340000,-462666000,-5906000,None,None,None,None,None,None,None,None,0,0,3650000,None,-174770000,None,-24340000,WDAY
2020-07-31,USD,157210000,30733000,None,-53080000,160294000,144706000,68319000,109316000,None,-28016000,-202638000,70780000,None,None,None,None,None,None,None,None,250000000,0,70940000,None,25352000,None,-28016000,WDAY
2020-04-30,USD,263683000,25395000,None,-242593000,-292819000,141354000,62427000,-290902000,None,-158368000,-277347000,499331000,None,None,None,None,None,None,None,None,497795000,0,3577000,None,485667000,None,-158368000,WDAY
