fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2023-12-31,USD,1137000000,152000000,None,101000000,-71000000,269000000,219000000,None,-6000000,703000000,-629000000,-694000000,None,434000000,434000000,None,261000000,261000000,None,None,0,None,620000000,None,None,None,697000000,NXPI
2023-09-30,USD,988000000,46000000,None,-128000000,83000000,273000000,242000000,None,34000000,792000000,-273000000,-533000000,None,306000000,306000000,None,262000000,262000000,None,None,0,None,-270000000,None,None,None,787000000,NXPI
2023-06-30,USD,756000000,None,None,None,None,281000000,252000000,None,129000000,704000000,-255000000,-565000000,None,302000000,0,None,264000000,264000000,None,None,0,None,0,None,None,None,698000000,NXPI
2023-03-31,USD,632000000,None,None,None,None,283000000,293000000,None,196000000,623000000,-351000000,-198000000,None,11000000,None,None,219000000,219000000,None,None,None,None,-11000000,None,None,None,615000000,NXPI
2022-12-31,USD,1076000000,183000000,None,88000000,182000000,302000000,270000000,None,201000000,734000000,-272000000,-728000000,None,506000000,506000000,None,221000000,221000000,None,None,0,None,921000000,None,None,None,722000000,NXPI
2022-09-30,USD,1144000000,39000000,None,275000000,156000000,321000000,332000000,None,119000000,750000000,-360000000,-559000000,None,366000000,366000000,None,223000000,223000000,None,None,0,None,-336000000,None,None,None,738000000,NXPI
2022-06-30,USD,819000000,133000000,None,4000000,192000000,317000000,297000000,None,151000000,683000000,-288000000,342000000,None,2000000,2000000,None,222000000,222000000,None,None,0,None,-2000000,None,683000000,None,670000000,NXPI
2022-03-31,USD,856000000,45000000,None,266000000,369000000,310000000,328000000,None,122000000,666000000,-329000000,-674000000,None,552000000,552000000,None,149000000,149000000,None,None,None,None,-524000000,None,666000000,None,657000000,NXPI
2021-12-31,USD,785000000,241000000,None,6000000,260000000,310000000,318000000,None,16000000,610000000,-316000000,55000000,None,750000000,750000000,None,150000000,150000000,None,None,2000000000,None,3267000000,None,524000000,None,602000000,NXPI
2021-09-30,USD,924000000,56000000,None,118000000,103000000,306000000,242000000,None,57000000,526000000,-248000000,-1280000000,None,1157000000,1157000000,None,152000000,152000000,None,None,None,None,-1128000000,None,829000000,-3000000,519000000,NXPI
2021-06-30,USD,636000000,104000000,None,73000000,112000000,305000000,185000000,None,60000000,406000000,-189000000,619000000,None,1203000000,1203000000,None,155000000,155000000,None,None,None,None,-1203000000,None,406000000,2000000,397000000,NXPI
