fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2024-03-01,USD,28751000000,10008000000,6254000000,6820000000,None,2057000000,19754000000,1988000000,None,14825000000,2022000000,12803000000,566000000,None,566000000,1131000000,1265000000,13291000000,9537000000,300000000,12220000000,1497000000,None,1616000000,451000000,2138000000,1497000000,None,2138000000,None,435000000,15460000000,30109000000,33809000000,0,453000000,ADBE
2023-12-01,USD,29779000000,11084000000,7141000000,7842000000,None,2224000000,20205000000,2030000000,1731000000,14981000000,2176000000,12805000000,701000000,None,701000000,1018000000,1223000000,13261000000,8251000000,314000000,11900000000,0,73000000,1376000000,446000000,3634000000,None,None,3634000000,2027000000,376000000,16518000000,28129000000,33346000000,0,455000000,ADBE
2023-09-01,USD,29090000000,10410000000,6601000000,7516000000,None,1850000000,19847000000,2036000000,None,15134000000,2334000000,12800000000,915000000,None,915000000,1043000000,1239000000,13314000000,8334000000,314000000,10963000000,0,74000000,1347000000,463000000,3633000000,None,None,3633000000,2571000000,352000000,15776000000,27146000000,32012000000,0,456000000,ADBE
2023-06-02,USD,27838000000,9274000000,5456000000,6601000000,None,None,18564000000,2032000000,None,1258000000,1258000000,12796000000,None,None,1145000000,988000000,1125000000,13000000000,8019000000,346000000,None,0,74000000,4981000000,482000000,3631000000,None,None,4113000000,2334000000,347000000,14838000000,26191000000,30609000000,0,456000000,ADBE
2023-03-03,USD,26667000000,8342000000,4072000000,5653000000,None,None,18325000000,1967000000,None,1354000000,1354000000,12790000000,None,None,1581000000,888000000,984000000,12461000000,7437000000,308000000,None,0,81000000,5024000000,496000000,3630000000,None,None,4126000000,1691000000,323000000,14206000000,25206000000,29435000000,0,459000000,ADBE
2022-12-02,USD,27165000000,8996000000,4236000000,6096000000,None,2070000000,19621000000,1908000000,1569000000,15688000000,2898000000,12787000000,None,None,1860000000,835000000,841000000,13114000000,8128000000,379000000,10824000000,500000000,587000000,1357000000,504000000,3629000000,500000000,None,3629000000,1865000000,293000000,14051000000,23843000000,28319000000,0,462000000,ADBE
2022-09-02,USD,26744000000,8489000000,3870000000,5764000000,None,None,18255000000,1858000000,None,1548000000,1548000000,12756000000,None,None,1894000000,1002000000,880000000,12371000000,7438000000,316000000,None,500000000,588000000,4933000000,514000000,3627000000,500000000,None,4641000000,1705000000,253000000,14373000000,22109000000,27158000000,0,467000000,ADBE
2022-06-03,USD,26326000000,7908000000,3365000000,5299000000,None,None,18418000000,1790000000,None,1650000000,1650000000,12801000000,None,None,1934000000,1021000000,865000000,12341000000,7385000000,366000000,None,499000000,589000000,4956000000,532000000,3627000000,499000000,None,4658000000,1677000000,257000000,13985000000,20944000000,26022000000,0,471000000,ADBE
2022-03-04,USD,25976000000,7476000000,2739000000,4701000000,None,None,18500000000,1703000000,None,1743000000,1743000000,12795000000,None,None,1962000000,1090000000,874000000,12201000000,7197000000,295000000,None,499000000,592000000,5004000000,540000000,3626000000,499000000,None,4665000000,1416000000,262000000,13775000000,19759000000,24961000000,0,472000000,ADBE
2021-12-03,USD,27241000000,8669000000,3844000000,5798000000,None,1878000000,20392000000,1673000000,1451000000,16308000000,3640000000,12668000000,None,None,1954000000,975000000,883000000,12444000000,6932000000,312000000,9758000000,0,97000000,1389000000,550000000,4123000000,None,None,4123000000,1790000000,257000000,14797000000,17399000000,23905000000,0,475000000,ADBE
2021-09-03,USD,26144000000,8619000000,4623000000,6164000000,None,None,17525000000,1629000000,None,1557000000,1557000000,11838000000,None,None,1541000000,910000000,859000000,11730000000,6191000000,331000000,None,None,97000000,5539000000,563000000,4122000000,None,None,4685000000,1520000000,269000000,14414000000,16414000000,22750000000,0,476000000,ADBE
2021-06-04,USD,25582000000,8078000000,4250000000,5768000000,None,None,17504000000,1573000000,None,1641000000,1641000000,11859000000,None,None,1518000000,833000000,805000000,11730000000,6145000000,312000000,None,None,96000000,5585000000,573000000,4120000000,None,None,4693000000,1593000000,259000000,13852000000,15442000000,21538000000,0,477000000,ADBE
2021-03-05,USD,24985000000,7384000000,3452000000,4963000000,None,None,17601000000,1530000000,None,1729000000,1729000000,11845000000,None,None,1511000000,901000000,758000000,11439000000,5806000000,254000000,None,None,94000000,5633000000,588000000,4119000000,None,None,4707000000,1324000000,248000000,13546000000,14451000000,20521000000,0,479000000,ADBE
2020-11-27,USD,24284000000,8146000000,4478000000,5992000000,None,1398000000,16490000000,1517000000,1458000000,12101000000,1359000000,10742000000,1514000000,None,1514000000,756000000,663000000,11020000000,5512000000,306000000,7519000000,0,92000000,5508000000,591000000,4117000000,None,None,4117000000,1485000000,223000000,13264000000,13546000000,19611000000,0,479000000,ADBE
