fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2023-12-31,USD,6652000000,3149000000,1492000000,2813000000,103000000,96000000,3480000000,328000000,211000000,3058000000,241000000,2817000000,1318000000,None,1321000000,140000000,21000000,2126000000,971000000,28000000,52000000,700000000,737000000,1206000000,132000000,1700000000,700000000,1000000000,1700000000,154000000,60000000,4526000000,None,-1770000000,None,227620000,ZG
2023-09-30,USD,6656000000,3612000000,1846000000,3270000000,99000000,97000000,3021000000,324000000,221000000,2578000000,162000000,2416000000,1421000000,None,1424000000,149000000,16000000,2127000000,941000000,28000000,48000000,698000000,726000000,1186000000,147000000,1755000000,698000000,1057000000,1755000000,139000000,10000000,4529000000,None,-1697000000,None,233295000,ZG
2023-06-30,USD,6618000000,3631000000,1566000000,3313000000,75000000,90000000,2964000000,309000000,201000000,2527000000,153000000,2374000000,1745000000,None,1747000000,155000000,20000000,2132000000,333000000,21000000,49000000,66000000,95000000,1799000000,155000000,1729000000,66000000,1663000000,1729000000,168000000,10000000,4486000000,None,-1669000000,None,233629000,ZG
2023-03-31,USD,6614000000,3646000000,1394000000,3371000000,50000000,75000000,2945000000,290000000,178000000,2528000000,154000000,2374000000,1975000000,None,1977000000,152000000,13000000,2094000000,287000000,21000000,49000000,42000000,71000000,1807000000,162000000,1703000000,42000000,1661000000,1703000000,146000000,13000000,4520000000,None,-1634000000,None,234425000,ZG
2022-12-31,USD,6563000000,3603000000,1466000000,3364000000,43000000,72000000,2937000000,271000000,159000000,2528000000,154000000,2374000000,1896000000,None,1898000000,126000000,12000000,2081000000,270000000,20000000,44000000,37000000,68000000,1811000000,170000000,1697000000,37000000,1660000000,1697000000,138000000,12000000,4482000000,None,-1612000000,None,236181000,ZG
2022-09-30,USD,6718000000,3771000000,1973000000,3491000000,None,78000000,2922000000,261000000,138000000,2523000000,149000000,2374000000,1516000000,None,1518000000,204000000,11000000,2123000000,312000000,19000000,50000000,45000000,75000000,1811000000,171000000,1704000000,45000000,1659000000,1704000000,168000000,11000000,4595000000,None,-1540000000,None,240080000,ZG
2022-06-30,USD,6783000000,3844000000,2181000000,3545000000,23000000,74000000,2935000000,246000000,130000000,2527000000,153000000,2374000000,1362000,None,1364000000,204000000,6000000,2116000000,304000000,16000000,52000000,55000000,83000000,1812000000,178000000,1712000000,55000000,1657000000,1712000000,153000000,5000000,4667000000,None,-1487000000,None,243942000,ZG
2022-03-31,USD,7820000000,4790000000,2594000000,3796000000,494000000,99000000,3493000000,234000000,123000000,2539000000,165000000,2374000000,1110000,None,1202000000,571000000,86000000,3018000000,1202000000,24000000,56000000,878000000,901000000,1816000000,179000000,2534000000,878000000,1656000000,2534000000,221000000,4000000,4802000000,None,-1495000000,None,248542000,ZG
2021-12-31,USD,10695000000,7680000000,2315000000,2830000000,3912662000,154937000,6817569000,215000000,119000000,2550000000,176000000,2374000000,589025000,None,515000000,153555000,3000000,5354000000,3882000000,11000000,51484000,3520309000,3543812000,1471694000,171470000,3520309000,3520309000,1319224000,1432000000,269923000,5000000,5341000000,None,-1667032000,25000,254056000,ZG
2021-09-30,USD,10837639000,7830901000,2195366000,3571370000,3758207000,161080000,6698818000,202450000,115349000,2569839000,195038000,2374801000,1044985000,None,1376004000,143756000,9481000,5066653000,3110268000,30891000,54200000,2674335000,1766238000,1956385000,203870000,2674335000,2674335000,1766238000,4440573000,321405000,15714000,5771000000,None,-1405824000,26000,254074000,ZG
2021-06-30,USD,8775421000,6285720000,3713156000,4735055000,1169601000,101927000,3611364000,189950000,112562000,2066269000,81362000,1984907000,880875000,None,1021899000,107687000,10486000,3131306000,1646517000,15640000,53547000,1317927000,1345890000,1484789000,221854000,2594414000,1317927000,1276487000,2594414000,231440000,14411000,5644000000,None,-1077650000,25000,248152000,ZG
2021-03-31,USD,8255902000,5753580000,3401762000,4816526000,472397000,82461000,2924537000,190234000,110692000,2072618000,87711000,1984907000,1294051000,None,1414764000,107877000,8678000,2745864000,933412000,17044000,54192000,662175000,690640000,1812452000,229227000,2259380000,662175000,1597205000,2259380000,171536000,14485000,5510000000,None,-1087291000,25000,243234000,ZG
2020-12-31,USD,7486560000,4964880000,1703130000,3997043000,491293000,69940000,2962254000,196152000,113785000,2079674000,94767000,1984907000,2218108000,None,2293913000,75846000,7175000,2744744000,908641000,18974000,48995000,670209000,1616802000,1821246000,236033000,666930000,670209000,1613523000,2283732000,142153000,14857000,4742000000,None,-1139255000,24000,235425000,ZG
2020-09-30,USD,6843575000,4306126000,1904785000,3834273000,193283000,79642000,2680244000,198243000,201567000,2085556000,100649000,1984907000,1885385000,None,1929488000,73604000,9373000,2540220000,466168000,19352000,49153000,239981000,1841289000,2052513000,242810000,236702000,239981000,1838010000,2077991000,129375000,214503000,4303355000,None,-1185291000,24000,229719000,ZG
2020-06-30,USD,6449788000,3903934000,2045474000,3570261000,135401000,66878000,2633508000,195747000,194379000,2091897000,106990000,1984907000,1491167000,None,1524787000,56373000,11041000,2426730000,387445000,14307000,44514000,196669000,1813620000,2025093000,237541000,193390000,196669000,1810341000,2007010000,109166000,214752000,4023058000,None,-1224861000,23000,219467000,ZG
2020-03-31,USD,5871740000,3317650000,1567710000,2617396000,533989000,71782000,2835826000,188032000,185742000,2097181000,112274000,1984907000,993258000,None,1049686000,57635000,16624000,2455979000,671475000,17819000,35347000,476284000,1565949000,1565949000,236412000,476284000,476284000,1565949000,2042233000,121735000,216122000,3415761000,None,-1140413000,22000,210674000,ZG
2019-12-31,USD,6131973000,3510154000,1141263000,2511898000,836627000,77953000,3201084000,170489000,175001000,2175474000,190567000,1984907000,1280989000,10000000,1370635000,58117000,18494000,2696552000,920517000,8343000,39747000,731588000,1548127000,1543402000,238037000,726863000,731588000,1543402000,2274990000,123247000,220445000,3435000000,None,-977140000,21000,208222000,ZG
