fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2023-12-31,EUR,39957500000,24393900000,7004700000,7004700000,8850700000,None,15563600000,None,None,741700000,741700000,4588600000,None,919600000,5400000,92500000,None,26505100000,16274700000,None,None,None,100000,10230400000,None,4631500000,100000,None,4631600000,2486300000,None,13452400000,None,12379500000,36000000,393800000,ASML
2023-09-30,EUR,37513500000,21655700000,4975500000,4975500000,8378500000,None,15857800000,5393600000,None,756600000,756600000,4582600000,None,1094300000,5400000,1916800000,None,25518600000,16309500000,None,None,None,None,9209100000,None,4522300000,None,None,4522300000,16309500000,None,11994900000,None,None,11994900000,393700000,ASML
2023-06-30,EUR,36928500000,22398200000,6341300000,6341300000,7734400000,None,14530300000,None,None,789200000,789200000,4555600000,None,1040400000,5100000,1915300000,None,26323600000,16754300000,None,None,None,None,9569300000,None,4517800000,None,None,4517800000,13967400000,None,10604900000,None,11038200000,36300000,394000000,ASML
2023-03-31,EUR,35147600000,21060800000,6647700000,6647700000,7392000000,None,14086800000,4645000000,None,813700000,813700000,4555600000,None,969600000,4800000,1722400000,None,25361300000,16948100000,None,None,None,None,8413200000,None,3536000000,None,None,3536000000,16948100000,None,9786300000,None,None,9786300000,394800000,ASML
2022-12-31,EUR,38826000000,22549600000,7268300000,7268300000,7199700000,None,16276400000,4136900000,None,3345700000,3345700000,4577100000,None,923600000,107700000,266400000,None,27540000000,17762600000,None,None,None,746200000,9777400000,None,3514200000,746200000,None,4260400000,1971900000,275900000,11286000000,None,8697700000,36300000,395200000,ASML
2022-09-30,EUR,32803500000,19726400000,3152800000,3152800000,6884000000,None,13077100000,3768600000,None,870100000,870100000,4555600000,None,998700000,210000000,1657500000,None,24848400000,15668600000,None,None,None,None,9179800000,None,3503100000,None,None,3503100000,15668600000,None,7955100000,None,None,7955100000,396600000,ASML
2022-06-30,EUR,31912600000,19835300000,4096500000,4096500000,6367100000,None,12077300000,3546100000,None,896100000,896100000,4555600000,None,961400000,305400000,1528100000,None,24264000000,14637000000,None,None,None,None,9627000000,None,4385300000,None,None,4385300000,12474500000,None,7648600000,None,None,7648600000,401600000,ASML
2022-03-31,EUR,30231800000,18208800000,4324100000,4324100000,6073500000,None,12023000000,3336400000,None,923400000,923400000,4555600000,None,940000000,398500000,1468200000,None,21421400000,13612800000,None,None,None,None,7808600000,None,3951700000,None,None,3951700000,13612800000,None,8810400000,None,None,8810400000,401500000,ASML
2021-12-31,EUR,30231000000,18190200000,6951800000,6951800000,5179200000,None,12040800000,3147500000,None,952100000,952100000,4555600000,None,892500000,638500000,1000500000,None,20090400000,12298000000,None,None,None,509100000,7792400000,None,4075000000,509100000,None,4075000000,1737400000,None,10140600000,None,8317300000,36500000,405000000,ASML
2021-09-30,EUR,27298000000,15678300000,4318700000,4318700000,4944200000,None,11619700000,2891200000,None,963800000,963800000,4555600000,None,963200000,137000000,995000000,None,15795600000,9162600000,None,None,None,None,6633000000,None,4105800000,None,None,4105800000,9162600000,None,11502400000,None,None,11502400000,408600000,ASML
