fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2023-12-31,USD,9946806000,8390235000,1938606000,5007968000,1945180000,1024569000,1612461000,101580000,188078000,357299000,88768000,268531000,3064362000,None,3069362000,412518000,151900000,2727747000,1909606000,435059000,3012408000,None,95751000,862554000,None,None,None,None,65519000,152041000,131390000,7219059000,None,5114025000,31000,312245000,ANET
2023-09-30,USD,9069035000,7654998000,1748818000,4455603000,1893538000,833374000,1351749000,102592000,180809000,363989000,95458000,268531000,2699785000,62288000,2706785000,274114000,33265000,2563480000,1846725000,268972000,2389502000,None,104660000,716755000,48044000,None,None,None,48044000,469007000,67975000,6505555000,None,4500389000,31000,310972000,ANET
2023-06-30,USD,8186041000,6851557000,1261836000,3741126000,1864334000,779726000,1272696000,101705000,172638000,372106000,103575000,268531000,2447459000,61788000,2479290000,167544000,31696000,2328459000,1655792000,351920000,2169808000,None,98722000,672667000,51702000,None,None,None,51702000,316629000,61546000,5857582000,None,3955062000,31000,309355000,ANET
2023-03-31,USD,7543066000,6270533000,956341000,3331130000,1682703000,862875000,1233132000,97157000,164370000,378814000,112890000,265924000,2346803000,39401000,2374789000,125353000,47092000,2213892000,1584909000,330171000,2184548000,None,None,628983000,55291000,None,None,None,55291000,231274000,58385000,5329174000,None,3493181000,31000,308098000,ANET
2022-12-31,USD,6775410000,5550748000,671707000,3023729000,1289706000,923096000,1228962000,95009000,156847000,388129000,122205000,265924000,2322469000,39468000,2352022000,152170000,166612000,1889590000,1293531000,232572000,2082492000,None,19878000,596059000,43964000,None,None,None,43964000,131040000,102406000,4885820000,None,3138983000,31000,306890000,ANET
2022-09-30,USD,6162010000,5031678000,716253000,2980071000,1100550000,651512000,1090655000,96449000,150415000,402538000,131520000,271018000,2236643000,39677000,2263818000,142627000,59655000,1776792000,1254912000,278469000,1882088000,None,None,521880000,47067000,None,None,None,47067000,128645000,58791000,4385218000,None,2714711000,31000,305515000,ANET
2022-06-30,USD,5824545000,4729195000,493246000,2901902000,852810000,585786000,1057087000,91823000,143711000,414330000,140836000,273494000,2378899000,38263000,2408656000,256102000,46610000,1818753000,1278026000,275093000,2066980000,None,None,540727000,51793000,None,None,None,51793000,94837000,60337000,4005792000,None,2408294000,30000,304455000,ANET
2022-03-31,USD,6108186000,5105174000,635025000,3423914000,694217000,648606000,964387000,87391000,138337000,322159000,105244000,216915000,2729748000,38625000,2788889000,217363000,41819000,1955009000,1369005000,204675000,1123746000,None,None,586004000,57474000,None,None,None,57474000,188831000,57672000,4153177000,None,2592854000,31000,308165000,ANET
2021-12-31,USD,5734429000,4812676000,620813000,3408315000,650117000,516509000,921753000,78634000,133023000,281952000,93555000,188397000,2787502000,20247000,2787502000,172893000,33443000,1755829000,1109829000,202636000,929312000,None,226643000,646000000,56527000,None,None,None,56527000,86972000,54749000,3978600000,None,2456823000,31000,307681000,ANET
2021-09-30,USD,5437350000,4523958000,630982000,3386481000,575665000,395590000,895145000,75373000,128078000,289110000,100713000,188397000,2755499000,18247000,2755499000,90181000,32524000,1572090000,893387000,135252000,800440000,None,174425000,678703000,61628000,None,None,None,61628000,72356000,51165000,3865260000,None,2393661000,8000,76886000,ANET
2021-06-30,USD,5208280000,4328395000,893688000,3281703000,543199000,364214000,866238000,32362000,123394000,296272000,107995000,188277000,2388015000,13647000,2388015000,81017000,33433000,1510439000,859935000,145159000,746090000,None,163245000,650504000,64295000,None,None,None,64295000,69419000,47508000,3697841000,None,2303513000,8000,76665000,ANET
2021-03-31,USD,4893730000,4002895000,843336000,3027666000,483168000,380466000,880521000,32462000,119902000,303636000,115359000,188277000,2184330000,10314000,2184330000,69790000,33190000,1442392000,786532000,136885000,720031000,None,122466000,655860000,67770000,None,None,None,67770000,69382000,44620000,3451338000,None,2106625000,8000,76257000,ANET
2020-12-31,USD,4738919000,3836998000,893219000,2872868000,479668000,389540000,901921000,32231000,115181000,312486000,122790000,189696000,1979649000,8314000,1979649000,60556000,30071000,1418628000,768243000,134235000,650827000,None,143357000,650385000,72397000,None,None,None,72397000,94392000,42431000,3320291000,None,2027614000,30000,76174000,ANET
2020-09-30,USD,4399372000,3653867000,970349000,2845901000,438102000,300217000,741355000,32670000,110014000,162720000,77752000,84968000,1875552000,4150000,1875552000,43311000,22807000,1315495000,664783000,163102000,562304000,None,110348000,650712000,74903000,None,None,None,74903000,70043000,39165000,3083877000,None,1844656000,8000,75632000,ANET
2020-06-30,USD,4335851000,3576878000,800182000,2781771000,326997000,383225000,754823000,35263000,105229000,168530000,83562000,84968000,1981589000,4150000,1981589000,56980000,25493000,1299368000,640181000,122872000,577511000,None,100070000,659187000,74259000,None,None,None,74259000,88714000,38679000,3036483000,None,1843559000,8000,75964000,ANET
2020-03-31,USD,4111845000,3336899000,761333000,2636993000,261798000,352159000,770796000,37806000,99984000,174154000,89373000,84781000,1875660000,4150000,1875660000,50373000,27027000,1263019000,573007000,84815000,596775000,None,100443000,690012000,78502000,None,None,None,78502000,55574000,38099000,2848826000,None,1698766000,8000,75655000,ANET
2019-12-31,USD,4185290000,3471636000,1111286000,2724368000,243825000,391987000,713654000,39273000,97376000,100090000,45235000,54855000,1613082000,4150000,1613082000,64464000,30346000,1290604000,597074000,92105000,575288000,16052000,140249000,693530000,0,None,16052000,None,83022000,52052000,37693000,2894686000,None,1788230000,8000,76389000,ANET
2019-09-30,USD,3619825000,3240420000,1095265000,2447040000,239802000,447252000,375255000,40188000,92663000,103174000,48319000,54855000,1351775000,4150000,1351775000,52800000,29360000,963821000,548189000,78600000,529012000,15545000,128930000,415632000,0,None,15545000,None,87099000,49275000,30627000,2656004000,None,1579063000,8000,76368000,ANET
2019-06-30,USD,3441292000,3028518000,944414000,2257803000,314177000,343080000,381288000,41023000,88023000,105296000,51612000,53684000,1313389000,31486000,1313389000,43665000,27106000,915732000,525020000,86134000,502218000,14666000,113898000,390712000,0,None,14666000,None,89705000,52622000,25351000,2525560000,None,1484777000,8000,76555000,ANET
2019-03-31,USD,3332444000,2900974000,809491000,2150918000,347153000,271246000,175387000,41529000,83214000,108795000,55111000,53684000,1341427000,31486000,1341427000,63436000,25063000,932077000,543193000,89823000,536471000,None,104228000,295268000,0,93616000,14139000,None,93616000,44413000,25601000,2400367000,None,1395534000,8000,76453000,ANET
2018-12-31,USD,3081983000,2714802000,649950000,1956147000,264557000,331777000,367181000,75355000,90012000,112294000,58610000,53684000,1306197000,30336000,1306197000,95730000,22704000,938594000,606504000,93757000,587227000,None,123254000,300412000,None,None,None,None,35431000,30907000,28098000,2143389000,None,1190803000,8000,75668000,ANET
2018-09-30,USD,2798238000,2436046000,524687000,1661799000,216313000,322053000,247910000,75397000,84397000,117278000,62110000,55168000,1137112000,35036000,1137112000,118262000,20199000,852362000,539782000,85097000,529855000,None,103108000,65535000,None,36040000,None,None,36040000,32727000,23065000,1945876000,None,1020481000,8000,75393000,ANET
2018-06-30,USD,2832114000,2620562000,711157000,1860404000,245439000,260917000,128791000,73736000,79256000,None,None,None,1149247000,35036000,1149247000,87157000,20019000,1112141000,826763000,53182000,448644000,None,86693000,62485000,None,36594000,36594000,None,36594000,19543000,22116000,1719973000,None,851957000,8000,74791000,ANET
2018-03-31,USD,2580034000,2379174000,886160000,1738040000,268131000,207339000,132840000,73825000,74026000,None,None,None,851880000,36136000,851880000,82837000,22879000,734995000,457779000,70431000,456054000,None,85728000,240078000,None,37138000,37138000,None,37138000,26943000,21343000,1845039000,None,1007226000,8000,74338000,ANET
2017-12-31,USD,2460860000,2266429000,859192000,1535555000,306198000,247346000,194431000,74279000,69020000,0,0,0,712463000,36136000,676363000,96215000,18891000,798946000,529905000,52200000,498740000,None,133827000,233246000,37673000,37700000,37673000,None,37673000,16172000,9745000,1661914000,None,859114000,7000,73706000,ANET
2017-09-30,USD,2301710000,2075539000,854479000,1343114000,333157000,212611000,130474000,73061000,63789000,None,None,None,524735000,36100000,488635000,126190000,21277000,777158000,567547000,32893000,565145000,None,94459000,171412000,None,38199000,38199000,None,38199000,16490000,7811000,1524552000,None,755281000,7000,73067000,ANET
2017-06-30,USD,2162940000,1949189000,823475000,1124839000,363803000,269624000,132282000,75840000,58601000,None,None,None,337464000,36100000,301364000,124362000,20306000,805191000,610797000,80418000,554510000,None,84413000,155722000,None,38672000,38672000,None,38672000,19216000,7992000,1357749000,None,621559000,7000,72450000,ANET
2017-03-31,USD,1939598000,1736825000,746567000,1043242000,286786000,209062000,132340000,76319000,53719000,None,None,None,332775000,36100000,296675000,112216000,19885000,711224000,532513000,60984000,497170000,None,75291000,139575000,None,39136000,39136000,None,39136000,12993000,8069000,1228374000,None,518874000,7000,71904000,ANET
2016-12-31,USD,1729007000,1526126000,567923000,867833000,236490000,253119000,202881000,76961000,49132000,None,None,None,336010000,36100000,299910000,79140000,18824000,621187000,459553000,79457000,372935000,None,90951000,123322000,None,39593000,39593000,None,39593000,15795000,7958000,1107820000,None,435105000,7000,70811000,ANET
2016-09-30,USD,1519080000,1324178000,500481000,800148000,162128000,210243000,194902000,78147000,44789000,None,None,None,335767000,36100000,299667000,55363000,18398000,507660000,355082000,77048000,284835000,None,77163000,112537000,None,40000000,None,None,40041000,9777000,6900000,1011420000,None,376322000,7000,70133000,ANET
2016-06-30,USD,1334988000,1142054000,531058000,823818000,118130000,146659000,192934000,79681000,39797000,None,None,None,328860000,36100000,292760000,27513000,18812000,418156000,263439000,60097000,230324000,None,55110000,114279000,None,40400000,None,None,40438000,9347000,6754000,916832000,None,325065000,7000,69195000,ANET
2016-03-31,USD,1209947000,1023133000,710663000,762252000,84030000,135119000,186814000,79944000,35051000,None,None,None,85189000,33600000,51589000,27766000,20208000,360090000,214264000,24808000,219220000,None,46113000,104999000,None,40800000,None,None,40827000,7819000,6385000,849857000,None,286161000,7000,68556000,ANET
2015-12-31,USD,1159890000,974328000,687326000,687326000,92129000,144263000,185562000,79706000,30339000,None,None,None,33600000,33600000,None,29270000,20791000,371738000,235011000,43966000,196808000,None,1336000,95986000,None,41210000,42500000,None,41210000,8025000,6698000,788152000,None,250916000,7000,68132000,ANET
2015-09-30,USD,1072892000,921100000,418500000,568617000,109921000,160230000,151792000,75248000,26502000,None,None,None,183717000,33600000,150117000,36765000,20861000,349718000,224966000,31487000,190706000,None,1269000,83165000,None,41587000,None,None,42856000,9760000,6011000,723174000,None,206991000,7000,67731000,ANET
2015-06-30,USD,990839000,850212000,342958000,551763000,100304000,122342000,140627000,73178000,23086000,None,None,None,242405000,33600000,208805000,27808000,17053000,325297000,202498000,43831000,164443000,None,1207000,80887000,None,41912000,None,None,43119000,8075000,5839000,665542000,None,178302000,7000,67302000,ANET
2015-03-31,USD,875092000,736044000,275186000,484339000,91225000,113057000,139048000,72787000,19842000,None,None,None,242753000,33600000,209153000,5323000,17334000,264621000,148331000,29123000,132824000,None,1147000,74058000,None,42232000,None,None,43379000,8462000,5558000,610471000,None,154306000,7000,66426000,ANET
2014-12-31,USD,811023000,679479000,240031000,449457000,78006000,96982000,131544000,71558000,16958000,None,None,None,243026000,33600000,209426000,11512000,11840000,255365000,144373000,32428000,106468000,None,1087000,68565000,None,42547000,43634000,None,42547000,11249000,4981000,555658000,None,129814000,7000,65528000,ANET
2014-09-30,USD,691883000,588351000,408596000,408596000,62587000,92063000,118532000,66991000,14317000,None,None,None,18000000,15000000,None,25105000,27559000,198961000,101796000,19845000,77692000,None,32246000,91749000,None,42831000,None,None,42831000,9428000,39312000,492922000,None,98777000,7000,64425000,ANET
2014-06-30,USD,642778000,562676000,397198000,397198000,71068000,75946000,80102000,68799000,11679000,None,None,None,None,None,None,18464000,3806000,181592000,97694000,20000000,61683000,None,28016000,64585000,None,43108000,0,None,43108000,11790000,25718000,461186000,None,76911000,7000,64386000,ANET
2023-12-31,USD,13215200000,5912300000,2483000000,2483000000,2111800000,935400000,7550200000,4401500000,3529500000,1876900000,299300000,1577600000,None,None,None,382100000,381300000,5414600000,2183600000,725600000,None,794800000,794800000,3528500000,22400000,3379900000,794000000,2542600000,3379900000,333700000,627300000,7782600000,3937400000,6548100000,6200000,426386426,ON
2023-09-30,USD,13281300000,6085400000,2679200000,2679200000,2084800000,958200000,7454700000,4314500000,None,1890400000,312800000,1577600000,None,None,None,363200000,368700000,5777300000,2494800000,911300000,377300000,918100000,918100000,3509500000,21600000,3499500000,912900000,2541100000,3499500000,665400000,684700000,7484300000,3208100000,5985400000,6100000,430594632,ON
2023-06-30,USD,12762700000,5930200000,2622200000,2622200000,1964400000,944400000,7092600000,3991400000,None,1903900000,326300000,1577600000,None,None,12500000,399200000,390200000,5759100000,2480700000,907500000,406700000,919100000,919100000,3511500000,24100000,3499600000,912100000,2539600000,3499600000,654100000,677000000,6984100000,3101900000,5402700000,6100000,431520606,ON
2023-03-31,USD,12274300000,5716300000,2702400000,2702400000,1814900000,880900000,6823400000,3692900000,None,1917400000,339800000,1577600000,None,None,21800000,318100000,429400000,5807300000,2580000000,976200000,294500000,937800000,937800000,3472100000,24000000,3514600000,926200000,2538000000,3514600000,666000000,628700000,6448000000,2988200000,4826100000,6100000,431851090,ON
2022-12-31,USD,11978500000,5729400000,2919000000,2919000000,1616800000,842300000,6511200000,3450700000,3155100000,1937300000,359700000,1577600000,None,None,22000000,351300000,438600000,5771500000,2061400000,852100000,250900000,162000000,162000000,4023100000,23000000,3228300000,147800000,3045700000,3228300000,1047300000,607300000,6188500000,2829700000,4364400000,6100000,431936415,ON
2022-09-30,USD,11100700000,5309400000,2450200000,2450200000,1575400000,857300000,6077800000,2762100000,None,1974200000,373800000,1600400000,None,None,34100000,291500000,645100000,5424100000,1761000000,791700000,None,176900000,165300000,3886700000,20600000,3248800000,165300000,3046500000,3248800000,804000000,586100000,5656000000,2685600000,3760100000,6100000,432406805,ON
2022-06-30,USD,10788700000,4785300000,1791600000,1791600000,1563200000,1138100000,5000000,2709800000,None,2268000000,452600000,1815400000,None,None,34800000,292400000,649900000,5378600000,1713300000,793800000,None,None,165200000,3665300000,22200000,3251500000,165200000,3047400000,3212600000,754300000,581100000,5389500000,None,3448200000,6100000,433322860,ON
2022-03-31,USD,10212400000,4367400000,1645100000,1645100000,1496000000,910700000,5000000,2559400000,None,2411200000,474500000,1936700000,None,None,None,315600000,525100000,5194400000,1566100000,725300000,None,None,170400000,3628300000,10200000,3254200000,170400000,3035400000,3205800000,670400000,552000000,4998200000,2507200000,2992400000,6100000,434494753,ON
2021-12-31,USD,9626000000,3781600000,1352600000,1352600000,1379500000,809400000,6056500000,2524300000,3340500000,2433200000,495700000,1937500000,None,None,None,240100000,498300000,5021600000,1543400000,635100000,None,173400000,160700000,3749200000,10200000,3258300000,160700000,2913900000,3258300000,747600000,510900000,4585400000,2448400000,2435100000,6000000,432472818,ON
2021-09-30,USD,8940700000,3641800000,1389200000,1389200000,1327600000,720000000,5298900000,2427800000,None,2053000000,390300000,1662700000,None,None,None,205000000,436000000,4796300000,1444100000,599300000,None,None,203000000,3352200000,None,3309900000,203000000,2910500000,3113500000,641800000,394900000,4123700000,2341400000,2009200000,6000000,430824004,ON
2021-06-30,USD,8594400000,3229900000,1091100000,1091100000,1309300000,669100000,5364500000,2457800000,None,2079700000,416300000,1663400000,None,None,None,160400000,397100000,4790000000,1455100000,610200000,None,None,201300000,3334900000,None,3313900000,201300000,2907100000,3108400000,643600000,378000000,3784400000,2339200000,1699500000,6000000,430532211,ON
2021-03-31,USD,8630400000,3187600000,1042500000,1042500000,1295500000,683600000,5442800000,2489400000,None,2104500000,441100000,1663400000,None,None,None,166000000,401700000,4980800000,1730000000,605000000,None,None,536700000,3250800000,None,3435400000,536700000,2806900000,3343600000,588300000,390000000,3629600000,1996700000,1515400000,5800000,419896411,ON
2020-12-31,USD,8668000000,3184100000,1080700000,1080700000,1251400000,676000000,5629200000,2512300000,None,2132400000,469000000,1663400000,None,None,None,176000000,410200000,5109900000,1674500000,572900000,None,531600000,531600000,3701700000,0,3589500000,531600000,2959700000,3589500000,570000000,418400000,3538500000,1968200000,1425500000,5700000,411842629,ON
2020-09-30,USD,9254000000,3812600000,1654000000,1654000000,1281200000,728100000,5441400000,2511800000,None,2161600000,498200000,1663400000,None,None,None,149300000,306400000,5806800000,1803100000,534200000,None,None,701600000,4003700000,None,4348800000,701600000,3537600000,4239200000,567300000,403500000,3423400000,1733000000,1336500000,5700000,411219904,ON
2020-06-30,USD,9527800000,4144400000,2060400000,2060400000,1285400000,667400000,5383400000,2566500000,None,2191200000,527800000,1663400000,None,None,None,131200000,300500000,6268500000,1764600000,522900000,None,None,695600000,4503900000,None,4853200000,695600000,4044800000,4740400000,546100000,397600000,3236100000,1732500000,1175900000,5700000,410809621,ON
2020-03-31,USD,9420800000,4032300000,1982000000,1982000000,1251900000,652000000,5388500000,2579900000,None,2221600000,558200000,1663400000,None,None,None,146400000,256000000,6183200000,1736100000,503900000,None,None,689600000,4447100000,None,4857500000,689600000,4043000000,4732600000,542600000,343300000,3214900000,1731900000,1177300000,5700000,410004566,ON
2019-12-31,USD,8425500000,3020000000,894200000,894200000,1232400000,705000000,5515700000,2591600000,2669400000,2249700000,590500000,1659200000,None,None,None,188400000,256400000,5101400000,1818400000,543600000,None,None,736000000,3283000000,None,3749200000,736000000,2876500000,3612500000,538800000,346300000,3301700000,1650500000,1191300000,5700000,411312664,ON
