fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2023-12-31,USD,24353000000,7864000000,3862000000,3862000000,2134000000,894000000,16489000000,3323000000,5660000000,10877000000,922000000,9955000000,168000000,101000000,409000000,565000000,2289000000,15709000000,4111000000,1164000000,None,1000000000,1000000000,11282000000,None,11250000000,1000000000,None,11250000000,1855000000,1054000000,8644000000,3210000000,-2793000000,56000000,257292000,NXPI
2023-09-30,USD,23996000000,7616000000,4042000000,4042000000,2140000000,939000000,16380000000,3197000000,5525000000,10947000000,1010000000,9937000000,169000000,102000000,None,495000000,2236000000,15198000000,3964000000,959000000,None,999000000,999000000,11234000000,None,10173000000,999000000,None,-78000000,1990000000,1014000000,8488000000,3281000000,-2725000000,56000000,257488000,NXPI
2023-06-30,USD,23795000000,7447000000,3863000000,3863000000,2107000000,1061000000,16348000000,3152000000,None,11060000000,1110000000,9950000000,149000000,103000000,None,416000000,2136000000,15318000000,4085000000,967000000,None,999000000,999000000,11233000000,None,10171000000,999000000,None,-80000000,2096000000,1014000000,8172000000,3034000000,-3228000000,56000000,259160000,NXPI
2023-03-31,USD,23732000000,7357000000,3930000000,3930000000,1977000000,None,16375000000,3123000000,5350000000,1208000000,1208000000,9949000000,143000000,None,None,387000000,2095000000,15484000000,4213000000,1002000000,None,998000000,998000000,11271000000,None,10169000000,998000000,None,11167000000,2186000000,1057000000,7949000000,None,-3652000000,56000000,259576000,NXPI
2022-12-31,USD,23236000000,6935000000,3845000000,3845000000,1782000000,960000000,16301000000,3105000000,5214000000,11254000000,1311000000,9943000000,98000000,71000000,None,348000000,1942000000,15496000000,3270000000,1185000000,None,0,55000000,12226000000,None,11250000000,None,None,11250000000,2066000000,1015000000,7449000000,2799000000,-3975000000,56000000,259656000,NXPI
2022-09-30,USD,22940000000,6703000000,3759000000,3759000000,1581000000,None,16237000000,2971000000,5055000000,1417000000,1417000000,9909000000,102000000,None,None,351000000,1940000000,15555000000,3219000000,1534000000,None,None,None,12336000000,None,11162000000,None,None,11162000000,1677000000,1123000000,7106000000,2765000000,-4039000000,56000000,262180000,NXPI
2022-06-30,USD,22539000000,6320000000,3545000000,3545000000,1462000000,None,16219000000,2914000000,5396000000,1527000000,1527000000,9930000000,108000000,None,None,317000000,1848000000,15313000000,2941000000,1462000000,None,None,None,12372000000,None,11160000000,None,None,11160000000,1467000000,1159000000,6962000000,2424000000,-4522000000,56000000,262579000,NXPI
2022-03-31,USD,21321000000,5275000000,2683000000,2683000000,1311000000,None,16046000000,2814000000,4805000000,1577000000,1577000000,9954000000,117000000,None,None,356000000,1701000000,14561000000,2845000000,1369000000,None,None,None,11716000000,None,10573000000,None,None,10573000000,1460000000,1076000000,6509000000,2433000000,-4959000000,56000000,263089000,NXPI
2021-12-31,USD,20864000000,5228000000,2830000000,2830000000,1189000000,923000000,15636000000,2635000000,4676000000,11655000000,1694000000,9961000000,112000000,75000000,None,286000000,1346000000,14094000000,2452000000,1252000000,None,0,None,11642000000,None,10650000000,None,None,10650000000,1175000000,1001000000,6528000000,1932000000,-5371000000,56000000,265806000,NXPI
2021-09-30,USD,20010000000,4721000000,2303000000,2303000000,1173000000,None,15289000000,2510000000,4565000000,1741000000,1741000000,9968000000,118000000,None,None,266000000,1070000000,13038000000,3438000000,1140000000,None,999000000,999000000,9600000000,None,8594000000,999000000,None,9593000000,1269000000,909000000,6738000000,4028000000,-3730000000,59000000,266557000,NXPI
