fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2023-12-31,USD,4888687000,4313954000,895129000,1380288000,None,2870313000,574733000,161422000,158537000,None,None,None,485159000,None,485159000,63353000,60730000,2724468000,2510838000,2317318000,None,None,55524000,213630000,235893000,None,None,None,235893000,137996000,33261000,2164219000,None,196954000,0,489459000,TTD
2023-09-30,USD,4520432000,4013806000,1071764000,1521881000,None,2434047000,506626000,152863000,None,None,None,None,450117000,None,450117000,57878000,51152000,2364906000,2147155000,1967649000,None,None,57890000,217751000,248097000,None,None,None,248097000,121616000,27544000,2155526000,None,320419000,0,489447000,TTD
2023-06-30,USD,4346968000,3831763000,965831000,1430944000,1,2346070000,515205000,159805000,None,None,None,None,465113000,None,465113000,54749000,49284000,2275558000,2050984000,1892906000,None,None,54793000,224574000,252868000,None,None,None,252868000,103285000,26499000,2071410000,None,370912000,0,488431000,TTD
2023-03-31,USD,3999638000,3475865000,892702000,1330432000,2,2086332000,523773000,170454000,None,None,None,None,437730000,None,437730000,59101000,47249000,2058831000,1830354000,1677154000,None,None,53054000,228477000,253782000,None,None,None,253782000,100146000,27749000,1940807000,None,381977000,0,489712000,TTD
2022-12-31,USD,4380679000,3845617000,1030506000,1446586000,1,2347195000,535062000,173759000,105894000,18544000,18544000,None,416080000,None,416080000,51836000,46879000,2265340000,2029323000,1871419000,None,None,52430000,236017000,260957000,None,None,None,260957000,11446000,27490000,2115339000,None,665514000,0,489244000,TTD
2022-09-30,USD,3923954000,3415363000,994656000,1321401000,1,2026929000,508591000,166078000,None,None,None,None,326745000,None,326745000,67033000,43956000,2009666000,1785240000,1651447000,None,None,51025000,224426000,266753000,None,None,None,266753000,15128000,8698000,1914288000,None,594327000,0,487963000,TTD
2022-06-30,USD,3672746000,3196177000,932683000,1213142000,None,1902504000,476569000,139214000,None,None,None,None,280459000,None,280459000,80531000,45286000,1892915000,1665074000,1537448000,None,None,48287000,227841000,267628000,None,None,None,267628000,12650000,8500000,1779831000,None,578458000,0,486310000,TTD
2022-03-31,USD,3432721000,2955339000,844223000,1104570000,None,1760985000,477382000,130640000,None,None,None,None,260347000,None,260347000,89784000,44203000,1783618000,1545802000,1405673000,None,None,47226000,237816000,276715000,None,None,None,276715000,92903000,8327000,1649103000,None,597531000,0,484190000,TTD
2021-12-31,USD,3577340000,3091649000,754154000,958779000,None,2020720000,485691000,135856000,68890000,14334000,14334000,None,204625000,None,204625000,112150000,47500000,2050034000,1803305000,1655684000,None,None,46149000,246729000,284598000,None,None,None,284598000,33228000,8280000,1527306000,None,612129000,0,480916000,TTD
2021-09-30,USD,2988755000,2515917000,576916000,798601000,None,1624759000,472838000,137416000,None,None,None,None,221685000,None,221685000,92557000,46581000,1685941000,1427897000,1304971000,None,None,45603000,258044000,293526000,None,None,None,293526000,77323000,10121000,1302814000,None,604090000,0,478101000,TTD
