fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2023-12-31,EUR,68291000000,20531000000,8124000000,8124000000,None,None,41412000000,None,None,2505000000,2505000000,29088000000,None,5107000000,3344000000,2702000000,None,24926000000,14576000000,None,None,None,1731000000,7945000000,1621000000,6027000000,1143000000,None,7945000000,6044000000,588000000,43116000000,None,42417000000,1229000000,1178000000,SAP
2023-09-30,EUR,68011000000,20817000000,9378000000,9378000000,None,None,47194000000,4402000000,None,2190000000,2190000000,29144000000,None,5631000000,3050000000,2374000000,None,24771000000,13391000000,None,None,None,1640000000,11380000000,None,9228000000,None,None,10868000000,4877000000,626000000,42959000000,None,41102000000,1229000000,1180000000,SAP
2023-06-30,EUR,69719000000,22990000000,14142000000,14142000000,None,None,46730000000,4361000000,None,2259000000,2259000000,28581000000,None,5513000000,480000000,2371000000,None,27490000000,16176000000,None,None,None,3068000000,11314000000,None,6975000000,None,None,12237000000,4781000000,677000000,41946000000,None,40225000000,1229000000,1176277897,SAP
2023-03-31,EUR,73533000000,26507000000,8766000000,8766000000,7385000000,None,47026000000,4465000000,None,2349000000,2349000000,28563000000,None,5498000000,1124000000,2241000000,None,30537000000,18849000000,None,None,None,3689000000,11688000000,None,9239000000,None,None,12928000000,6006000000,970000000,40250000000,None,36866000000,1229000000,1174000000,SAP
2022-12-31,EUR,73533000000,26507000000,8766000000,8766000000,7385000000,None,47026000000,4934000000,None,2349000000,2349000000,28563000000,None,5626000000,1124000000,2241000000,None,30537000000,18849000000,None,None,None,3689000000,11688000000,2140000000,9547000000,3984000000,None,12928000000,6006000000,706000000,40250000000,None,36866000000,1229000000,1174000000,SAP
2022-09-30,EUR,78234000000,20839000000,7340000000,7340000000,None,None,57395000000,5032000000,None,4328000000,4328000000,35699000000,None,6921000000,1482000000,2235000000,None,32188000000,20233000000,None,None,None,8579000000,11955000000,None,9565000000,None,None,18144000000,4241000000,611000000,42950000000,None,35764000000,1229000000,1173000000,SAP
2022-06-30,EUR,75575000000,20121000000,7492000000,7492000000,None,None,55454000000,4996000000,None,4295000000,4295000000,33913000000,None,6920000000,987000000,2112000000,None,32788000000,20894000000,None,None,None,8150000000,11894000000,None,7208000000,None,None,17665000000,3922000000,657000000,39844000000,None,35109000000,1229000000,1174000000,SAP
2022-03-31,EUR,76374000000,23367000000,8942000000,8942000000,None,None,53007000000,4991000000,None,4032000000,4032000000,32159000000,None,6597000000,2544000000,1888000000,None,33756000000,21027000000,None,None,None,7143000000,12729000000,None,10070000000,None,None,17213000000,4561000000,1053000000,39850000000,None,37661000000,1229000000,1178000000,SAP
2021-12-31,EUR,71169000000,20044000000,8898000000,8898000000,588000000,None,51125000000,4975000000,None,3966000000,3966000000,31090000000,None,6275000000,2758000000,826000000,None,29646000000,16136000000,None,None,None,4167000000,13510000000,2143000000,11042000000,3760000000,None,15147000000,5958000000,62000000,38853000000,-3072000000,37022000000,1229000000,1179579340,SAP
2021-09-30,EUR,65030000000,16927000000,7943000000,7943000000,None,None,48103000000,4834000000,None,3810000000,3810000000,29654000000,None,5789000000,1557000000,1640000000,None,28206000000,14511000000,None,None,None,4205000000,13695000000,None,11342000000,None,None,15547000000,4318000000,723000000,35203000000,-3072000000,34492000000,1229000000,1180000000,SAP
