fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2023-12-31,USD,18783852000,13054612000,5623289000,5623289000,4429906000,2707458000,3555246000,2147482000,None,1751081000,151081000,1600000000,14720000,None,14720000,279239000,1804165000,10561374000,4272383000,499704000,1792955000,3779000,3779000,6288991000,None,4980005000,3779000,None,4983784000,1975945000,511430000,8222478000,23004358000,23347148000,131000,131278000,LRCX
2023-09-30,USD,18538457000,12993562000,5126150000,5126150000,4747781000,2810953000,3408002000,2110511000,None,1757618000,157618000,1600000000,30557000,None,30557000,278121000,1650384000,10491127000,4247177000,528163000,None,3861000,3861000,6243950000,None,4980460000,3861000,None,4984321000,2120055000,482979000,8047330000,22365872000,22655389000,132000,132072000,LRCX
2023-06-30,USD,18781643000,13228412000,5337056000,5337056000,4816190000,2823376000,5802055000,1802951000,1642456000,1790943000,168454000,1600000000,37641000,None,37641000,214149000,1905616000,10571471000,4184918000,470702000,1695221000,8358000,8358000,7142239000,38239000,4965365000,421000,4964944000,4965365000,2010637000,501286000,8210172000,21530353000,22032096000,133000,133297000,LRCX
2023-03-31,USD,19243361000,13730027000,5305648000,5305648000,4881935000,3262140000,3658217000,1855117000,None,1801819000,179647000,1622172000,63849000,None,63849000,216455000,1605710000,10835973000,4441329000,601930000,None,8457000,8457000,6394644000,None,4996920000,8457000,None,5005377000,1990147000,512376000,8407388000,20627829000,21460118000,135000,134692000,LRCX
2022-12-31,USD,19206381000,13708788000,4484716000,4484716000,4819966000,4070088000,3634438000,1863155000,None,1805218000,184781000,1620437000,103130000,None,103130000,230888000,1577876000,10901746000,4546922000,919408000,None,7226000,7226000,6354824000,None,4996057000,7226000,None,5003283000,2068370000,496362000,8304635000,20071931000,20879153000,135000,135403000,LRCX
2022-09-30,USD,18721282000,13612664000,4256499000,4256499000,4360325000,4569735000,3375280000,1718791000,None,1610385000,110385000,1500000000,120551000,None,120551000,305554000,1513940000,11308715000,5053382000,1146286000,1951210000,7110000,7110000,6255333000,None,4996363000,7110000,None,5003473000,1948776000,418756000,7412567000,19591249000,19644623000,136000,136374000,LRCX
2022-06-30,USD,17195632000,12285235000,3522001000,3522001000,3966294000,4313818000,5143872000,1605434000,1440325000,1616963000,101850000,1515113000,135731000,None,135731000,347391000,1394313000,10917266000,4564759000,1011208000,1571898000,7381000,7381000,7078320000,35990000,4962459000,0,4962459000,4962459000,1974272000,422941000,6278366000,19481429000,18454724000,137000,136975000,LRCX
2022-03-31,USD,16589031000,11888101000,4194719000,4194719000,3479332000,3702320000,3146038000,1561875000,None,1627035000,113306000,1513729000,160072000,None,160072000,351658000,1260984000,10562541000,4194741000,1007026000,1545109000,7689000,7689000,6367800000,None,4962049000,7689000,None,4962049000,1634917000,450475000,6026490000,18616780000,17451404000,139000,138707000,LRCX
2021-12-31,USD,16685428000,12102862000,5086544000,5086544000,3074177000,3402840000,3096641000,1503385000,None,1612077000,112077000,1500000000,242590000,None,242590000,296711000,1226563000,10209647000,3863151000,952666000,1133878000,6201000,6201000,6346496000,26476000,4961645000,6201000,None,4961645000,1770406000,466830000,6475781000,17294255000,16637683000,140000,140275000,LRCX
2021-09-30,USD,15565552000,11144682000,4042151000,4042151000,2872141000,3397180000,3055628000,1372533000,None,1614959000,125014000,1489945000,569472000,None,569472000,263738000,1181930000,9745509000,3409220000,837708000,931415000,6368000,6368000,6336289000,None,4961249000,6368000,None,4961249000,1633729000,466000000,5820043000,16863573000,15653440000,141000,140811000,LRCX
