fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2023-12-31,USD,6699388000,2428368000,1071987000,1071987000,726687000,514665000,4271020000,1039439000,2017964000,3040424000,499963000,2540461000,17500000,24714000,None,75454000,166443000,3061041000,1280333000,282954000,None,479964000,479964000,1780708000,None,1550438000,479964000,1550438000,2030402000,189930000,230270000,3638347000,None,-92332000,3730577000,96680000,QRVO
2023-09-30,USD,6718520000,2262877000,706836000,706836000,839855000,620626000,4455643000,1061163000,1976429000,3181474000,473164000,2708310000,18500000,25649000,None,46440000,187357000,2901334000,671942000,275256000,None,96000,None,2229392000,None,2048585000,96000,2048585000,2048585000,92876000,180807000,3817186000,None,34606000,3796189000,97506000,QRVO
2023-06-30,USD,6686592000,2087775000,744428000,744428000,917390000,327241000,4598817000,1087683000,1933949000,3268104000,507174000,2760930000,22000000,27020000,None,49463000,216010000,2874369000,638976000,294171000,None,113000,None,2235393000,None,2048255000,113000,2048255000,2048255000,80490000,187138000,3812223000,None,0,3816260000,98048000,QRVO
2023-03-31,USD,6691903000,2029794000,808757000,808757000,796596000,331054000,4662109000,1149806000,1900317000,3298516000,537703000,2760813000,20400000,20406000,1094000,46703000,193381000,2789109000,555763000,210701000,None,310000,310000,2233346000,None,2048073000,310000,2048073000,2048383000,122289000,185273000,3902794000,None,84495000,3821474000,98649000,QRVO
2022-12-31,USD,7076219000,2257700000,918758000,918758000,857277000,398468000,4818519000,1191986000,1846373000,3337521000,567375000,2770146000,20200000,24218000,None,37092000,264794000,2911651000,613590000,225111000,None,451000,None,2298061000,None,2047743000,310000,2047743000,2047743000,149466000,250318000,4164568000,None,315993000,3859940000,100021000,QRVO
2022-09-30,USD,7374732000,2521284000,911570000,911570000,840850000,None,4853448000,1222924000,1820091000,3342984000,585860000,2757124000,None,29452000,None,52054000,258088000,3052592000,764127000,322247000,None,None,None,2288465000,None,2047398000,571000,2047398000,2047398000,142998000,241067000,4322140000,None,447947000,3915969000,102061000,QRVO
2022-06-30,USD,7330521000,2372489000,858791000,858791000,847378000,None,4958032000,1234334000,1783419000,3396469000,629592000,2766877000,None,28281000,None,60603000,298948000,3029916000,718450000,327879000,None,None,None,2311466000,None,2047183000,726000,2047183000,2047183000,141563000,264283000,4300605000,None,356080000,3962499000,103340000,QRVO
2022-03-31,USD,7509072000,2449865000,972592000,972592000,755748000,601001000,5059207000,1253591000,1734608000,3450420000,674786000,2775634000,27100000,31086000,None,70685000,324110000,2955854000,675127000,327915000,None,791000,None,2280727000,None,2047098000,791000,2047098000,2047098000,107026000,233629000,4553218000,None,512137000,4035849000,106303000,QRVO
2021-12-31,USD,7626585000,2445851000,988527000,988527000,710228000,None,5180734000,1266805000,1697976000,3542951000,718095000,2824856000,None,38234000,None,58437000,332744000,2959386000,673427000,357879000,None,None,None,2285959000,None,2046951000,771000,None,2046951000,87650000,239008000,4667199000,None,533488000,4119098000,108668000,QRVO
2021-09-30,USD,7576456000,2541267000,1153172000,1153172000,597563000,None,5035189000,1276810000,1655084000,3349602000,615486000,2734116000,None,36908000,None,44606000,371869000,2848702000,902495000,521569000,None,None,5545000,1946207000,None,1740552000,5545000,None,1740552000,90692000,205655000,4727754000,None,546153000,4158170000,110461000,QRVO
2021-06-30,USD,7271859000,2374085000,1200245000,1200245000,570144000,None,4897774000,1270727000,1609818000,3394526000,656900000,2737626000,None,45939000,None,47755000,186582000,2623465000,703708000,352143000,None,None,5237000,1919757000,None,1741548000,5237000,None,1741548000,97257000,178209000,4648394000,None,404562000,4210914000,111210000,QRVO
2021-03-31,USD,7221470000,2483804000,1397880000,1397880000,507787000,457431000,4737666000,1266031000,1561613000,3253863000,611155000,2642708000,29800000,35370000,None,51810000,182402000,2592045000,681581000,313868000,None,5092000,5092000,167914000,None,1742550000,5092000,None,1742550000,112653000,167914000,4629425000,None,355036000,4244740000,112557000,QRVO
2020-12-31,USD,7041378000,2322257000,1234415000,1234415000,479340000,None,4719121000,1232374000,1519829000,3307151000,656239000,2650912000,None,31271000,31.27,46010000,148325000,2537677000,613898000,301576000,None,None,5091000,1923779000,None,1743794000,5091000,None,1743794000,92699000,179985000,4503701000,None,193329000,4262883000,113299000,QRVO
2020-09-30,USD,7824422000,3062726000,2000257000,2000257000,476846000,None,4761696000,1224853000,1477921000,3354508000,714565000,2639943000,None,37848000,37848000,44514000,144487000,3417256000,1477017000,242147000,None,None,905086000,1940239000,None,1764396000,905086000,None,2669482000,88945000,175843000,4407166000,None,112563000,4267987000,114111000,QRVO
2020-06-30,USD,6882686000,2079329000,1136302000,1136302000,523690000,None,4803357000,1235676000,1459728000,3353524000,738346000,2615178000,None,36921000,36921000,38180000,177236000,2531441000,509332000,225905000,None,None,6587000,2022109000,None,1869502000,6587000,None,1869502000,84487000,152607000,4351245000,None,49230000,4293621000,114354000,QRVO
2020-03-31,USD,6560682000,1690502000,714939000,714939000,517198000,None,4870180000,1259203000,1415397000,3423166000,808892000,2614274000,None,22515000,None,38305000,165296000,2268017000,539003000,246954000,None,None,6893000,1729014000,None,1567231000,6893000,None,1567231000,67355000,161783000,4292665000,None,0,4290377000,114625000,QRVO
