fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2024-01-31,USD,16452000000,9939000000,2012000000,7813000000,None,1639000000,6585000000,1234000000,1272000000,2846000000,233000000,2846000000,12655000000,248000000,5801000000,255000000,337000000,8370000000,5055000000,78000000,8254000000,None,89000000,3315000000,316000000,2980000000,None,2980000000,2980000000,831000000,38000000,8082000000,608000000,-1731000000,None,263135000,WDAY
2023-10-31,USD,13925933000,8574163000,1563939000,6879984000,207566000,1224818000,5420170000,1206564000,1255124000,2846464000,276417000,2846464000,11603683000,250311000,5316045000,261795000,351262000,7301016000,4029390000,79333000,6558796000,None,98325000,3271626000,297168000,2978800000,None,2978800000,2978800000,655084000,31835000,6624917000,471481000,-2918829000,264000,262153000,WDAY
2023-07-31,USD,13735315000,8381694000,1435690000,6657091000,198677000,1270936000,5402711000,1221834000,1228699000,2840044000,263056000,2840044000,11458284000,261506000,5221401000,254990000,350860000,7460762000,4181959000,88814000,3369461000,None,98810000,3278803000,290948000,2977845000,None,2977845000,2977845000,685337000,48357000,6274553000,323695000,-3032538000,263000,261191000,WDAY
2023-04-30,USD,13252796000,7873093000,1443651000,6328961000,191966000,1089286000,5428504000,1218117000,1191926000,2840044000,312882000,2840044000,10772491000,271122000,4885310000,262880000,376639000,7310933000,4044089000,113263000,3289750000,None,95008000,3266844000,278023000,2976889000,None,2976889000,2976889000,608268000,44740000,5941863000,185047000,-3111198000,261000,258820000,WDAY
2023-01-31,USD,13486000000,8108000000,1886000000,6121394000,191054000,1570086000,5399448000,1201000000,1179000000,2840044000,44000,2840000000,9312572000,263485000,4235083000,225690000,348000000,7901000000,4628000000,154000000,3633933000,None,91343000,3272504000,273142000,2976000000,0,2976000000,2975934000,823679000,40000000,5585000000,185047000,-3111334000,259000,257351000,WDAY
2022-10-31,USD,12389787000,6970275000,1575955000,5492085000,1,1040468000,5466420000,1219127000,1143719000,2840044000,347591000,2840044000,8934950000,268543000,3916130000,437722000,405937000,6980679000,3723399000,75803000,2879335000,None,90237000,3257280000,286315000,2974979000,0,2974979000,2974979000,741760000,22487000,5409108000,110382000,-2985637000,257000,255753000,WDAY
2022-07-31,USD,13249550000,7804657000,2486540000,6292967000,None,1105288000,5450745000,1233151000,1079040000,2840044000,368937000,2840044000,9461208000,265565000,3806427000,406402000,383549000,8121742000,4857857000,60710000,2942730000,1148982000,1240463000,3263885000,305018000,4123005000,1148982000,2974023000,4123005000,667892000,22387000,5127808000,12588000,-2910916000,255000,254355000,WDAY
2022-04-30,USD,12799106000,7443226000,2776336000,6255355000,None,778076000,5329871000,1186004000,1023521000,2840044000,369387000,2840044000,9077285000,260553000,3479019000,409795000,368497000,8018299000,4781387000,123361000,2879427000,1148126000,1228699000,3236912000,262810000,4121194000,1148126000,2973068000,4121194000,609208000,22299000,4780807000,12584000,-2846758000,253000,251743000,WDAY
2022-01-31,USD,10498505000,5214065000,1534273000,3644161000,None,1242545000,5211085000,1123075000,958275000,2840044000,391002000,2840044000,4936771000,256759000,2109888000,327359000,341252000,5963423000,5067855000,55487000,3182480000,1222443000,1302946000,895568000,262959000,1839797000,1222443000,617354000,1839797000,598475000,24225000,4535082000,12467000,-2744585000,251000,249952000,WDAY
2021-10-31,USD,9440883000,4693708000,1297259000,3554981000,None,865040000,4653601000,1120196000,907068000,2428481000,387176000,2428481000,5315230000,194597000,2257722000,273687000,269508000,5225067000,4275050000,47928000,2493911000,1212215000,1295667000,950017000,286421000,1848209000,1212215000,635994000,1848209000,508150000,40448000,4215816000,12437000,-2671332000,249000,248468000,WDAY
2021-07-31,USD,9113845000,4461114000,1087070000,3307958000,None,872764000,4500966000,1135593000,849993000,2362166000,397652000,2362166000,4823223000,151929000,2220888000,280392000,219636000,5245855000,4274095000,53082000,2518589000,1201964000,1284039000,971760000,291268000,1856597000,1201964000,654633000,1856597000,482595000,43724000,3867990000,12431000,-2714744000,248000,246943000,WDAY
2021-04-30,USD,8624007000,3905797000,959358000,2994529000,None,647163000,4585678000,1155697000,804256000,2362166000,418223000,2362166000,4595113000,182152000,2035171000,264105000,252796000,5218566000,4210755000,48097000,2426009000,1191722000,1272828000,1007811000,294674000,1864995000,1191722000,673273000,1864995000,528735000,56056000,3405441000,12420000,-2820480000,246000,243739000,WDAY
2021-01-31,USD,8718411000,4802061000,1384181000,3535653000,None,1032484000,3850871000,972403000,749183000,1819625000,248626000,1819625000,4859633000,134090000,2151472000,233924000,189757000,5440577000,4282648000,75596000,2636735000,1103101000,1196101000,1157929000,443051000,1795014000,1103101000,691913000,1795014000,454327000,35854000,3277834000,12384000,-2909990000,242000,241021000,WDAY
2020-10-31,USD,7845027000,3958242000,1067038000,2947810000,None,742744000,3799823000,976610000,704002000,1819625000,262603000,1819625000,4225248000,124336000,1880772000,267688000,179987000,4766973000,3625205000,54949000,2069291000,1091050000,1175602000,1141768000,437452000,1792228000,1091050000,701178000,1792228000,394237000,18816000,3078054000,269083000,-2838283000,240000,238059000,WDAY
2020-07-31,USD,7501451000,3714181000,1239696000,1239696000,None,694289000,3870099000,957434000,655956000,2096108000,276847000,1819261000,3265895000,48228000,1513842000,266354000,185077000,4662973000,2553115000,57764000,2067920000,37500000,113298000,2109858000,347405000,1789504000,37500000,1752004000,1789504000,378598000,21782000,2838478000,303201000,-2813943000,238000,236002000,WDAY
2020-04-30,USD,7227503000,3450367000,1214213000,1214213000,None,584219000,3883664000,937008000,608320000,2111853000,292592000,1819261000,3000731000,48976000,1384793000,267142000,203655000,4625499000,2770963000,35430000,2090398000,336901000,336901000,1854536000,324946000,1774921000,266137000,1508784000,1774921000,386554000,13250000,2602004000,None,-2785927000,235000,232939000,WDAY
2020-01-31,USD,6816365000,3094622000,731141000,731141000,None,877578000,3743079000,936179000,556653000,2127662000,308401000,1819261000,2675659000,75004000,0,272471000,144605000,4329814000,2969404000,57556000,2309203000,310466000,310466000,1360410000,307572000,1262286000,244319000,1017967000,1262286000,378204000,14993000,2486551000,0,-2627359000,231000,232000000,WDAY
