fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,Symbol
2024-01-28,USD,31540000000,19182000000,6854000000,7492000000,5646000000,5011000000,12358000000,2826000000,3710000000,4015000000,283000000,3732000000,1731000000,2910000000,638000000,1344000000,351000000,14111000000,7076000000,1416000000,6294000000,203000000,100000000,7405000000,427000000,5462000000,100000000,5462000000,100000000,2226000000,723000000,17429000000,37002000000,45480000000,8000000,831000000,AMAT
2023-10-29,USD,30729000000,19147000000,6132000000,6869000000,5725000000,5577000000,11677000000,2723000000,3651000000,4026000000,294000000,3732000000,1573000000,2281000000,737000000,1388000000,345000000,14380000000,7372000000,1478000000,5950000000,202000000,100000000,7386000000,438000000,5461000000,100000000,5461000000,100000000,2819000000,714000000,16349000000,36299000000,43726000000,8000000,833000000,AMAT
2023-07-30,USD,30410000000,18879000000,6025000000,6535000000,5809000000,5648000000,11531000000,2604000000,3618000000,4037000000,305000000,3732000000,1423000000,2177000000,510000000,1305000000,421000000,15317000000,8224000000,1433000000,6994000000,214000000,199000000,7550000000,86000000,5460000000,199000000,5460000000,199000000,8025000000,815000000,15093000000,35594000000,41988000000,8000000,838000000,AMAT
2023-04-30,USD,29092000000,17773000000,4588000000,5098000000,5940000000,5933000000,11319000000,2559000000,3503000000,4039000000,328000000,3711000000,1423000000,2024000000,510000000,1219000000,521000000,14963000000,7871000000,1468000000,6746000000,214000000,199000000,7568000000,86000000,5459000000,199000000,5459000000,199000000,2831000000,811000000,14129000000,35151000000,40696000000,8000000,843000000,AMAT
2023-01-29,USD,27959000000,16715000000,3547000000,4047000000,6054000000,5847000000,11244000000,2494000000,3421000000,4050000000,332000000,3718000000,1376000000,2088000000,500000000,1229000000,606000000,14539000000,7250000000,1611000000,6164000000,199000000,199000000,7778000000,85000000,5458000000,199000000,5458000000,199000000,2358000000,856000000,13420000000,34347000000,39389000000,8000000,845000000,AMAT
2022-10-30,USD,26726000000,15925000000,1995000000,2581000000,5932000000,6529000000,10524000000,2307000000,3322000000,3717000000,339000000,3700000000,5262000000,1980000000,586000000,1344000000,691000000,14532000000,7379000000,1755000000,6284000000,0,0,7547000000,0,5457000000,None,5457000000,0,2397000000,732000000,12194000000,34097000000,37892000000,8000000,844000000,AMAT
2022-07-31,USD,26161000000,15434000000,2956000000,3548000000,5506000000,5532000000,10406000000,2194000000,3301000000,3729000000,337000000,3713000000,1424000000,2047000000,592000000,1424000000,561000000,14091000000,6833000000,1686000000,5656000000,None,98000000,7733000000,400000000,5456000000,None,5456000000,5554000000,2221000000,847000000,12070000000,32598000000,36520000000,9000000,864000000,AMAT
2022-05-01,USD,25459000000,15244000000,3331000000,3922000000,5009000000,None,10215000000,2071000000,3210000000,3564000000,85000000,3479000000,None,2102000000,591000000,1430000000,588000000,13880000000,6650000000,1558000000,None,None,82000000,7230000000,395000000,5455000000,None,5455000000,5537000000,2420000000,813000000,11579000000,31598000000,35137000000,9000000,878000000,AMAT
2022-01-30,USD,25428000000,15707000000,5264000000,5737000000,4526000000,4789000000,9721000000,1974000000,3127000000,3573000000,94000000,3479000000,3792000000,2026000000,473000000,1039000000,262000000,13538000000,6264000000,1502000000,4794000000,None,76000000,7692000000,303000000,5454000000,None,5454000000,5454000000,2289000000,752000000,11890000000,29798000000,33827000000,9000000,889000000,AMAT
2021-10-31,USD,25825000000,16107000000,4995000000,5459000000,4309000000,5546000000,9719000000,1934000000,3046000000,3479000000,104000000,3479000000,8045000000,2055000000,464000000,1386000000,229000000,13578000000,6344000000,1472000000,4152000000,None,73000000,7655000000,301000000,5452000000,None,5452000000,5452000000,2723000000,692000000,12247000000,27995000000,32246000000,9000000,892000000,AMAT
2021-08-01,USD,24479000000,15248000000,6066000000,6510000000,4117000000,None,9231000000,1814000000,3015000000,3595000000,116000000,3479000000,None,1658000000,444000000,799000000,248000000,12419000000,5125000000,1352000000,None,None,69000000,7294000000,268000000,5451000000,None,5451000000,5451000000,2016000000,699000000,12060000000,26495000000,30748000000,9000000,908000000,AMAT
